 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.063,0.000,0.228,0.000,0.109,0.115,0.071,0.032,0.000,0.000,0.083,0.226,0.306,0.066,0.076
model.000.01.pdb,0.092,0.000,0.049,0.000,0.013,0.105,0.056,0.025,0.000,0.000,0.133,0.045,0.212,0.125,0.160
model.000.02.pdb,0.000,0.177,0.418,0.175,0.190,0.070,0.172,0.141,0.000,0.051,0.036,0.556,0.125,0.000,0.039
model.000.03.pdb,0.435,0.000,0.000,0.000,0.000,0.634,0.000,0.000,0.000,0.088,0.000,0.000,0.500,0.488,0.000
model.000.04.pdb,0.017,0.094,0.145,0.093,0.038,0.089,0.039,0.018,0.000,0.030,0.000,0.278,0.213,0.018,0.000
model.000.05.pdb,0.000,0.131,0.156,0.111,0.354,0.000,0.455,0.353,0.119,0.026,0.464,0.127,0.000,0.000,0.471
model.000.06.pdb,0.000,0.043,0.083,0.042,0.190,0.000,0.308,0.237,0.129,0.000,0.564,0.050,0.000,0.000,0.580
model.000.07.pdb,0.000,0.409,0.457,0.400,0.381,0.000,0.267,0.319,0.000,0.091,0.087,0.622,0.000,0.000,0.097
model.000.08.pdb,0.388,0.000,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.027,0.000,0.000,0.300,0.571,0.000
model.000.09.pdb,0.288,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.027,0.000,0.000,0.231,0.444,0.000
model.000.10.pdb,0.180,0.000,0.027,0.000,0.000,0.217,0.000,0.000,0.000,0.000,0.037,0.025,0.327,0.296,0.027
model.000.11.pdb,0.015,0.067,0.278,0.066,0.132,0.063,0.093,0.032,0.000,0.014,0.055,0.389,0.167,0.016,0.045
model.000.12.pdb,0.255,0.000,0.000,0.000,0.000,0.275,0.000,0.000,0.000,0.029,0.000,0.000,0.326,0.378,0.000
model.000.13.pdb,0.182,0.000,0.038,0.000,0.000,0.274,0.000,0.000,0.000,0.000,0.035,0.061,0.442,0.246,0.025
model.000.14.pdb,0.014,0.172,0.377,0.169,0.164,0.076,0.125,0.115,0.000,0.040,0.013,0.491,0.175,0.015,0.014
