 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.172,0.312,0.041,0.558,0.089,0.000,0.000,0.000,0.500,0.417,0.404,0.063,0.512,0.519,0.076
model.000.01.pdb,0.429,0.410,0.147,0.255,0.189,0.000,0.000,0.015,0.365,0.346,0.596,0.190,0.457,0.653,0.197
model.000.02.pdb,0.255,0.027,0.595,0.000,0.444,0.105,0.015,0.556,0.000,0.000,0.067,0.450,0.000,0.094,0.632
model.000.03.pdb,0.224,0.719,0.023,0.191,0.042,0.036,0.098,0.000,0.361,0.390,0.500,0.066,0.491,0.500,0.037
model.000.04.pdb,0.122,0.029,0.260,0.000,0.067,0.229,0.145,0.529,0.000,0.000,0.000,0.149,0.000,0.000,0.234
model.000.05.pdb,0.000,0.026,0.000,0.016,0.000,0.047,0.145,0.000,0.067,0.086,0.015,0.000,0.053,0.000,0.000
model.000.06.pdb,0.000,0.000,0.000,0.000,0.000,0.131,0.141,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.07.pdb,0.524,0.509,0.108,0.145,0.140,0.000,0.014,0.052,0.226,0.208,0.533,0.212,0.356,0.562,0.155
model.000.08.pdb,0.250,0.500,0.000,0.231,0.036,0.000,0.000,0.000,0.467,0.512,0.591,0.049,0.632,0.520,0.030
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.140,0.113,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.052,0.262,0.000,0.395,0.000,0.000,0.000,0.000,0.676,0.794,0.375,0.000,0.706,0.333,0.000
model.000.11.pdb,0.186,0.284,0.054,0.533,0.105,0.000,0.000,0.000,0.449,0.400,0.471,0.078,0.558,0.528,0.074
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.103,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.13.pdb,0.158,0.367,0.014,0.327,0.035,0.000,0.000,0.000,0.558,0.610,0.511,0.016,0.658,0.453,0.030
model.000.14.pdb,0.356,0.069,0.568,0.000,0.350,0.121,0.062,0.318,0.000,0.000,0.065,0.538,0.000,0.091,0.488
