 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.012,0.000,0.108,0.154,0.000,0.000,0.649,0.026,0.000,0.117,0.080,0.000,0.500
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.102,0.000,0.000,0.000,0.000,0.423
model.000.02.pdb,0.000,0.019,0.000,0.113,0.275,0.304,0.034,0.000,0.203,0.000,0.015,0.211,0.362,0.059,0.250
model.000.03.pdb,0.089,0.366,0.367,0.245,0.098,0.056,0.260,0.244,0.000,0.000,0.145,0.092,0.082,0.302,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.079,0.125,0.000,0.000,0.446,0.083,0.000,0.089,0.095,0.000,0.554
model.000.05.pdb,0.241,0.265,0.460,0.175,0.058,0.025,0.255,0.442,0.000,0.015,0.242,0.055,0.043,0.216,0.000
model.000.06.pdb,0.000,0.000,0.000,0.000,0.132,0.181,0.000,0.000,0.508,0.028,0.000,0.141,0.134,0.000,0.640
model.000.07.pdb,0.000,0.477,0.101,0.458,0.551,0.500,0.180,0.016,0.100,0.000,0.026,0.600,0.471,0.585,0.038
model.000.08.pdb,0.000,0.014,0.012,0.013,0.186,0.247,0.000,0.000,0.696,0.000,0.000,0.192,0.139,0.014,0.467
model.000.09.pdb,0.000,0.273,0.095,0.250,0.653,0.745,0.069,0.000,0.240,0.000,0.000,0.667,0.538,0.296,0.147
model.000.10.pdb,0.045,0.067,0.014,0.211,0.042,0.051,0.449,0.067,0.000,0.291,0.612,0.039,0.088,0.085,0.000
model.000.11.pdb,0.055,0.075,0.203,0.027,0.153,0.197,0.000,0.059,0.319,0.000,0.000,0.160,0.038,0.059,0.073
model.000.12.pdb,0.000,0.353,0.111,0.370,0.667,0.796,0.118,0.000,0.195,0.000,0.024,0.680,0.580,0.408,0.090
model.000.13.pdb,0.074,0.000,0.000,0.014,0.000,0.000,0.172,0.046,0.000,0.562,0.361,0.000,0.000,0.000,0.063
model.000.14.pdb,0.081,0.056,0.246,0.000,0.062,0.106,0.000,0.103,0.342,0.000,0.011,0.059,0.000,0.027,0.123
