 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.455,0.489,0.167,0.000,0.633,0.000,0.500,0.000,0.350,0.082,0.000,0.080,0.013,0.041,0.091
model.000.01.pdb,0.640,0.380,0.250,0.000,0.577,0.000,0.711,0.070,0.596,0.227,0.000,0.122,0.127,0.013,0.117
model.000.02.pdb,0.060,0.000,0.350,0.120,0.076,0.051,0.119,0.444,0.125,0.429,0.049,0.029,0.533,0.000,0.000
model.000.03.pdb,0.621,0.397,0.069,0.000,0.403,0.000,0.391,0.048,0.508,0.120,0.000,0.301,0.108,0.011,0.361
model.000.04.pdb,0.015,0.000,0.042,0.209,0.000,0.115,0.000,0.488,0.046,0.347,0.017,0.115,0.444,0.000,0.092
model.000.05.pdb,0.014,0.088,0.000,0.017,0.000,0.065,0.000,0.000,0.013,0.000,0.000,0.056,0.000,0.059,0.082
model.000.06.pdb,0.000,0.000,0.000,0.192,0.000,0.333,0.000,0.014,0.000,0.000,0.321,0.000,0.000,0.213,0.013
model.000.07.pdb,0.617,0.235,0.204,0.000,0.462,0.000,0.543,0.111,0.750,0.250,0.000,0.242,0.194,0.000,0.194
model.000.08.pdb,0.571,0.524,0.071,0.000,0.426,0.000,0.440,0.014,0.444,0.086,0.000,0.147,0.056,0.000,0.191
model.000.09.pdb,0.000,0.000,0.000,0.261,0.000,0.391,0.000,0.047,0.000,0.000,0.404,0.000,0.000,0.228,0.013
model.000.10.pdb,0.304,0.765,0.018,0.000,0.352,0.000,0.283,0.000,0.213,0.000,0.000,0.057,0.000,0.029,0.116
model.000.11.pdb,0.464,0.438,0.182,0.000,0.547,0.000,0.540,0.000,0.361,0.080,0.000,0.064,0.026,0.082,0.117
model.000.12.pdb,0.000,0.000,0.000,0.056,0.000,0.167,0.000,0.000,0.000,0.000,0.066,0.043,0.000,0.095,0.056
model.000.13.pdb,0.444,0.625,0.052,0.000,0.444,0.000,0.460,0.000,0.362,0.041,0.000,0.113,0.027,0.014,0.188
model.000.14.pdb,0.090,0.000,0.302,0.055,0.074,0.032,0.133,0.426,0.175,0.674,0.015,0.121,0.651,0.000,0.055
