 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000,0.477,0.367,0.000,0.000,0.189,0.000,0.000,0.771,0.000,0.000
model.000.01.pdb,0.000,0.000,0.333,0.026,0.677,0.000,0.051,0.017,0.000,0.094,0.000,0.000,0.000,0.000,0.261
model.000.02.pdb,0.000,0.000,0.063,0.071,0.189,0.076,0.177,0.000,0.000,0.169,0.000,0.000,0.133,0.000,0.095
model.000.03.pdb,0.000,0.000,0.452,0.000,0.462,0.000,0.063,0.015,0.000,0.125,0.000,0.000,0.000,0.000,0.260
model.000.04.pdb,0.027,0.164,0.634,0.071,0.500,0.000,0.000,0.180,0.028,0.000,0.000,0.026,0.000,0.000,0.643
model.000.05.pdb,0.050,0.178,0.531,0.101,0.340,0.000,0.000,0.250,0.080,0.000,0.000,0.049,0.000,0.038,0.638
model.000.06.pdb,0.000,0.000,0.145,0.000,0.157,0.000,0.327,0.000,0.000,0.444,0.000,0.000,0.049,0.000,0.032
model.000.07.pdb,0.000,0.000,0.000,0.000,0.000,0.224,0.378,0.000,0.000,0.289,0.000,0.000,0.425,0.000,0.000
model.000.08.pdb,0.333,0.525,0.097,0.645,0.042,0.000,0.000,0.585,0.441,0.000,0.227,0.343,0.000,0.365,0.157
model.000.09.pdb,0.075,0.028,0.000,0.036,0.000,0.081,0.150,0.000,0.030,0.161,0.121,0.088,0.085,0.061,0.000
model.000.10.pdb,0.000,0.000,0.029,0.000,0.015,0.071,0.571,0.000,0.000,0.587,0.000,0.000,0.200,0.000,0.014
model.000.11.pdb,0.039,0.155,0.479,0.080,0.396,0.000,0.000,0.188,0.055,0.000,0.000,0.025,0.000,0.026,0.553
model.000.12.pdb,0.056,0.132,0.692,0.023,0.319,0.000,0.000,0.109,0.014,0.015,0.000,0.069,0.000,0.028,0.545
model.000.13.pdb,0.000,0.000,0.400,0.013,0.625,0.000,0.051,0.017,0.000,0.094,0.000,0.000,0.000,0.000,0.318
model.000.14.pdb,0.588,0.660,0.108,0.439,0.000,0.027,0.000,0.426,0.500,0.000,0.451,0.804,0.000,0.549,0.104
