 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.000,0.333,0.151,0.281,0.300,0.000,0.389,0.056,0.050,0.185,0.136,0.127,0.179,0.037
model.000.01.pdb,0.000,1.000,0.000,0.000,0.000,0.000,0.328,0.000,0.122,0.379,0.000,0.065,0.000,0.000,0.364
model.000.02.pdb,0.333,0.000,1.000,0.310,0.182,0.556,0.000,0.523,0.153,0.000,0.232,0.218,0.180,0.487,0.000
model.000.03.pdb,0.151,0.000,0.310,1.000,0.305,0.547,0.000,0.411,0.053,0.000,0.528,0.053,0.615,0.207,0.000
model.000.04.pdb,0.281,0.000,0.182,0.305,1.000,0.315,0.000,0.417,0.000,0.000,0.522,0.000,0.521,0.035,0.000
model.000.05.pdb,0.300,0.000,0.556,0.547,0.315,1.000,0.000,0.587,0.104,0.000,0.471,0.123,0.393,0.333,0.000
model.000.06.pdb,0.000,0.328,0.000,0.000,0.000,0.000,1.000,0.000,0.207,0.114,0.000,0.030,0.000,0.000,0.203
model.000.07.pdb,0.389,0.000,0.523,0.411,0.417,0.587,0.000,1.000,0.044,0.000,0.440,0.045,0.364,0.220,0.000
model.000.08.pdb,0.056,0.122,0.153,0.053,0.000,0.104,0.207,0.044,1.000,0.081,0.000,0.392,0.013,0.265,0.179
model.000.09.pdb,0.050,0.379,0.000,0.000,0.000,0.000,0.114,0.000,0.081,1.000,0.000,0.274,0.000,0.014,0.526
model.000.10.pdb,0.185,0.000,0.232,0.528,0.522,0.471,0.000,0.440,0.000,0.000,1.000,0.000,0.791,0.068,0.000
model.000.11.pdb,0.136,0.065,0.218,0.053,0.000,0.123,0.030,0.045,0.392,0.274,0.000,1.000,0.014,0.271,0.200
model.000.12.pdb,0.127,0.000,0.180,0.615,0.521,0.393,0.000,0.364,0.013,0.000,0.791,0.014,1.000,0.065,0.000
model.000.13.pdb,0.179,0.000,0.487,0.207,0.035,0.333,0.000,0.220,0.265,0.014,0.068,0.271,0.065,1.000,0.015
model.000.14.pdb,0.037,0.364,0.000,0.000,0.000,0.000,0.203,0.000,0.179,0.526,0.000,0.200,0.000,0.015,1.000
