 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.426,0.520,0.028,0.000,0.426,0.000
model.000.01.pdb,0.062,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417,0.474,0.052,0.000,0.532,0.000
model.000.02.pdb,0.628,0.429,0.111,0.000,0.136,0.000,0.028,0.513,0.500,0.000,0.078,0.535,0.208,0.096,0.000
model.000.03.pdb,0.028,0.085,0.175,0.548,0.392,0.326,0.592,0.086,0.085,0.000,0.000,0.000,0.170,0.000,0.524
model.000.04.pdb,0.056,0.121,0.339,0.404,0.385,0.409,0.386,0.143,0.140,0.000,0.000,0.000,0.400,0.000,0.327
model.000.05.pdb,0.136,0.048,0.027,0.000,0.000,0.000,0.000,0.016,0.016,0.210,0.423,0.145,0.000,0.574,0.000
model.000.06.pdb,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.600,0.167,0.000,0.655,0.000
model.000.07.pdb,0.000,0.000,0.000,0.033,0.000,0.000,0.041,0.000,0.000,0.500,0.164,0.000,0.000,0.051,0.088
model.000.08.pdb,0.013,0.046,0.200,0.643,0.415,0.383,0.608,0.047,0.046,0.000,0.000,0.000,0.158,0.000,0.581
model.000.09.pdb,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.382,0.562,0.075,0.000,0.536,0.000
model.000.10.pdb,0.000,0.000,0.041,0.196,0.014,0.105,0.067,0.000,0.000,0.310,0.103,0.000,0.000,0.036,0.179
model.000.11.pdb,0.179,0.232,0.145,0.207,0.767,0.158,0.431,0.360,0.380,0.000,0.000,0.119,0.314,0.000,0.211
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.510,0.000,0.000,0.313,0.000
model.000.13.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.482,0.547,0.039,0.000,0.292,0.000
model.000.14.pdb,0.095,0.145,0.095,0.161,0.625,0.097,0.574,0.207,0.224,0.000,0.000,0.041,0.211,0.000,0.246
