 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.279,0.273,0.089,0.279,0.015,0.014,0.113,0.068,0.033,0.288,0.386,0.113,0.352,0.383
model.000.01.pdb,0.279,1.000,0.036,0.132,0.060,0.025,0.089,0.000,0.215,0.238,0.407,0.085,0.339,0.483,0.066
model.000.02.pdb,0.273,0.036,1.000,0.030,0.537,0.072,0.013,0.426,0.000,0.000,0.056,0.605,0.000,0.095,0.738
model.000.03.pdb,0.089,0.132,0.030,1.000,0.059,0.000,0.000,0.000,0.512,0.386,0.245,0.034,0.349,0.286,0.049
model.000.04.pdb,0.279,0.060,0.537,0.059,1.000,0.000,0.000,0.209,0.018,0.000,0.111,0.636,0.040,0.158,0.526
model.000.05.pdb,0.015,0.025,0.072,0.000,0.000,1.000,0.542,0.125,0.000,0.000,0.000,0.032,0.000,0.000,0.045
model.000.06.pdb,0.014,0.089,0.013,0.000,0.000,0.542,1.000,0.031,0.000,0.000,0.000,0.015,0.000,0.000,0.000
model.000.07.pdb,0.113,0.000,0.426,0.000,0.209,0.125,0.031,1.000,0.000,0.000,0.016,0.289,0.000,0.014,0.378
model.000.08.pdb,0.068,0.215,0.000,0.512,0.018,0.000,0.000,0.000,1.000,0.703,0.417,0.016,0.622,0.345,0.015
model.000.09.pdb,0.033,0.238,0.000,0.386,0.000,0.000,0.000,0.000,0.703,1.000,0.340,0.000,0.639,0.327,0.000
model.000.10.pdb,0.288,0.407,0.056,0.245,0.111,0.000,0.000,0.016,0.417,0.340,1.000,0.119,0.455,0.696,0.077
model.000.11.pdb,0.386,0.085,0.605,0.034,0.636,0.032,0.015,0.289,0.016,0.000,0.119,1.000,0.036,0.143,0.561
model.000.12.pdb,0.113,0.339,0.000,0.349,0.040,0.000,0.000,0.000,0.622,0.639,0.455,0.036,1.000,0.429,0.016
model.000.13.pdb,0.352,0.483,0.095,0.286,0.158,0.000,0.000,0.014,0.345,0.327,0.696,0.143,0.429,1.000,0.134
model.000.14.pdb,0.383,0.066,0.738,0.049,0.526,0.045,0.000,0.378,0.015,0.000,0.077,0.561,0.016,0.134,1.000
