 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.491,0.000,0.569,0.126,0.000,0.102,0.000,0.123,0.000,0.000,0.000,0.000,0.552
model.000.01.pdb,0.510,0.125,0.000,0.438,0.014,0.310,0.628,0.000,0.115,0.133,0.098,0.318,0.200,0.217,0.024
model.000.02.pdb,0.143,0.489,0.000,0.067,0.000,0.173,0.102,0.000,0.000,0.000,0.016,0.000,0.452,0.062,0.000
model.000.03.pdb,0.110,0.000,0.114,0.141,0.113,0.021,0.072,0.362,0.358,0.358,0.291,0.148,0.000,0.222,0.171
model.000.04.pdb,0.012,0.000,0.446,0.041,0.708,0.136,0.041,0.117,0.056,0.230,0.000,0.083,0.000,0.039,0.736
model.000.05.pdb,0.000,0.014,0.370,0.000,0.250,0.094,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.269
model.000.06.pdb,0.531,0.148,0.000,0.489,0.000,0.083,0.308,0.000,0.347,0.082,0.354,0.167,0.333,0.511,0.000
model.000.07.pdb,0.084,0.000,0.225,0.093,0.544,0.359,0.153,0.043,0.025,0.266,0.000,0.164,0.000,0.036,0.441
model.000.08.pdb,0.000,0.000,0.569,0.000,0.328,0.088,0.000,0.138,0.000,0.014,0.000,0.000,0.000,0.000,0.338
model.000.09.pdb,0.132,0.600,0.000,0.078,0.000,0.033,0.061,0.000,0.015,0.000,0.047,0.000,0.500,0.090,0.000
model.000.10.pdb,0.154,0.273,0.000,0.081,0.000,0.300,0.153,0.000,0.000,0.000,0.000,0.000,0.280,0.044,0.000
model.000.11.pdb,0.190,0.000,0.048,0.326,0.155,0.076,0.216,0.083,0.333,0.667,0.204,0.389,0.000,0.275,0.222
model.000.12.pdb,0.099,0.000,0.154,0.148,0.152,0.000,0.076,0.525,0.327,0.380,0.308,0.157,0.000,0.213,0.194
model.000.13.pdb,0.463,0.138,0.000,0.315,0.013,0.301,0.500,0.000,0.094,0.094,0.095,0.224,0.236,0.172,0.012
model.000.14.pdb,0.147,0.000,0.103,0.250,0.206,0.080,0.183,0.173,0.302,0.769,0.193,0.311,0.000,0.233,0.303
