 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.327,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.025,0.000,0.012,0.522,0.340,0.000
model.000.01.pdb,0.172,0.000,0.068,0.000,0.000,0.226,0.000,0.000,0.000,0.012,0.012,0.091,0.412,0.259,0.000
model.000.02.pdb,0.000,0.240,0.396,0.235,0.289,0.032,0.213,0.192,0.000,0.029,0.056,0.490,0.109,0.000,0.062
model.000.03.pdb,0.160,0.000,0.047,0.000,0.013,0.173,0.067,0.037,0.000,0.011,0.126,0.021,0.235,0.232,0.152
model.000.04.pdb,0.000,0.261,0.500,0.255,0.500,0.000,0.514,0.450,0.000,0.015,0.203,0.380,0.000,0.000,0.231
model.000.05.pdb,0.153,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.200,0.013,0.145,0.000,0.000,0.138,0.091
model.000.06.pdb,0.061,0.193,0.043,0.190,0.085,0.000,0.033,0.133,0.721,0.345,0.038,0.026,0.000,0.015,0.057
model.000.07.pdb,0.095,0.000,0.091,0.000,0.033,0.148,0.033,0.015,0.000,0.000,0.067,0.099,0.320,0.136,0.058
model.000.08.pdb,0.186,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.038,0.013,0.264,0.283,0.028
model.000.09.pdb,0.015,0.333,0.078,0.300,0.132,0.000,0.054,0.208,0.522,0.396,0.041,0.071,0.000,0.000,0.045
model.000.10.pdb,0.320,0.000,0.000,0.000,0.000,0.288,0.000,0.000,0.000,0.028,0.000,0.000,0.286,0.455,0.000
model.000.11.pdb,0.316,0.000,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.064,0.000,0.000,0.565,0.352,0.000
model.000.12.pdb,0.048,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.353,0.074,0.134,0.000,0.000,0.033,0.113
model.000.13.pdb,0.268,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.000,0.013,0.012,0.000,0.283,0.380,0.014
model.000.14.pdb,0.000,0.085,0.468,0.083,0.277,0.031,0.283,0.164,0.000,0.000,0.116,0.442,0.105,0.000,0.129
