 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.370,0.636,0.093,0.217,0.117,0.000,0.025,0.000,0.293,0.276,0.612,0.123,0.392,0.700,0.116
model.000.01.pdb,0.034,0.262,0.000,0.364,0.000,0.000,0.000,0.000,0.676,0.743,0.375,0.000,0.657,0.333,0.000
model.000.02.pdb,0.326,0.106,0.383,0.143,0.562,0.000,0.000,0.149,0.036,0.000,0.127,0.474,0.059,0.214,0.500
model.000.03.pdb,0.000,0.000,0.047,0.000,0.000,0.465,0.264,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.051
model.000.04.pdb,0.298,0.343,0.093,0.431,0.136,0.000,0.000,0.000,0.500,0.370,0.549,0.106,0.420,0.667,0.116
model.000.05.pdb,0.000,0.000,0.014,0.000,0.000,0.380,0.352,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.06.pdb,0.380,0.371,0.149,0.308,0.192,0.000,0.000,0.015,0.346,0.255,0.609,0.172,0.375,0.667,0.180
model.000.07.pdb,0.236,0.063,0.407,0.000,0.173,0.143,0.070,0.477,0.000,0.000,0.043,0.314,0.000,0.053,0.365
model.000.08.pdb,0.500,0.569,0.153,0.138,0.172,0.000,0.025,0.043,0.206,0.190,0.538,0.213,0.309,0.623,0.182
model.000.09.pdb,0.460,0.141,0.588,0.029,0.404,0.116,0.066,0.296,0.014,0.000,0.130,0.565,0.045,0.183,0.520
model.000.10.pdb,0.000,0.000,0.071,0.015,0.053,0.014,0.000,0.143,0.000,0.000,0.000,0.048,0.000,0.000,0.061
model.000.11.pdb,0.190,0.358,0.051,0.014,0.015,0.162,0.297,0.043,0.013,0.056,0.111,0.088,0.075,0.132,0.054
model.000.12.pdb,0.333,0.128,0.569,0.000,0.300,0.134,0.081,0.408,0.000,0.000,0.100,0.479,0.015,0.122,0.500
model.000.13.pdb,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.014,0.014,0.000,0.000,0.015,0.000,0.000
model.000.14.pdb,0.099,0.362,0.000,0.000,0.000,0.206,0.344,0.014,0.068,0.114,0.169,0.013,0.136,0.156,0.000
