 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.241,0.271,0.250,0.000,0.000,0.477,0.511,0.000,0.000,0.320,0.000,0.000,0.115,0.123,0.000
model.000.01.pdb,0.431,0.542,0.027,0.000,0.000,0.528,0.526,0.054,0.000,0.519,0.038,0.000,0.312,0.236,0.000
model.000.02.pdb,0.014,0.025,0.545,0.000,0.000,0.090,0.145,0.000,0.000,0.042,0.000,0.149,0.000,0.038,0.068
model.000.03.pdb,0.435,0.276,0.000,0.000,0.000,0.143,0.228,0.220,0.000,0.226,0.083,0.000,0.367,0.600,0.014
model.000.04.pdb,0.053,0.046,0.325,0.000,0.000,0.115,0.208,0.000,0.000,0.073,0.000,0.088,0.017,0.065,0.032
model.000.05.pdb,0.000,0.000,0.123,0.115,0.302,0.000,0.000,0.000,0.143,0.000,0.014,0.123,0.000,0.000,0.071
model.000.06.pdb,0.000,0.012,0.046,0.108,0.259,0.043,0.013,0.000,0.152,0.014,0.057,0.055,0.000,0.000,0.039
model.000.07.pdb,0.000,0.014,0.583,0.052,0.088,0.051,0.015,0.000,0.032,0.000,0.000,0.320,0.000,0.000,0.172
model.000.08.pdb,0.447,0.434,0.000,0.000,0.000,0.222,0.286,0.312,0.000,0.396,0.175,0.000,0.605,0.609,0.000
model.000.09.pdb,0.426,0.442,0.000,0.000,0.000,0.204,0.268,0.348,0.000,0.404,0.200,0.000,0.700,0.521,0.000
model.000.10.pdb,0.500,0.600,0.048,0.000,0.000,0.458,0.617,0.136,0.000,0.614,0.092,0.000,0.460,0.418,0.000
model.000.11.pdb,0.048,0.088,0.405,0.000,0.000,0.185,0.207,0.000,0.000,0.102,0.000,0.062,0.015,0.043,0.014
model.000.12.pdb,0.524,0.600,0.000,0.000,0.000,0.348,0.388,0.255,0.000,0.575,0.105,0.000,0.667,0.522,0.000
model.000.13.pdb,0.625,0.564,0.060,0.000,0.000,0.490,0.745,0.106,0.000,0.571,0.041,0.000,0.411,0.424,0.000
model.000.14.pdb,0.045,0.040,0.500,0.000,0.000,0.133,0.194,0.000,0.000,0.078,0.000,0.143,0.014,0.056,0.057
