 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.121,0.179,0.151,0.000,0.066,0.490,0.306,0.097,0.000,0.203,0.463,0.000,0.194,0.385,0.013
model.000.01.pdb,0.000,0.039,0.000,0.000,0.000,0.622,0.015,0.000,0.000,0.115,0.571,0.054,0.457,0.639,0.083
model.000.02.pdb,0.390,0.581,0.288,0.000,0.306,0.057,0.362,0.512,0.105,0.385,0.051,0.100,0.016,0.058,0.052
model.000.03.pdb,0.035,0.000,0.045,0.164,0.138,0.000,0.000,0.085,0.250,0.000,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.088,0.245,0.105,0.000,0.066,0.431,0.266,0.097,0.000,0.315,0.463,0.075,0.333,0.412,0.099
model.000.05.pdb,0.000,0.000,0.014,0.242,0.075,0.000,0.000,0.045,0.224,0.000,0.000,0.000,0.000,0.000,0.000
model.000.06.pdb,0.150,0.326,0.162,0.000,0.118,0.388,0.333,0.156,0.000,0.347,0.423,0.047,0.250,0.340,0.043
model.000.07.pdb,0.360,0.071,0.560,0.026,0.442,0.000,0.293,0.431,0.175,0.016,0.000,0.000,0.000,0.000,0.000
model.000.08.pdb,0.190,0.241,0.232,0.000,0.123,0.370,0.439,0.176,0.000,0.241,0.356,0.000,0.125,0.281,0.000
model.000.09.pdb,0.521,0.250,0.660,0.000,0.455,0.043,0.569,0.500,0.039,0.148,0.040,0.000,0.000,0.029,0.000
model.000.10.pdb,0.081,0.000,0.041,0.549,0.104,0.000,0.000,0.059,0.404,0.000,0.000,0.250,0.014,0.000,0.224
model.000.11.pdb,0.087,0.015,0.197,0.000,0.038,0.072,0.224,0.053,0.000,0.014,0.081,0.000,0.025,0.058,0.000
model.000.12.pdb,0.500,0.164,0.745,0.012,0.463,0.014,0.436,0.540,0.099,0.078,0.013,0.000,0.000,0.000,0.000
model.000.13.pdb,0.000,0.068,0.000,0.383,0.000,0.000,0.000,0.027,0.132,0.115,0.013,0.533,0.085,0.015,0.596
model.000.14.pdb,0.013,0.000,0.086,0.000,0.000,0.132,0.104,0.012,0.000,0.000,0.186,0.000,0.037,0.118,0.000
