 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.490,0.000,0.135,0.609,0.000,0.254,0.271,0.000,0.317,0.024,0.013,0.178,0.219,0.609,0.385
model.000.01.pdb,0.658,0.000,0.233,0.641,0.000,0.333,0.354,0.000,0.380,0.000,0.062,0.310,0.333,0.684,0.632
model.000.02.pdb,0.304,0.000,0.500,0.156,0.000,0.088,0.119,0.039,0.162,0.000,0.254,0.323,0.200,0.194,0.385
model.000.03.pdb,0.067,0.031,0.154,0.016,0.000,0.016,0.048,0.164,0.077,0.000,0.458,0.242,0.190,0.016,0.068
model.000.04.pdb,0.148,0.000,0.025,0.203,0.000,0.479,0.565,0.000,0.583,0.000,0.434,0.482,0.500,0.224,0.131
model.000.05.pdb,0.091,0.000,0.224,0.034,0.000,0.034,0.051,0.098,0.065,0.000,0.375,0.217,0.182,0.034,0.135
model.000.06.pdb,0.069,0.039,0.023,0.083,0.013,0.279,0.295,0.050,0.297,0.000,0.596,0.429,0.367,0.099,0.041
model.000.07.pdb,0.476,0.000,0.141,0.658,0.000,0.465,0.488,0.000,0.545,0.000,0.079,0.316,0.367,0.615,0.452
model.000.08.pdb,0.400,0.000,0.104,0.641,0.000,0.524,0.548,0.000,0.533,0.000,0.078,0.288,0.360,0.600,0.378
model.000.09.pdb,0.000,0.471,0.024,0.000,0.345,0.000,0.000,0.404,0.000,0.410,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.000,0.298,0.025,0.043,0.304,0.000,0.000,0.145,0.000,0.574,0.000,0.000,0.000,0.028,0.000
model.000.11.pdb,0.211,0.000,0.067,0.400,0.061,0.167,0.164,0.000,0.190,0.093,0.000,0.079,0.088,0.321,0.193
model.000.12.pdb,0.525,0.000,0.241,0.378,0.000,0.292,0.340,0.000,0.367,0.000,0.241,0.542,0.435,0.442,0.538
model.000.13.pdb,0.037,0.133,0.146,0.050,0.151,0.000,0.000,0.047,0.000,0.391,0.000,0.000,0.000,0.063,0.038
model.000.14.pdb,0.050,0.083,0.088,0.016,0.032,0.032,0.083,0.148,0.095,0.000,0.500,0.206,0.193,0.016,0.051
