 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.604,0.013,0.000,0.063,0.642,0.356,0.000,0.431,0.387,0.000,0.000,0.091,0.095,0.012,0.125
model.000.01.pdb,0.469,0.000,0.000,0.000,0.233,0.675,0.000,0.111,0.521,0.000,0.016,0.000,0.000,0.000,0.000
model.000.02.pdb,0.214,0.000,0.000,0.340,0.228,0.068,0.000,0.134,0.211,0.000,0.000,0.122,0.488,0.000,0.231
model.000.03.pdb,0.000,0.354,0.154,0.078,0.000,0.000,0.703,0.000,0.000,0.140,0.167,0.096,0.082,0.314,0.065
model.000.04.pdb,0.518,0.000,0.000,0.063,0.450,0.429,0.000,0.257,0.483,0.000,0.000,0.029,0.095,0.000,0.110
model.000.05.pdb,0.000,0.392,0.320,0.042,0.000,0.000,0.643,0.000,0.000,0.246,0.278,0.050,0.029,0.404,0.029
model.000.06.pdb,0.600,0.000,0.000,0.113,0.577,0.389,0.000,0.313,0.446,0.000,0.000,0.063,0.152,0.000,0.169
model.000.07.pdb,0.053,0.104,0.000,0.472,0.174,0.000,0.200,0.145,0.013,0.000,0.000,0.535,0.364,0.086,0.500
model.000.08.pdb,0.536,0.013,0.000,0.118,0.692,0.266,0.000,0.516,0.318,0.000,0.000,0.141,0.155,0.012,0.224
model.000.09.pdb,0.183,0.097,0.000,0.537,0.323,0.026,0.069,0.260,0.090,0.000,0.000,0.614,0.481,0.066,0.667
model.000.10.pdb,0.000,0.014,0.062,0.069,0.000,0.000,0.109,0.000,0.013,0.327,0.000,0.000,0.104,0.014,0.028
model.000.11.pdb,0.132,0.209,0.070,0.062,0.205,0.052,0.000,0.516,0.036,0.000,0.145,0.197,0.038,0.239,0.206
model.000.12.pdb,0.122,0.114,0.000,0.547,0.269,0.000,0.101,0.247,0.037,0.000,0.000,0.667,0.491,0.081,0.717
model.000.13.pdb,0.012,0.000,0.075,0.013,0.000,0.041,0.027,0.000,0.092,0.375,0.000,0.000,0.040,0.000,0.000
model.000.14.pdb,0.156,0.254,0.097,0.000,0.197,0.105,0.051,0.448,0.084,0.024,0.224,0.101,0.000,0.284,0.104
