 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.044,0.130,0.125,0.014,0.000,0.062,0.121,0.015,0.595,0.172,0.000,0.535,0.014,0.239,0.233
model.000.01.pdb,0.000,0.207,0.000,0.000,0.000,0.000,0.541,0.000,0.341,0.063,0.000,0.094,0.000,0.000,0.200
model.000.02.pdb,0.095,0.143,0.141,0.024,0.000,0.082,0.103,0.027,0.400,0.308,0.000,0.689,0.013,0.196,0.312
model.000.03.pdb,0.092,0.000,0.190,0.706,0.382,0.421,0.000,0.322,0.026,0.000,0.633,0.013,0.729,0.095,0.000
model.000.04.pdb,0.099,0.090,0.273,0.108,0.014,0.188,0.108,0.106,0.609,0.093,0.042,0.460,0.040,0.422,0.141
model.000.05.pdb,0.000,0.540,0.000,0.000,0.000,0.000,0.208,0.000,0.015,0.254,0.000,0.000,0.000,0.000,0.141
model.000.06.pdb,0.013,0.269,0.014,0.000,0.000,0.000,0.263,0.000,0.321,0.367,0.000,0.352,0.000,0.049,0.500
model.000.07.pdb,0.086,0.122,0.193,0.053,0.000,0.121,0.186,0.044,0.756,0.096,0.000,0.479,0.013,0.292,0.215
model.000.08.pdb,0.116,0.000,0.408,0.446,0.148,0.442,0.000,0.333,0.177,0.000,0.276,0.125,0.262,0.432,0.000
model.000.09.pdb,0.000,0.271,0.000,0.000,0.000,0.000,0.676,0.000,0.231,0.091,0.000,0.016,0.000,0.000,0.164
model.000.10.pdb,0.000,0.566,0.000,0.000,0.000,0.000,0.186,0.000,0.014,0.290,0.000,0.000,0.000,0.000,0.162
model.000.11.pdb,0.000,0.041,0.000,0.159,0.016,0.031,0.235,0.000,0.066,0.000,0.100,0.000,0.131,0.000,0.000
model.000.12.pdb,0.000,0.312,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.095,0.000,0.000,0.000,0.000,0.026
model.000.13.pdb,0.000,0.520,0.000,0.000,0.000,0.000,0.212,0.000,0.016,0.197,0.000,0.000,0.000,0.000,0.108
model.000.14.pdb,0.000,0.038,0.000,0.162,0.046,0.014,0.211,0.000,0.044,0.000,0.091,0.000,0.136,0.000,0.000
