 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.327,0.169,0.000,0.564,0.000,0.620,0.053,0.776,0.181,0.000,0.208,0.120,0.000,0.216
model.000.01.pdb,0.327,1.000,0.018,0.000,0.377,0.000,0.283,0.000,0.233,0.000,0.000,0.042,0.000,0.014,0.132
model.000.02.pdb,0.169,0.018,1.000,0.000,0.190,0.000,0.280,0.125,0.228,0.308,0.051,0.045,0.241,0.048,0.000
model.000.03.pdb,0.000,0.000,0.000,1.000,0.000,0.632,0.000,0.204,0.000,0.061,0.067,0.014,0.078,0.015,0.071
model.000.04.pdb,0.564,0.377,0.190,0.000,1.000,0.000,0.723,0.026,0.500,0.133,0.000,0.087,0.077,0.012,0.098
model.000.05.pdb,0.000,0.000,0.000,0.632,0.000,1.000,0.000,0.145,0.000,0.027,0.111,0.026,0.042,0.042,0.080
model.000.06.pdb,0.620,0.283,0.280,0.000,0.723,0.000,1.000,0.056,0.608,0.194,0.000,0.108,0.129,0.013,0.118
model.000.07.pdb,0.053,0.000,0.125,0.204,0.026,0.145,0.056,1.000,0.110,0.411,0.043,0.125,0.560,0.000,0.037
model.000.08.pdb,0.776,0.233,0.228,0.000,0.500,0.000,0.608,0.110,1.000,0.265,0.000,0.239,0.197,0.000,0.230
model.000.09.pdb,0.181,0.000,0.308,0.061,0.133,0.027,0.194,0.411,0.265,1.000,0.013,0.178,0.694,0.000,0.085
model.000.10.pdb,0.000,0.000,0.051,0.067,0.000,0.111,0.000,0.043,0.000,0.013,1.000,0.000,0.055,0.434,0.000
model.000.11.pdb,0.208,0.042,0.045,0.014,0.087,0.026,0.108,0.125,0.239,0.178,0.000,1.000,0.197,0.000,0.569
model.000.12.pdb,0.120,0.000,0.241,0.078,0.077,0.042,0.129,0.560,0.197,0.694,0.055,0.197,1.000,0.000,0.114
model.000.13.pdb,0.000,0.014,0.048,0.015,0.012,0.042,0.013,0.000,0.000,0.000,0.434,0.000,0.000,1.000,0.000
model.000.14.pdb,0.216,0.132,0.000,0.071,0.098,0.080,0.118,0.037,0.230,0.085,0.000,0.569,0.114,0.000,1.000
