 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.063,0.092,0.000,0.435,0.017,0.000,0.000,0.000,0.388,0.288,0.180,0.015,0.255,0.182,0.014
model.000.01.pdb,0.000,0.000,0.177,0.000,0.094,0.131,0.043,0.409,0.000,0.000,0.000,0.067,0.000,0.000,0.172
model.000.02.pdb,0.228,0.049,0.418,0.000,0.145,0.156,0.083,0.457,0.000,0.000,0.027,0.278,0.000,0.038,0.377
model.000.03.pdb,0.000,0.000,0.175,0.000,0.093,0.111,0.042,0.400,0.000,0.000,0.000,0.066,0.000,0.000,0.169
model.000.04.pdb,0.109,0.013,0.190,0.000,0.038,0.354,0.190,0.381,0.000,0.000,0.000,0.132,0.000,0.000,0.164
model.000.05.pdb,0.115,0.105,0.070,0.634,0.089,0.000,0.000,0.000,0.380,0.308,0.217,0.063,0.275,0.274,0.076
model.000.06.pdb,0.071,0.056,0.172,0.000,0.039,0.455,0.308,0.267,0.000,0.000,0.000,0.093,0.000,0.000,0.125
model.000.07.pdb,0.032,0.025,0.141,0.000,0.018,0.353,0.237,0.319,0.000,0.000,0.000,0.032,0.000,0.000,0.115
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.119,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.09.pdb,0.000,0.000,0.051,0.088,0.030,0.026,0.000,0.091,0.027,0.027,0.000,0.014,0.029,0.000,0.040
model.000.10.pdb,0.083,0.133,0.036,0.000,0.000,0.464,0.564,0.087,0.000,0.000,0.037,0.055,0.000,0.035,0.013
model.000.11.pdb,0.226,0.045,0.556,0.000,0.278,0.127,0.050,0.622,0.000,0.000,0.025,0.389,0.000,0.061,0.491
model.000.12.pdb,0.306,0.212,0.125,0.500,0.213,0.000,0.000,0.000,0.300,0.231,0.327,0.167,0.326,0.442,0.175
model.000.13.pdb,0.066,0.125,0.000,0.488,0.018,0.000,0.000,0.000,0.571,0.444,0.296,0.016,0.378,0.246,0.015
model.000.14.pdb,0.076,0.160,0.039,0.000,0.000,0.471,0.580,0.097,0.000,0.000,0.027,0.045,0.000,0.025,0.014
