 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.227,0.565,0.014,0.643,0.000,0.438,0.523,0.115,0.113,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.227,1.000,0.185,0.000,0.196,0.082,0.326,0.311,0.000,0.594,0.073,0.156,0.071,0.083,0.094
model.000.02.pdb,0.565,0.185,1.000,0.012,0.463,0.014,0.549,0.510,0.083,0.095,0.013,0.000,0.000,0.014,0.000
model.000.03.pdb,0.014,0.000,0.012,1.000,0.038,0.000,0.000,0.013,0.333,0.000,0.000,0.180,0.000,0.000,0.182
model.000.04.pdb,0.643,0.196,0.463,0.038,1.000,0.000,0.310,0.574,0.230,0.100,0.000,0.000,0.000,0.000,0.000
model.000.05.pdb,0.000,0.082,0.014,0.000,0.000,1.000,0.097,0.015,0.000,0.160,0.692,0.017,0.340,0.735,0.032
model.000.06.pdb,0.438,0.326,0.549,0.000,0.310,0.097,1.000,0.370,0.014,0.222,0.088,0.000,0.014,0.081,0.000
model.000.07.pdb,0.523,0.311,0.510,0.013,0.574,0.015,0.370,1.000,0.159,0.208,0.014,0.048,0.000,0.016,0.029
model.000.08.pdb,0.115,0.000,0.083,0.333,0.230,0.000,0.014,0.159,1.000,0.016,0.000,0.065,0.000,0.000,0.043
model.000.09.pdb,0.113,0.594,0.095,0.000,0.100,0.160,0.222,0.208,0.016,1.000,0.143,0.239,0.182,0.188,0.167
model.000.10.pdb,0.000,0.073,0.013,0.000,0.000,0.692,0.088,0.014,0.000,0.143,1.000,0.016,0.377,0.711,0.044
model.000.11.pdb,0.000,0.156,0.000,0.180,0.000,0.017,0.000,0.048,0.065,0.239,0.016,1.000,0.138,0.036,0.641
model.000.12.pdb,0.000,0.071,0.000,0.000,0.000,0.340,0.014,0.000,0.000,0.182,0.377,0.138,1.000,0.404,0.180
model.000.13.pdb,0.000,0.083,0.014,0.000,0.000,0.735,0.081,0.016,0.000,0.188,0.711,0.036,0.404,1.000,0.067
model.000.14.pdb,0.000,0.094,0.000,0.182,0.000,0.032,0.000,0.029,0.043,0.167,0.044,0.641,0.180,0.067,1.000
