 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.795,0.000,0.000,0.533,0.000,0.000,0.316,0.000,0.286,0.042,0.013,0.000,0.000,0.000
model.000.01.pdb,0.294,0.000,0.069,0.396,0.000,0.718,0.889,0.000,0.756,0.000,0.263,0.436,0.614,0.426,0.250
model.000.02.pdb,0.578,0.000,0.155,0.714,0.000,0.309,0.327,0.000,0.351,0.012,0.055,0.235,0.288,0.674,0.429
model.000.03.pdb,0.241,0.000,0.068,0.360,0.000,0.700,0.816,0.000,0.825,0.000,0.259,0.429,0.600,0.388,0.222
model.000.04.pdb,0.722,0.000,0.217,0.537,0.000,0.260,0.306,0.000,0.333,0.000,0.133,0.389,0.367,0.575,0.694
model.000.05.pdb,0.000,0.543,0.000,0.000,0.795,0.000,0.000,0.152,0.000,0.439,0.014,0.000,0.000,0.000,0.000
model.000.06.pdb,0.525,0.000,0.333,0.348,0.000,0.170,0.189,0.000,0.264,0.000,0.081,0.276,0.245,0.442,0.765
model.000.07.pdb,0.610,0.000,0.222,0.426,0.000,0.340,0.388,0.000,0.412,0.000,0.200,0.491,0.511,0.558,0.667
model.000.08.pdb,0.059,0.057,0.078,0.028,0.014,0.090,0.138,0.129,0.164,0.000,0.625,0.308,0.242,0.028,0.044
model.000.09.pdb,0.056,0.099,0.012,0.069,0.100,0.305,0.300,0.025,0.281,0.099,0.414,0.348,0.328,0.085,0.027
model.000.10.pdb,0.254,0.000,0.636,0.127,0.000,0.053,0.066,0.075,0.104,0.000,0.076,0.179,0.105,0.176,0.322
model.000.11.pdb,0.375,0.000,0.100,0.625,0.000,0.418,0.436,0.000,0.456,0.023,0.051,0.216,0.262,0.529,0.310
model.000.12.pdb,0.000,0.288,0.000,0.031,0.571,0.000,0.000,0.075,0.000,0.592,0.000,0.000,0.000,0.015,0.000
model.000.13.pdb,0.000,0.744,0.000,0.000,0.523,0.000,0.000,0.352,0.000,0.339,0.029,0.000,0.000,0.000,0.000
model.000.14.pdb,0.241,0.000,0.694,0.106,0.000,0.028,0.042,0.026,0.083,0.000,0.068,0.149,0.085,0.159,0.291
