 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.105,0.066,0.057,0.164,0.143,0.000,0.000,0.000,0.015,0.206,0.000,0.013,0.000,0.143,0.088
model.000.01.pdb,0.026,0.125,0.169,0.013,0.111,0.000,0.000,0.049,0.000,0.296,0.000,0.000,0.000,0.039,0.026
model.000.02.pdb,0.224,0.000,0.038,0.412,0.059,0.200,0.197,0.000,0.222,0.091,0.000,0.091,0.101,0.309,0.186
model.000.03.pdb,0.000,0.488,0.000,0.000,0.658,0.000,0.000,0.150,0.000,0.531,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.037,0.018,0.000,0.213,0.118,0.118,0.115,0.000,0.088,0.131,0.000,0.000,0.017,0.118,0.019
model.000.05.pdb,0.314,0.000,0.444,0.172,0.000,0.097,0.131,0.014,0.177,0.000,0.197,0.311,0.200,0.193,0.435
model.000.06.pdb,0.183,0.000,0.577,0.059,0.000,0.029,0.043,0.054,0.055,0.000,0.185,0.183,0.101,0.108,0.250
model.000.07.pdb,0.333,0.000,0.092,0.605,0.000,0.452,0.442,0.000,0.435,0.000,0.048,0.237,0.250,0.564,0.341
model.000.08.pdb,0.000,0.467,0.000,0.000,0.354,0.000,0.000,0.246,0.000,0.426,0.000,0.000,0.000,0.000,0.000
model.000.09.pdb,0.000,0.354,0.028,0.000,0.280,0.000,0.000,0.273,0.000,0.407,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.000,0.250,0.013,0.030,0.255,0.000,0.000,0.119,0.000,0.397,0.000,0.000,0.000,0.030,0.000
model.000.11.pdb,0.148,0.016,0.043,0.286,0.086,0.086,0.085,0.000,0.079,0.103,0.000,0.027,0.000,0.189,0.089
model.000.12.pdb,0.000,0.348,0.014,0.000,0.298,0.000,0.000,0.175,0.000,0.490,0.000,0.000,0.000,0.000,0.000
model.000.13.pdb,0.000,0.226,0.024,0.042,0.293,0.000,0.000,0.080,0.000,0.500,0.000,0.000,0.000,0.027,0.000
model.000.14.pdb,0.158,0.015,0.013,0.367,0.081,0.196,0.193,0.000,0.180,0.113,0.000,0.068,0.092,0.264,0.140
