 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.241,0.431,0.014,0.435,0.053,0.000,0.000,0.000,0.447,0.426,0.500,0.048,0.524,0.625,0.045
model.000.01.pdb,0.271,0.542,0.025,0.276,0.046,0.000,0.012,0.014,0.434,0.442,0.600,0.088,0.600,0.564,0.040
model.000.02.pdb,0.250,0.027,0.545,0.000,0.325,0.123,0.046,0.583,0.000,0.000,0.048,0.405,0.000,0.060,0.500
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.115,0.108,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.302,0.259,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.05.pdb,0.477,0.528,0.090,0.143,0.115,0.000,0.043,0.051,0.222,0.204,0.458,0.185,0.348,0.490,0.133
model.000.06.pdb,0.511,0.526,0.145,0.228,0.208,0.000,0.013,0.015,0.286,0.268,0.617,0.207,0.388,0.745,0.194
model.000.07.pdb,0.000,0.054,0.000,0.220,0.000,0.000,0.000,0.000,0.312,0.348,0.136,0.000,0.255,0.106,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.143,0.152,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.09.pdb,0.320,0.519,0.042,0.226,0.073,0.000,0.014,0.000,0.396,0.404,0.614,0.102,0.575,0.571,0.078
model.000.10.pdb,0.000,0.038,0.000,0.083,0.000,0.014,0.057,0.000,0.175,0.200,0.092,0.000,0.105,0.041,0.000
model.000.11.pdb,0.000,0.000,0.149,0.000,0.088,0.123,0.055,0.320,0.000,0.000,0.000,0.062,0.000,0.000,0.143
model.000.12.pdb,0.115,0.312,0.000,0.367,0.017,0.000,0.000,0.000,0.605,0.700,0.460,0.015,0.667,0.411,0.014
model.000.13.pdb,0.123,0.236,0.038,0.600,0.065,0.000,0.000,0.000,0.609,0.521,0.418,0.043,0.522,0.424,0.056
model.000.14.pdb,0.000,0.000,0.068,0.014,0.032,0.071,0.039,0.172,0.000,0.000,0.000,0.014,0.000,0.000,0.057
