 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.101,0.111,0.000,0.000,0.278,0.628,0.000
model.000.01.pdb,0.000,1.000,0.327,0.816,0.306,0.000,0.189,0.447,0.175,0.300,0.066,0.386,0.000,0.000,0.042
model.000.02.pdb,0.000,0.327,1.000,0.298,0.500,0.000,0.360,0.404,0.026,0.051,0.147,0.615,0.029,0.000,0.129
model.000.03.pdb,0.000,0.816,0.298,1.000,0.250,0.000,0.185,0.353,0.172,0.317,0.065,0.404,0.000,0.000,0.042
model.000.04.pdb,0.000,0.306,0.500,0.250,1.000,0.000,0.513,0.600,0.061,0.057,0.262,0.339,0.000,0.000,0.207
model.000.05.pdb,0.521,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.013,0.095,0.000,0.000,0.489,0.511,0.000
model.000.06.pdb,0.000,0.189,0.360,0.185,0.513,0.000,1.000,0.537,0.030,0.014,0.382,0.254,0.000,0.000,0.353
model.000.07.pdb,0.000,0.447,0.404,0.353,0.600,0.000,0.537,1.000,0.088,0.130,0.266,0.295,0.000,0.000,0.213
model.000.08.pdb,0.101,0.175,0.026,0.172,0.061,0.013,0.030,0.088,1.000,0.355,0.048,0.000,0.000,0.042,0.053
model.000.09.pdb,0.111,0.300,0.051,0.317,0.057,0.095,0.014,0.130,0.355,1.000,0.011,0.113,0.055,0.068,0.000
model.000.10.pdb,0.000,0.066,0.147,0.065,0.262,0.000,0.382,0.266,0.048,0.011,1.000,0.095,0.000,0.013,0.642
model.000.11.pdb,0.000,0.386,0.615,0.404,0.339,0.000,0.254,0.295,0.000,0.113,0.095,1.000,0.054,0.000,0.090
model.000.12.pdb,0.278,0.000,0.029,0.000,0.000,0.489,0.000,0.000,0.000,0.055,0.000,0.054,1.000,0.288,0.000
model.000.13.pdb,0.628,0.000,0.000,0.000,0.000,0.511,0.000,0.000,0.042,0.068,0.013,0.000,0.288,1.000,0.000
model.000.14.pdb,0.000,0.042,0.129,0.042,0.207,0.000,0.353,0.213,0.053,0.000,0.642,0.090,0.000,0.000,1.000
