 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.783,0.129,0.000,0.576,0.000
model.000.01.pdb,0.114,0.259,0.773,0.232,0.056,0.383,0.093,0.155,0.115,0.000,0.000,0.057,0.375,0.048,0.172
model.000.02.pdb,0.000,0.000,0.281,0.561,0.111,0.579,0.222,0.000,0.000,0.014,0.000,0.000,0.109,0.000,0.432
model.000.03.pdb,0.577,0.263,0.065,0.000,0.145,0.000,0.036,0.365,0.412,0.000,0.110,0.696,0.129,0.095,0.000
model.000.04.pdb,0.181,0.056,0.012,0.000,0.000,0.000,0.000,0.042,0.042,0.232,0.527,0.227,0.014,0.667,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.660,0.540,0.000,0.000,0.294,0.000
model.000.06.pdb,0.169,0.320,0.434,0.264,0.259,0.312,0.250,0.327,0.294,0.000,0.000,0.059,0.600,0.000,0.222
model.000.07.pdb,0.167,0.110,0.110,0.000,0.000,0.000,0.000,0.039,0.038,0.123,0.268,0.160,0.039,0.578,0.000
model.000.08.pdb,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.660,0.081,0.000,0.343,0.000
model.000.09.pdb,0.000,0.015,0.182,0.605,0.271,0.354,0.577,0.015,0.000,0.026,0.000,0.000,0.100,0.000,0.744
model.000.10.pdb,0.000,0.000,0.310,0.314,0.028,0.537,0.111,0.000,0.000,0.027,0.000,0.000,0.143,0.012,0.222
model.000.11.pdb,0.591,0.463,0.148,0.000,0.081,0.000,0.014,0.341,0.364,0.000,0.062,0.435,0.208,0.127,0.000
model.000.12.pdb,0.463,0.255,0.068,0.000,0.169,0.000,0.051,0.333,0.408,0.000,0.147,0.667,0.136,0.127,0.000
model.000.13.pdb,0.081,0.186,0.739,0.268,0.055,0.489,0.091,0.131,0.094,0.000,0.000,0.041,0.360,0.047,0.186
model.000.14.pdb,0.646,0.380,0.129,0.000,0.086,0.000,0.012,0.308,0.327,0.000,0.130,0.630,0.155,0.187,0.000
