 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.738,0.531,0.000,0.475,0.000,0.000,0.000,0.468,0.628,0.000,0.500,0.630,0.000,0.578,0.000
model.000.01.pdb,0.421,0.537,0.014,0.696,0.030,0.027,0.000,0.540,0.625,0.000,0.480,0.482,0.000,0.580,0.057
model.000.02.pdb,0.000,0.079,0.727,0.026,0.514,0.000,0.000,0.107,0.000,0.000,0.000,0.015,0.000,0.000,0.595
model.000.03.pdb,0.000,0.000,0.000,0.000,0.018,0.140,0.763,0.000,0.000,0.658,0.000,0.000,0.319,0.000,0.000
model.000.04.pdb,0.000,0.000,0.016,0.000,0.055,0.065,0.511,0.000,0.000,0.561,0.000,0.000,0.167,0.000,0.000
model.000.05.pdb,0.365,0.553,0.088,0.466,0.074,0.000,0.000,0.861,0.478,0.000,0.231,0.352,0.000,0.380,0.164
model.000.06.pdb,0.453,0.756,0.133,0.492,0.016,0.000,0.000,0.698,0.574,0.000,0.296,0.463,0.000,0.442,0.167
model.000.07.pdb,0.153,0.111,0.000,0.139,0.000,0.260,0.032,0.016,0.161,0.017,0.326,0.167,0.071,0.245,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.169,0.919,0.000,0.000,0.634,0.000,0.000,0.347,0.000,0.000
model.000.09.pdb,0.440,0.609,0.033,0.564,0.017,0.031,0.000,0.659,0.769,0.000,0.444,0.480,0.000,0.628,0.066
model.000.10.pdb,0.059,0.072,0.000,0.075,0.000,0.595,0.131,0.000,0.131,0.032,0.182,0.057,0.362,0.167,0.000
model.000.11.pdb,0.000,0.000,0.179,0.000,0.170,0.000,0.333,0.000,0.000,0.478,0.000,0.000,0.063,0.000,0.062
model.000.12.pdb,0.480,0.462,0.000,0.467,0.000,0.078,0.000,0.296,0.614,0.000,0.811,0.551,0.000,0.714,0.000
model.000.13.pdb,0.580,0.446,0.014,0.388,0.000,0.014,0.000,0.271,0.462,0.000,0.532,0.723,0.000,0.510,0.014
model.000.14.pdb,0.000,0.000,0.062,0.000,0.085,0.000,0.321,0.000,0.000,0.489,0.000,0.000,0.045,0.000,0.000
