 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.294,0.578,0.241,0.722,0.000,0.525,0.610,0.059,0.056,0.254,0.375,0.000,0.000,0.241
model.000.01.pdb,0.795,0.000,0.000,0.000,0.000,0.543,0.000,0.000,0.057,0.099,0.000,0.000,0.288,0.744,0.000
model.000.02.pdb,0.000,0.069,0.155,0.068,0.217,0.000,0.333,0.222,0.078,0.012,0.636,0.100,0.000,0.000,0.694
model.000.03.pdb,0.000,0.396,0.714,0.360,0.537,0.000,0.348,0.426,0.028,0.069,0.127,0.625,0.031,0.000,0.106
model.000.04.pdb,0.533,0.000,0.000,0.000,0.000,0.795,0.000,0.000,0.014,0.100,0.000,0.000,0.571,0.523,0.000
model.000.05.pdb,0.000,0.718,0.309,0.700,0.260,0.000,0.170,0.340,0.090,0.305,0.053,0.418,0.000,0.000,0.028
model.000.06.pdb,0.000,0.889,0.327,0.816,0.306,0.000,0.189,0.388,0.138,0.300,0.066,0.436,0.000,0.000,0.042
model.000.07.pdb,0.316,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.129,0.025,0.075,0.000,0.075,0.352,0.026
model.000.08.pdb,0.000,0.756,0.351,0.825,0.333,0.000,0.264,0.412,0.164,0.281,0.104,0.456,0.000,0.000,0.083
model.000.09.pdb,0.286,0.000,0.012,0.000,0.000,0.439,0.000,0.000,0.000,0.099,0.000,0.023,0.592,0.339,0.000
model.000.10.pdb,0.042,0.263,0.055,0.259,0.133,0.014,0.081,0.200,0.625,0.414,0.076,0.051,0.000,0.029,0.068
model.000.11.pdb,0.013,0.436,0.235,0.429,0.389,0.000,0.276,0.491,0.308,0.348,0.179,0.216,0.000,0.000,0.149
model.000.12.pdb,0.000,0.614,0.288,0.600,0.367,0.000,0.245,0.511,0.242,0.328,0.105,0.262,0.000,0.000,0.085
model.000.13.pdb,0.000,0.426,0.674,0.388,0.575,0.000,0.442,0.558,0.028,0.085,0.176,0.529,0.015,0.000,0.159
model.000.14.pdb,0.000,0.250,0.429,0.222,0.694,0.000,0.765,0.667,0.044,0.027,0.322,0.310,0.000,0.000,0.291
