Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,1.0,0.83335,0.8,0.8667,0.9,0.8667
G3,1.0,0.0,0.83335,0.7666499999999999,0.9333,0.8,0.9333
A4,0.83335,0.83335,0.0,0.6,0.7,0.63335,0.63335
B10,0.8,0.7666499999999999,0.6,0.0,0.5,0.4,0.4667
C6,0.8667,0.9333,0.7,0.5,0.0,0.43335,0.5333
D3,0.9,0.8,0.63335,0.4,0.43335,0.0,0.8
B3,0.8667,0.9333,0.63335,0.4667,0.5333,0.8,0.0
