 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.167,0.673,0.407,0.429,0.268,0.179,0.333,0.108,0.426,0.545,0.390,0.167,0.712,0.118,0.383,0.306,0.453,0.250,0.306,0.091
f_min.final_model.000.01.det_cont.csv,0.127,0.266,0.833,0.104,0.063,0.404,0.245,0.134,0.141,0.371,0.086,0.109,0.383,0.061,0.283,0.154,0.145,0.097,0.667,0.119
f_min.final_model.000.02.det_cont.csv,0.175,0.254,0.667,0.149,0.130,0.490,0.232,0.197,0.167,0.394,0.129,0.175,0.365,0.000,0.404,0.238,0.213,0.139,0.773,0.045
f_min.final_model.000.03.det_cont.csv,0.409,0.108,0.259,0.226,0.271,0.524,0.267,0.426,0.220,0.061,0.218,0.512,0.104,0.000,0.283,0.435,0.292,0.273,0.269,0.000
f_min.final_model.000.04.det_cont.csv,0.353,0.274,0.172,0.500,0.491,0.291,0.455,0.423,0.491,0.146,0.510,0.605,0.266,0.030,0.415,0.622,0.500,0.305,0.197,0.000
f_min.final_model.000.05.det_cont.csv,0.255,0.138,0.400,0.136,0.167,0.737,0.255,0.255,0.156,0.187,0.113,0.280,0.246,0.000,0.429,0.236,0.185,0.161,0.478,0.000
f_min.final_model.000.06.det_cont.csv,0.097,0.679,0.349,0.323,0.195,0.157,0.254,0.037,0.369,0.733,0.292,0.082,0.717,0.182,0.417,0.203,0.295,0.130,0.317,0.138
f_min.final_model.000.07.det_cont.csv,0.674,0.262,0.130,0.471,0.735,0.254,0.340,0.481,0.464,0.115,0.540,0.532,0.217,0.029,0.258,0.520,0.440,0.600,0.118,0.000
f_min.final_model.000.08.det_cont.csv,0.113,0.646,0.136,0.500,0.281,0.092,0.333,0.072,0.549,0.469,0.423,0.131,0.473,0.172,0.415,0.304,0.408,0.203,0.106,0.085
f_min.final_model.000.09.det_cont.csv,0.294,0.490,0.125,0.917,0.580,0.115,0.488,0.246,0.810,0.264,0.775,0.320,0.393,0.066,0.385,0.429,0.650,0.370,0.061,0.000
f_min.final_model.000.10.det_cont.csv,0.882,0.156,0.167,0.288,0.510,0.320,0.283,0.468,0.298,0.060,0.327,0.488,0.134,0.000,0.207,0.417,0.333,0.500,0.153,0.000
f_min.final_model.000.11.det_cont.csv,0.046,0.472,0.088,0.291,0.209,0.014,0.145,0.028,0.322,0.431,0.304,0.079,0.356,0.426,0.254,0.220,0.236,0.101,0.059,0.312
f_min.final_model.000.12.det_cont.csv,0.091,0.414,0.114,0.364,0.197,0.104,0.241,0.013,0.367,0.406,0.328,0.075,0.333,0.392,0.418,0.206,0.309,0.111,0.070,0.264
f_min.final_model.000.13.det_cont.csv,0.036,0.477,0.353,0.236,0.138,0.114,0.174,0.011,0.280,0.881,0.213,0.036,0.581,0.214,0.353,0.139,0.211,0.068,0.343,0.174
f_min.final_model.000.14.det_cont.csv,0.255,0.580,0.136,0.800,0.491,0.127,0.488,0.194,0.756,0.343,0.721,0.302,0.446,0.115,0.442,0.460,0.605,0.305,0.074,0.032
f_min.final_model.000.15.det_cont.csv,0.318,0.172,0.333,0.196,0.203,0.579,0.325,0.312,0.193,0.122,0.167,0.349,0.186,0.000,0.455,0.348,0.289,0.245,0.378,0.000
f_min.final_model.000.16.det_cont.csv,0.538,0.148,0.158,0.286,0.431,0.348,0.279,0.444,0.296,0.037,0.327,0.714,0.125,0.000,0.200,0.488,0.364,0.417,0.123,0.000
f_min.final_model.000.17.det_cont.csv,0.000,0.029,0.015,0.016,0.014,0.000,0.018,0.081,0.014,0.024,0.015,0.000,0.014,0.271,0.000,0.031,0.000,0.061,0.015,0.326
f_min.final_model.000.18.det_cont.csv,0.588,0.247,0.101,0.448,0.709,0.203,0.333,0.458,0.444,0.116,0.509,0.500,0.192,0.039,0.243,0.491,0.350,0.561,0.090,0.000
f_min.final_model.000.19.det_cont.csv,0.000,0.123,0.418,0.014,0.000,0.156,0.063,0.027,0.025,0.293,0.000,0.000,0.254,0.076,0.099,0.013,0.014,0.000,0.434,0.155
