 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.760,0.500,0.594,0.362,0.321,0.227,0.317,0.468,0.350,0.075,0.108,0.159,0.435,0.491,0.358,0.271,0.517,0.125,0.266,0.310
f_min.final_model.000.01.det_cont.csv,0.281,0.154,0.455,0.352,0.172,0.119,0.203,0.269,0.087,0.158,0.138,0.138,0.221,0.549,0.491,0.107,0.149,0.136,0.630,0.526
f_min.final_model.000.02.det_cont.csv,0.250,0.200,0.435,0.520,0.203,0.040,0.250,0.275,0.130,0.211,0.045,0.041,0.323,0.640,0.333,0.162,0.114,0.054,0.444,0.406
f_min.final_model.000.03.det_cont.csv,0.141,0.222,0.087,0.422,0.341,0.000,0.360,0.086,0.269,0.462,0.000,0.000,0.276,0.250,0.027,0.370,0.118,0.000,0.119,0.054
f_min.final_model.000.04.det_cont.csv,0.311,0.431,0.190,0.365,0.571,0.074,0.630,0.169,0.521,0.333,0.000,0.029,0.446,0.283,0.037,0.558,0.297,0.000,0.058,0.024
f_min.final_model.000.05.det_cont.csv,0.136,0.193,0.219,0.535,0.196,0.000,0.250,0.164,0.115,0.311,0.000,0.000,0.310,0.469,0.130,0.206,0.068,0.000,0.193,0.194
f_min.final_model.000.06.det_cont.csv,0.579,0.361,0.705,0.286,0.206,0.317,0.214,0.550,0.239,0.042,0.138,0.262,0.379,0.426,0.500,0.182,0.476,0.186,0.297,0.319
f_min.final_model.000.07.det_cont.csv,0.297,0.357,0.155,0.254,0.533,0.056,0.444,0.147,0.490,0.523,0.000,0.014,0.312,0.231,0.024,0.826,0.284,0.000,0.000,0.023
f_min.final_model.000.08.det_cont.csv,0.538,0.553,0.424,0.246,0.294,0.281,0.339,0.509,0.304,0.032,0.049,0.161,0.473,0.242,0.239,0.246,0.566,0.090,0.058,0.118
f_min.final_model.000.09.det_cont.csv,0.453,0.628,0.300,0.259,0.575,0.129,0.565,0.250,0.556,0.151,0.000,0.078,0.444,0.233,0.111,0.500,0.481,0.014,0.014,0.051
f_min.final_model.000.10.det_cont.csv,0.172,0.259,0.072,0.294,0.452,0.000,0.346,0.114,0.360,0.735,0.000,0.000,0.226,0.241,0.013,0.617,0.164,0.000,0.000,0.026
f_min.final_model.000.11.det_cont.csv,0.436,0.309,0.329,0.129,0.161,0.565,0.213,0.491,0.286,0.000,0.286,0.449,0.333,0.134,0.281,0.176,0.640,0.358,0.075,0.091
f_min.final_model.000.12.det_cont.csv,0.361,0.382,0.329,0.213,0.211,0.434,0.238,0.593,0.226,0.047,0.155,0.339,0.448,0.176,0.211,0.183,0.536,0.267,0.013,0.060
f_min.final_model.000.13.det_cont.csv,0.406,0.268,0.708,0.222,0.122,0.343,0.179,0.538,0.169,0.000,0.157,0.254,0.342,0.362,0.515,0.114,0.408,0.200,0.364,0.397
f_min.final_model.000.14.det_cont.csv,0.481,0.698,0.343,0.268,0.500,0.177,0.562,0.339,0.553,0.123,0.000,0.108,0.528,0.242,0.153,0.421,0.566,0.043,0.014,0.062
f_min.final_model.000.15.det_cont.csv,0.190,0.265,0.153,0.538,0.310,0.016,0.362,0.161,0.216,0.359,0.000,0.000,0.373,0.435,0.059,0.296,0.143,0.000,0.088,0.104
f_min.final_model.000.16.det_cont.csv,0.183,0.280,0.062,0.319,0.462,0.000,0.375,0.072,0.422,0.528,0.000,0.000,0.241,0.214,0.000,0.532,0.175,0.000,0.032,0.000
f_min.final_model.000.17.det_cont.csv,0.014,0.031,0.012,0.000,0.000,0.179,0.030,0.056,0.000,0.000,0.239,0.250,0.000,0.014,0.041,0.000,0.027,0.347,0.048,0.130
f_min.final_model.000.18.det_cont.csv,0.243,0.371,0.140,0.203,0.444,0.062,0.450,0.118,0.491,0.462,0.000,0.012,0.274,0.187,0.022,0.788,0.284,0.000,0.000,0.010
f_min.final_model.000.19.det_cont.csv,0.122,0.041,0.329,0.121,0.015,0.101,0.026,0.117,0.000,0.000,0.218,0.119,0.063,0.270,0.458,0.000,0.036,0.169,0.551,0.760
