 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.224,0.070,0.353,0.362,0.000,0.352,0.066,0.315,0.476,0.000,0.000,0.234,0.230,0.025,0.491,0.125,0.000,0.109,0.051
f_min.final_model.000.01.det_cont.csv,0.281,0.389,0.157,0.217,0.545,0.071,0.426,0.149,0.500,0.467,0.000,0.028,0.277,0.179,0.037,0.886,0.288,0.000,0.000,0.012
f_min.final_model.000.02.det_cont.csv,0.277,0.169,0.448,0.370,0.169,0.086,0.219,0.284,0.086,0.155,0.117,0.103,0.273,0.569,0.458,0.105,0.132,0.101,0.551,0.544
f_min.final_model.000.03.det_cont.csv,0.339,0.500,0.368,0.429,0.383,0.180,0.542,0.323,0.385,0.145,0.000,0.060,0.600,0.357,0.123,0.311,0.367,0.043,0.108,0.120
f_min.final_model.000.04.det_cont.csv,0.344,0.471,0.231,0.304,0.581,0.103,0.481,0.214,0.596,0.404,0.000,0.057,0.407,0.254,0.076,0.660,0.371,0.000,0.000,0.024
f_min.final_model.000.05.det_cont.csv,0.755,0.549,0.471,0.328,0.333,0.317,0.350,0.561,0.411,0.094,0.167,0.258,0.426,0.361,0.328,0.299,0.648,0.179,0.145,0.182
f_min.final_model.000.06.det_cont.csv,0.185,0.207,0.247,0.581,0.212,0.014,0.263,0.194,0.129,0.326,0.000,0.000,0.345,0.480,0.159,0.238,0.096,0.000,0.207,0.206
f_min.final_model.000.07.det_cont.csv,0.441,0.660,0.303,0.288,0.578,0.164,0.538,0.333,0.560,0.190,0.000,0.100,0.536,0.262,0.143,0.509,0.517,0.040,0.013,0.059
f_min.final_model.000.08.det_cont.csv,0.439,0.415,0.371,0.237,0.283,0.364,0.283,0.635,0.250,0.065,0.119,0.276,0.537,0.234,0.214,0.203,0.574,0.230,0.014,0.074
f_min.final_model.000.09.det_cont.csv,0.380,0.512,0.186,0.250,0.667,0.069,0.488,0.180,0.550,0.205,0.000,0.034,0.321,0.222,0.075,0.489,0.333,0.000,0.016,0.042
f_min.final_model.000.10.det_cont.csv,0.574,0.560,0.478,0.333,0.365,0.238,0.404,0.517,0.368,0.095,0.078,0.185,0.536,0.390,0.313,0.284,0.571,0.099,0.147,0.184
f_min.final_model.000.11.det_cont.csv,0.265,0.145,0.429,0.375,0.161,0.113,0.191,0.254,0.082,0.148,0.167,0.130,0.225,0.509,0.508,0.101,0.141,0.145,0.681,0.542
f_min.final_model.000.12.det_cont.csv,0.162,0.029,0.120,0.014,0.000,0.532,0.014,0.302,0.014,0.000,0.575,0.614,0.067,0.070,0.262,0.000,0.224,0.800,0.180,0.200
f_min.final_model.000.13.det_cont.csv,0.410,0.274,0.471,0.262,0.108,0.436,0.157,0.679,0.162,0.000,0.167,0.300,0.359,0.317,0.413,0.101,0.435,0.254,0.215,0.264
f_min.final_model.000.14.det_cont.csv,0.190,0.333,0.113,0.375,0.488,0.000,0.489,0.083,0.388,0.439,0.000,0.000,0.310,0.263,0.000,0.490,0.200,0.000,0.079,0.026
f_min.final_model.000.15.det_cont.csv,0.226,0.232,0.286,0.558,0.265,0.030,0.291,0.234,0.169,0.333,0.034,0.030,0.351,0.587,0.197,0.242,0.129,0.030,0.211,0.227
f_min.final_model.000.16.det_cont.csv,0.194,0.068,0.370,0.149,0.029,0.145,0.038,0.171,0.000,0.000,0.273,0.182,0.074,0.297,0.508,0.000,0.072,0.215,0.580,0.784
f_min.final_model.000.17.det_cont.csv,0.383,0.551,0.228,0.321,0.533,0.134,0.560,0.229,0.652,0.314,0.000,0.056,0.400,0.231,0.062,0.615,0.410,0.027,0.000,0.011
f_min.final_model.000.18.det_cont.csv,0.359,0.509,0.232,0.200,0.431,0.143,0.414,0.216,0.569,0.268,0.000,0.068,0.375,0.167,0.084,0.571,0.406,0.026,0.000,0.022
f_min.final_model.000.19.det_cont.csv,0.473,0.542,0.418,0.469,0.457,0.121,0.520,0.377,0.370,0.161,0.000,0.090,0.708,0.444,0.167,0.344,0.424,0.014,0.088,0.132
