 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.113,0.015,0.047,0.000,0.231,0.072,0.129,0.203,0.316,0.000,0.000,0.000,0.360,0.081,0.203,0.014,0.000,0.000,0.150,0.000
f_min.final_model.000.01.det_cont.csv,0.040,0.444,0.692,0.488,0.215,0.404,0.211,0.013,0.000,0.207,0.074,0.211,0.098,0.269,0.152,0.533,0.548,0.218,0.153,0.175
f_min.final_model.000.02.det_cont.csv,0.171,0.030,0.000,0.032,0.258,0.132,0.217,0.270,0.560,0.042,0.000,0.000,0.246,0.167,0.290,0.028,0.015,0.000,0.220,0.029
f_min.final_model.000.03.det_cont.csv,0.065,0.015,0.061,0.000,0.203,0.055,0.090,0.143,0.300,0.000,0.000,0.000,0.479,0.045,0.111,0.028,0.000,0.000,0.075,0.000
f_min.final_model.000.04.det_cont.csv,0.390,0.190,0.186,0.182,0.092,0.085,0.123,0.290,0.164,0.574,0.750,0.659,0.000,0.129,0.290,0.123,0.131,0.449,0.161,0.543
f_min.final_model.000.05.det_cont.csv,0.162,0.138,0.218,0.127,0.509,0.254,0.346,0.203,0.172,0.014,0.000,0.000,0.388,0.218,0.203,0.207,0.158,0.000,0.255,0.000
f_min.final_model.000.06.det_cont.csv,0.169,0.050,0.016,0.035,0.222,0.145,0.196,0.276,0.532,0.030,0.000,0.000,0.140,0.164,0.321,0.047,0.016,0.000,0.245,0.016
f_min.final_model.000.07.det_cont.csv,0.037,0.000,0.014,0.000,0.036,0.013,0.000,0.000,0.038,0.013,0.143,0.086,0.276,0.000,0.000,0.027,0.014,0.057,0.000,0.072
f_min.final_model.000.08.det_cont.csv,0.383,0.207,0.127,0.179,0.500,0.368,0.510,0.397,0.463,0.136,0.068,0.042,0.091,0.420,0.397,0.194,0.148,0.075,0.490,0.108
f_min.final_model.000.09.det_cont.csv,0.323,0.211,0.167,0.182,0.051,0.069,0.090,0.231,0.147,0.480,0.711,0.738,0.000,0.111,0.270,0.074,0.078,0.479,0.091,0.543
f_min.final_model.000.10.det_cont.csv,0.458,0.177,0.104,0.150,0.403,0.328,0.426,0.527,0.464,0.182,0.110,0.100,0.056,0.370,0.400,0.167,0.123,0.042,0.583,0.119
f_min.final_model.000.11.det_cont.csv,0.046,0.000,0.053,0.000,0.070,0.049,0.012,0.000,0.024,0.025,0.162,0.108,0.250,0.000,0.000,0.079,0.040,0.067,0.000,0.067
f_min.final_model.000.12.det_cont.csv,0.375,0.255,0.161,0.224,0.560,0.440,0.659,0.389,0.281,0.113,0.043,0.046,0.119,0.477,0.389,0.236,0.185,0.048,0.595,0.100
f_min.final_model.000.13.det_cont.csv,0.013,0.000,0.062,0.000,0.079,0.070,0.014,0.000,0.000,0.000,0.070,0.043,0.250,0.000,0.000,0.108,0.062,0.061,0.000,0.014
f_min.final_model.000.14.det_cont.csv,0.057,0.053,0.143,0.042,0.274,0.130,0.122,0.111,0.222,0.000,0.000,0.000,0.528,0.053,0.098,0.137,0.097,0.000,0.079,0.000
f_min.final_model.000.15.det_cont.csv,0.013,0.000,0.030,0.000,0.066,0.014,0.000,0.013,0.070,0.000,0.042,0.014,0.438,0.000,0.000,0.029,0.015,0.000,0.000,0.015
f_min.final_model.000.16.det_cont.csv,0.104,0.108,0.217,0.097,0.387,0.231,0.246,0.122,0.157,0.000,0.000,0.000,0.423,0.123,0.137,0.246,0.180,0.000,0.136,0.000
f_min.final_model.000.17.det_cont.csv,0.433,0.043,0.028,0.045,0.176,0.080,0.185,0.556,0.547,0.345,0.328,0.203,0.027,0.121,0.377,0.041,0.028,0.172,0.267,0.250
f_min.final_model.000.18.det_cont.csv,0.111,0.000,0.000,0.000,0.000,0.000,0.014,0.114,0.169,0.075,0.230,0.164,0.150,0.000,0.026,0.000,0.000,0.062,0.045,0.078
f_min.final_model.000.19.det_cont.csv,0.086,0.000,0.000,0.000,0.013,0.000,0.015,0.156,0.263,0.062,0.127,0.081,0.182,0.000,0.042,0.000,0.000,0.000,0.082,0.032
