 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.208,0.457,0.368,0.469,0.275,0.372,0.410,0.170,0.132,0.302,0.135,0.196,0.019,0.444,0.240,0.447,0.457,0.178,0.317,0.293
f_min.final_model.000.01.det_cont.csv,0.155,0.408,0.522,0.477,0.297,0.674,0.404,0.111,0.083,0.233,0.085,0.159,0.076,0.400,0.176,0.780,0.769,0.183,0.263,0.203
f_min.final_model.000.02.det_cont.csv,0.339,0.404,0.314,0.409,0.481,0.609,0.628,0.305,0.210,0.246,0.088,0.148,0.062,0.763,0.400,0.400,0.320,0.133,0.533,0.236
f_min.final_model.000.03.det_cont.csv,0.655,0.221,0.151,0.197,0.329,0.282,0.403,0.593,0.373,0.443,0.444,0.359,0.024,0.333,0.424,0.176,0.137,0.250,0.433,0.371
f_min.final_model.000.04.det_cont.csv,0.481,0.333,0.226,0.304,0.500,0.440,0.619,0.471,0.327,0.278,0.161,0.133,0.082,0.477,0.415,0.308,0.255,0.158,0.595,0.269
f_min.final_model.000.05.det_cont.csv,0.483,0.217,0.121,0.169,0.450,0.328,0.453,0.556,0.491,0.219,0.141,0.132,0.042,0.396,0.400,0.203,0.141,0.087,0.583,0.154
f_min.final_model.000.06.det_cont.csv,0.463,0.269,0.196,0.265,0.333,0.254,0.400,0.481,0.389,0.449,0.276,0.273,0.000,0.367,0.604,0.186,0.179,0.308,0.302,0.417
f_min.final_model.000.07.det_cont.csv,0.411,0.138,0.136,0.127,0.096,0.088,0.129,0.328,0.190,0.511,0.762,0.628,0.000,0.098,0.222,0.094,0.100,0.417,0.131,0.511
f_min.final_model.000.08.det_cont.csv,0.436,0.347,0.241,0.319,0.569,0.480,0.750,0.400,0.316,0.246,0.121,0.111,0.079,0.595,0.481,0.346,0.269,0.115,0.643,0.214
f_min.final_model.000.09.det_cont.csv,0.526,0.088,0.071,0.077,0.158,0.108,0.200,0.518,0.383,0.436,0.547,0.393,0.000,0.154,0.328,0.068,0.057,0.267,0.283,0.382
f_min.final_model.000.10.det_cont.csv,0.246,0.575,0.455,0.639,0.305,0.543,0.426,0.194,0.108,0.333,0.127,0.241,0.016,0.600,0.298,0.489,0.465,0.300,0.320,0.275
f_min.final_model.000.11.det_cont.csv,0.328,0.382,0.351,0.385,0.500,0.680,0.538,0.299,0.250,0.209,0.063,0.127,0.040,0.638,0.403,0.481,0.462,0.147,0.436,0.200
f_min.final_model.000.12.det_cont.csv,0.127,0.706,0.595,0.636,0.220,0.404,0.292,0.095,0.047,0.260,0.100,0.292,0.034,0.513,0.255,0.409,0.450,0.304,0.245,0.250
f_min.final_model.000.13.det_cont.csv,0.222,0.488,0.444,0.500,0.345,0.756,0.478,0.172,0.106,0.169,0.059,0.133,0.065,0.512,0.230,0.619,0.600,0.138,0.396,0.138
f_min.final_model.000.14.det_cont.csv,0.433,0.281,0.233,0.255,0.611,0.473,0.750,0.448,0.390,0.200,0.110,0.100,0.087,0.480,0.424,0.328,0.259,0.087,0.551,0.210
f_min.final_model.000.15.det_cont.csv,0.458,0.058,0.028,0.045,0.192,0.095,0.203,0.556,0.577,0.345,0.266,0.185,0.042,0.121,0.424,0.041,0.028,0.154,0.267,0.271
f_min.final_model.000.16.det_cont.csv,0.057,0.452,0.676,0.541,0.210,0.438,0.300,0.043,0.014,0.200,0.062,0.204,0.086,0.378,0.161,0.585,0.694,0.212,0.164,0.189
f_min.final_model.000.17.det_cont.csv,0.709,0.080,0.038,0.069,0.267,0.171,0.269,0.559,0.452,0.387,0.391,0.288,0.012,0.206,0.415,0.090,0.066,0.186,0.355,0.361
f_min.final_model.000.18.det_cont.csv,0.350,0.388,0.353,0.391,0.155,0.226,0.200,0.317,0.203,0.780,0.382,0.500,0.000,0.327,0.411,0.241,0.259,0.489,0.224,0.556
f_min.final_model.000.19.det_cont.csv,0.262,0.123,0.083,0.091,0.322,0.220,0.308,0.364,0.587,0.113,0.043,0.062,0.100,0.275,0.415,0.115,0.085,0.048,0.314,0.100
