 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.134,0.654,0.323,0.411,0.254,0.147,0.291,0.066,0.410,0.603,0.373,0.134,0.660,0.119,0.390,0.270,0.382,0.200,0.290,0.076
f_min.final_model.000.01.det_cont.csv,0.400,0.197,0.232,0.347,0.333,0.413,0.381,0.478,0.327,0.073,0.333,0.615,0.172,0.000,0.327,0.558,0.400,0.365,0.241,0.000
f_min.final_model.000.02.det_cont.csv,0.488,0.121,0.207,0.264,0.375,0.375,0.283,0.683,0.254,0.047,0.302,0.488,0.101,0.000,0.250,0.447,0.255,0.440,0.214,0.000
f_min.final_model.000.03.det_cont.csv,0.439,0.169,0.204,0.319,0.333,0.356,0.350,0.488,0.302,0.063,0.306,0.595,0.164,0.000,0.300,0.575,0.372,0.314,0.235,0.000
f_min.final_model.000.04.det_cont.csv,0.242,0.381,0.092,0.569,0.452,0.068,0.333,0.344,0.554,0.244,0.608,0.305,0.309,0.101,0.297,0.446,0.510,0.491,0.025,0.029
f_min.final_model.000.05.det_cont.csv,0.578,0.286,0.100,0.510,0.647,0.217,0.347,0.382,0.473,0.143,0.583,0.511,0.239,0.045,0.283,0.531,0.420,0.519,0.087,0.000
f_min.final_model.000.06.det_cont.csv,0.396,0.453,0.123,0.707,0.538,0.113,0.442,0.309,0.750,0.227,0.714,0.367,0.362,0.082,0.377,0.479,0.634,0.442,0.060,0.016
f_min.final_model.000.07.det_cont.csv,0.104,0.680,0.250,0.426,0.261,0.134,0.302,0.053,0.448,0.571,0.362,0.088,0.536,0.217,0.429,0.238,0.345,0.155,0.200,0.150
f_min.final_model.000.08.det_cont.csv,0.075,0.464,0.164,0.293,0.149,0.104,0.196,0.000,0.323,0.492,0.262,0.043,0.400,0.420,0.393,0.169,0.263,0.081,0.134,0.264
f_min.final_model.000.09.det_cont.csv,0.214,0.322,0.542,0.203,0.157,0.429,0.286,0.197,0.238,0.368,0.177,0.193,0.429,0.015,0.480,0.263,0.283,0.169,0.532,0.050
f_min.final_model.000.10.det_cont.csv,0.092,0.246,0.674,0.104,0.050,0.327,0.200,0.070,0.141,0.412,0.070,0.044,0.383,0.045,0.242,0.087,0.164,0.097,0.596,0.100
f_min.final_model.000.11.det_cont.csv,0.155,0.203,0.698,0.094,0.081,0.500,0.216,0.200,0.116,0.314,0.075,0.175,0.317,0.015,0.327,0.203,0.136,0.087,0.775,0.069
f_min.final_model.000.12.det_cont.csv,0.048,0.056,0.000,0.097,0.114,0.000,0.091,0.207,0.087,0.023,0.094,0.066,0.013,0.164,0.014,0.095,0.032,0.197,0.000,0.154
f_min.final_model.000.13.det_cont.csv,0.362,0.345,0.148,0.523,0.481,0.245,0.405,0.353,0.510,0.171,0.568,0.600,0.310,0.050,0.429,0.619,0.561,0.309,0.153,0.000
f_min.final_model.000.14.det_cont.csv,0.156,0.448,0.270,0.400,0.261,0.333,0.408,0.162,0.448,0.478,0.386,0.213,0.433,0.159,0.818,0.393,0.370,0.155,0.279,0.078
f_min.final_model.000.15.det_cont.csv,0.861,0.185,0.123,0.346,0.569,0.255,0.292,0.469,0.328,0.070,0.358,0.489,0.145,0.000,0.177,0.420,0.314,0.667,0.109,0.000
f_min.final_model.000.16.det_cont.csv,0.800,0.141,0.131,0.294,0.520,0.275,0.261,0.478,0.281,0.048,0.283,0.465,0.119,0.000,0.169,0.367,0.312,0.511,0.117,0.000
f_min.final_model.000.17.det_cont.csv,0.182,0.119,0.420,0.115,0.114,0.718,0.250,0.186,0.119,0.216,0.094,0.204,0.242,0.000,0.365,0.190,0.182,0.141,0.438,0.000
f_min.final_model.000.18.det_cont.csv,0.245,0.551,0.161,0.568,0.411,0.079,0.326,0.183,0.583,0.319,0.543,0.320,0.418,0.121,0.309,0.400,0.467,0.298,0.094,0.052
f_min.final_model.000.19.det_cont.csv,0.182,0.293,0.543,0.214,0.147,0.396,0.277,0.167,0.230,0.364,0.186,0.161,0.375,0.000,0.479,0.232,0.275,0.141,0.568,0.017
