 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.095,0.232,0.344,0.414,0.308,0.589,0.212,0.419,0.371,0.309,0.600,0.309,0.093,0.435,0.147,0.295,0.254,0.323,0.343,0.448
f_min.final_model.000.01.det_cont.csv,0.659,0.385,0.217,0.353,0.440,0.226,0.396,0.339,0.143,0.405,0.230,0.226,0.000,0.041,0.806,0.375,0.041,0.431,0.262,0.392
f_min.final_model.000.02.det_cont.csv,0.683,0.431,0.194,0.250,0.404,0.149,0.360,0.288,0.074,0.333,0.152,0.203,0.000,0.027,0.571,0.367,0.041,0.345,0.345,0.263
f_min.final_model.000.03.det_cont.csv,0.600,0.388,0.190,0.300,0.447,0.180,0.340,0.315,0.133,0.375,0.203,0.200,0.000,0.043,0.743,0.378,0.043,0.408,0.259,0.340
f_min.final_model.000.04.det_cont.csv,0.262,0.433,0.087,0.339,0.458,0.385,0.110,0.648,0.344,0.521,0.391,0.059,0.037,0.216,0.295,0.143,0.011,0.500,0.655,0.393
f_min.final_model.000.05.det_cont.csv,0.382,0.739,0.095,0.305,0.702,0.292,0.230,0.456,0.231,0.426,0.297,0.091,0.000,0.105,0.490,0.233,0.000,0.588,0.635,0.362
f_min.final_model.000.06.det_cont.csv,0.286,0.583,0.116,0.377,0.617,0.429,0.145,0.717,0.382,0.615,0.463,0.096,0.014,0.194,0.353,0.186,0.026,0.571,0.653,0.500
f_min.final_model.000.07.det_cont.csv,0.068,0.186,0.273,0.429,0.277,0.673,0.200,0.410,0.456,0.250,0.654,0.243,0.159,0.500,0.101,0.242,0.192,0.292,0.313,0.439
f_min.final_model.000.08.det_cont.csv,0.027,0.141,0.155,0.345,0.209,0.441,0.152,0.355,0.653,0.172,0.448,0.133,0.300,0.635,0.057,0.172,0.104,0.206,0.246,0.333
f_min.final_model.000.09.det_cont.csv,0.237,0.167,0.560,0.396,0.242,0.328,0.532,0.231,0.203,0.208,0.404,0.473,0.057,0.286,0.273,0.690,0.266,0.219,0.139,0.434
f_min.final_model.000.10.det_cont.csv,0.118,0.067,0.841,0.222,0.081,0.235,0.364,0.122,0.143,0.098,0.277,0.750,0.149,0.292,0.106,0.396,0.585,0.080,0.062,0.254
f_min.final_model.000.11.det_cont.csv,0.286,0.101,0.711,0.281,0.134,0.194,0.511,0.113,0.086,0.105,0.234,0.702,0.090,0.212,0.278,0.489,0.379,0.132,0.052,0.271
f_min.final_model.000.12.det_cont.csv,0.111,0.088,0.000,0.060,0.042,0.040,0.000,0.116,0.042,0.089,0.055,0.000,0.164,0.040,0.047,0.000,0.013,0.056,0.145,0.028
f_min.final_model.000.13.det_cont.csv,0.380,0.553,0.138,0.458,0.622,0.351,0.259,0.520,0.281,0.538,0.357,0.149,0.000,0.132,0.571,0.314,0.000,0.644,0.500,0.500
f_min.final_model.000.14.det_cont.csv,0.197,0.258,0.292,0.739,0.361,0.426,0.368,0.483,0.482,0.250,0.593,0.261,0.067,0.403,0.267,0.400,0.101,0.377,0.313,0.608
f_min.final_model.000.15.det_cont.csv,0.469,0.727,0.116,0.177,0.490,0.212,0.246,0.362,0.118,0.432,0.197,0.111,0.000,0.039,0.468,0.250,0.013,0.426,0.446,0.230
f_min.final_model.000.16.det_cont.csv,0.545,0.636,0.123,0.150,0.469,0.169,0.264,0.316,0.108,0.372,0.172,0.118,0.000,0.027,0.477,0.269,0.013,0.404,0.375,0.203
f_min.final_model.000.17.det_cont.csv,0.321,0.121,0.415,0.315,0.175,0.114,0.683,0.132,0.156,0.109,0.185,0.393,0.000,0.182,0.314,0.478,0.219,0.154,0.068,0.281
f_min.final_model.000.18.det_cont.csv,0.203,0.415,0.152,0.358,0.442,0.612,0.111,0.472,0.293,0.442,0.500,0.145,0.075,0.295,0.308,0.169,0.068,0.520,0.429,0.396
f_min.final_model.000.19.det_cont.csv,0.207,0.156,0.562,0.365,0.233,0.279,0.468,0.242,0.194,0.196,0.351,0.472,0.029,0.238,0.218,0.619,0.258,0.190,0.145,0.404
