 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
finalmodel.000.00.det_cont.csv,0.134,0.400,0.488,0.439,0.242,0.578,0.396,0.104,0.075,0.214,0.092,0.155,0.048,0.362,0.156,0.861,0.800,0.182,0.245,0.182
finalmodel.000.01.det_cont.csv,0.654,0.197,0.121,0.169,0.381,0.286,0.453,0.680,0.464,0.322,0.246,0.203,0.056,0.345,0.448,0.185,0.141,0.119,0.551,0.293
finalmodel.000.02.det_cont.csv,0.323,0.232,0.207,0.204,0.092,0.100,0.123,0.250,0.164,0.542,0.674,0.698,0.000,0.148,0.270,0.123,0.131,0.420,0.161,0.543
finalmodel.000.03.det_cont.csv,0.411,0.347,0.264,0.319,0.569,0.510,0.707,0.426,0.293,0.203,0.104,0.094,0.097,0.523,0.400,0.346,0.294,0.115,0.568,0.214
finalmodel.000.04.det_cont.csv,0.254,0.333,0.375,0.333,0.452,0.647,0.538,0.261,0.149,0.157,0.050,0.081,0.114,0.481,0.261,0.569,0.520,0.114,0.411,0.147
finalmodel.000.05.det_cont.csv,0.147,0.413,0.375,0.356,0.068,0.217,0.113,0.134,0.104,0.429,0.327,0.500,0.000,0.245,0.333,0.255,0.275,0.718,0.079,0.396
finalmodel.000.06.det_cont.csv,0.291,0.381,0.283,0.350,0.333,0.347,0.442,0.302,0.196,0.286,0.200,0.216,0.091,0.405,0.408,0.292,0.261,0.250,0.326,0.277
finalmodel.000.07.det_cont.csv,0.066,0.478,0.683,0.488,0.344,0.382,0.309,0.053,0.000,0.197,0.070,0.200,0.207,0.353,0.162,0.469,0.478,0.186,0.183,0.167
finalmodel.000.08.det_cont.csv,0.410,0.327,0.254,0.302,0.554,0.473,0.750,0.448,0.323,0.238,0.141,0.116,0.087,0.510,0.448,0.328,0.281,0.119,0.583,0.230
finalmodel.000.09.det_cont.csv,0.603,0.073,0.047,0.063,0.244,0.143,0.227,0.571,0.492,0.368,0.412,0.314,0.023,0.171,0.478,0.070,0.048,0.216,0.319,0.364
finalmodel.000.10.det_cont.csv,0.373,0.333,0.302,0.306,0.608,0.583,0.714,0.362,0.262,0.177,0.070,0.075,0.094,0.568,0.386,0.358,0.283,0.094,0.543,0.186
finalmodel.000.11.det_cont.csv,0.134,0.615,0.488,0.595,0.305,0.511,0.367,0.088,0.043,0.193,0.044,0.175,0.066,0.600,0.213,0.489,0.465,0.204,0.320,0.161
finalmodel.000.12.det_cont.csv,0.660,0.172,0.101,0.164,0.309,0.239,0.362,0.536,0.400,0.429,0.383,0.317,0.013,0.310,0.433,0.145,0.119,0.242,0.418,0.375
finalmodel.000.13.det_cont.csv,0.119,0.000,0.000,0.000,0.101,0.045,0.082,0.217,0.420,0.015,0.045,0.015,0.164,0.050,0.159,0.000,0.000,0.000,0.121,0.000
finalmodel.000.14.det_cont.csv,0.390,0.327,0.250,0.300,0.297,0.283,0.377,0.429,0.393,0.480,0.242,0.327,0.014,0.429,0.818,0.177,0.169,0.365,0.309,0.479
finalmodel.000.15.det_cont.csv,0.270,0.558,0.447,0.575,0.446,0.531,0.479,0.238,0.169,0.263,0.087,0.203,0.095,0.619,0.393,0.420,0.367,0.190,0.400,0.232
finalmodel.000.16.det_cont.csv,0.382,0.400,0.255,0.372,0.510,0.420,0.634,0.345,0.263,0.283,0.164,0.136,0.032,0.561,0.370,0.314,0.312,0.182,0.467,0.275
finalmodel.000.17.det_cont.csv,0.200,0.365,0.440,0.314,0.491,0.519,0.442,0.155,0.081,0.169,0.097,0.087,0.197,0.309,0.155,0.667,0.511,0.141,0.298,0.141
finalmodel.000.18.det_cont.csv,0.290,0.241,0.214,0.235,0.025,0.087,0.060,0.200,0.134,0.532,0.596,0.775,0.000,0.153,0.279,0.109,0.117,0.438,0.094,0.568
finalmodel.000.19.det_cont.csv,0.076,0.000,0.000,0.000,0.029,0.000,0.016,0.150,0.264,0.050,0.100,0.069,0.154,0.000,0.078,0.000,0.000,0.000,0.052,0.017
