 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.155,0.265,0.403,0.407,0.344,0.667,0.246,0.435,0.365,0.352,0.618,0.364,0.107,0.452,0.197,0.311,0.286,0.381,0.358,0.518
f_min.final_model.000.01.det_cont.csv,0.188,0.096,0.884,0.262,0.111,0.254,0.389,0.137,0.111,0.117,0.297,0.909,0.149,0.254,0.177,0.396,0.556,0.110,0.062,0.274
f_min.final_model.000.02.det_cont.csv,0.274,0.137,0.714,0.333,0.186,0.243,0.592,0.178,0.153,0.148,0.284,0.642,0.053,0.261,0.267,0.638,0.359,0.167,0.100,0.344
f_min.final_model.000.03.det_cont.csv,0.718,0.315,0.241,0.259,0.365,0.154,0.500,0.233,0.076,0.261,0.138,0.250,0.000,0.027,0.684,0.413,0.056,0.358,0.188,0.273
f_min.final_model.000.04.det_cont.csv,0.480,0.529,0.179,0.442,0.592,0.281,0.304,0.500,0.258,0.512,0.306,0.171,0.000,0.108,0.651,0.358,0.025,0.612,0.456,0.510
f_min.final_model.000.05.det_cont.csv,0.380,0.177,0.396,0.373,0.237,0.149,0.789,0.169,0.141,0.132,0.206,0.375,0.000,0.167,0.375,0.595,0.167,0.213,0.099,0.333
f_min.final_model.000.06.det_cont.csv,0.063,0.173,0.348,0.393,0.239,0.614,0.203,0.379,0.375,0.230,0.625,0.353,0.164,0.559,0.095,0.262,0.296,0.236,0.274,0.381
f_min.final_model.000.07.det_cont.csv,0.481,0.800,0.123,0.279,0.653,0.269,0.267,0.500,0.209,0.511,0.273,0.118,0.000,0.090,0.480,0.271,0.012,0.577,0.536,0.356
f_min.final_model.000.08.det_cont.csv,0.072,0.238,0.162,0.442,0.345,0.519,0.159,0.558,0.592,0.300,0.620,0.123,0.103,0.464,0.145,0.161,0.093,0.339,0.383,0.540
f_min.final_model.000.09.det_cont.csv,0.268,0.500,0.118,0.412,0.562,0.491,0.148,0.773,0.389,0.676,0.500,0.097,0.000,0.197,0.308,0.169,0.039,0.551,0.600,0.510
f_min.final_model.000.10.det_cont.csv,0.500,0.622,0.156,0.186,0.521,0.185,0.308,0.310,0.123,0.364,0.188,0.149,0.000,0.041,0.500,0.314,0.013,0.423,0.368,0.241
f_min.final_model.000.11.det_cont.csv,0.028,0.167,0.083,0.321,0.222,0.500,0.043,0.311,0.510,0.185,0.455,0.080,0.321,0.528,0.077,0.076,0.080,0.258,0.262,0.267
f_min.final_model.000.12.det_cont.csv,0.041,0.174,0.108,0.368,0.266,0.417,0.134,0.424,0.800,0.214,0.400,0.090,0.300,0.518,0.088,0.136,0.049,0.262,0.303,0.379
f_min.final_model.000.13.det_cont.csv,0.022,0.105,0.371,0.333,0.159,0.478,0.169,0.273,0.377,0.123,0.463,0.338,0.211,0.650,0.048,0.219,0.338,0.171,0.190,0.306
f_min.final_model.000.14.det_cont.csv,0.213,0.418,0.129,0.471,0.529,0.547,0.159,0.841,0.500,0.548,0.620,0.108,0.027,0.281,0.291,0.180,0.051,0.580,0.596,0.571
f_min.final_model.000.15.det_cont.csv,0.465,0.241,0.308,0.391,0.288,0.203,0.590,0.228,0.175,0.227,0.207,0.291,0.000,0.092,0.463,0.564,0.076,0.308,0.125,0.375
f_min.final_model.000.16.det_cont.csv,0.625,0.468,0.129,0.200,0.533,0.177,0.333,0.309,0.113,0.366,0.180,0.141,0.000,0.014,0.722,0.286,0.000,0.489,0.298,0.259
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.043,0.015,0.000,0.014,0.000,0.014,0.060,0.000,0.014,0.042,0.333,0.042,0.000,0.000,0.119,0.000,0.041,0.000
f_min.final_model.000.18.det_cont.csv,0.410,0.765,0.096,0.261,0.607,0.237,0.214,0.476,0.184,0.426,0.257,0.093,0.000,0.080,0.456,0.217,0.000,0.542,0.610,0.309
f_min.final_model.000.19.det_cont.csv,0.055,0.000,0.464,0.099,0.000,0.118,0.152,0.024,0.025,0.015,0.120,0.491,0.182,0.197,0.028,0.190,0.771,0.000,0.000,0.081
