 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.642,0.455,0.629,0.300,0.281,0.231,0.281,0.475,0.311,0.060,0.092,0.145,0.443,0.474,0.343,0.239,0.452,0.111,0.250,0.314
f_min.final_model.000.01.det_cont.csv,0.233,0.340,0.114,0.413,0.500,0.000,0.500,0.100,0.396,0.381,0.000,0.000,0.364,0.291,0.013,0.442,0.203,0.000,0.098,0.039
f_min.final_model.000.02.det_cont.csv,0.136,0.214,0.072,0.347,0.386,0.000,0.346,0.083,0.283,0.553,0.000,0.000,0.246,0.241,0.013,0.462,0.114,0.000,0.079,0.039
f_min.final_model.000.03.det_cont.csv,0.186,0.286,0.105,0.386,0.474,0.000,0.444,0.090,0.340,0.421,0.000,0.000,0.340,0.288,0.014,0.420,0.159,0.000,0.086,0.042
f_min.final_model.000.04.det_cont.csv,0.375,0.588,0.229,0.197,0.423,0.157,0.456,0.247,0.558,0.143,0.000,0.067,0.369,0.164,0.083,0.459,0.444,0.038,0.000,0.033
f_min.final_model.000.05.det_cont.csv,0.302,0.415,0.171,0.237,0.478,0.087,0.426,0.149,0.500,0.467,0.000,0.028,0.317,0.197,0.037,0.804,0.328,0.000,0.000,0.012
f_min.final_model.000.06.det_cont.csv,0.444,0.614,0.278,0.255,0.600,0.145,0.521,0.266,0.543,0.240,0.016,0.077,0.436,0.230,0.095,0.549,0.473,0.029,0.000,0.037
f_min.final_model.000.07.det_cont.csv,0.635,0.418,0.571,0.288,0.224,0.322,0.270,0.544,0.279,0.045,0.169,0.242,0.387,0.344,0.375,0.194,0.571,0.182,0.164,0.216
f_min.final_model.000.08.det_cont.csv,0.383,0.357,0.366,0.254,0.169,0.462,0.200,0.654,0.188,0.031,0.196,0.339,0.355,0.212,0.284,0.151,0.483,0.288,0.070,0.114
f_min.final_model.000.09.det_cont.csv,0.339,0.263,0.409,0.591,0.250,0.091,0.298,0.344,0.161,0.235,0.086,0.092,0.379,0.810,0.262,0.194,0.188,0.059,0.263,0.333
f_min.final_model.000.10.det_cont.csv,0.281,0.154,0.500,0.281,0.133,0.103,0.149,0.288,0.042,0.082,0.138,0.121,0.203,0.463,0.545,0.064,0.118,0.136,0.630,0.582
f_min.final_model.000.11.det_cont.csv,0.200,0.127,0.353,0.438,0.164,0.044,0.217,0.209,0.092,0.216,0.069,0.061,0.254,0.531,0.306,0.129,0.110,0.076,0.511,0.361
f_min.final_model.000.12.det_cont.csv,0.027,0.078,0.000,0.000,0.051,0.113,0.109,0.026,0.078,0.017,0.091,0.133,0.013,0.000,0.000,0.100,0.068,0.169,0.000,0.025
f_min.final_model.000.13.det_cont.csv,0.364,0.511,0.203,0.404,0.525,0.115,0.522,0.200,0.581,0.311,0.000,0.063,0.434,0.263,0.068,0.583,0.368,0.015,0.030,0.013
f_min.final_model.000.14.det_cont.csv,0.349,0.444,0.394,0.434,0.315,0.238,0.455,0.443,0.345,0.169,0.045,0.149,0.686,0.367,0.205,0.284,0.443,0.083,0.099,0.125
f_min.final_model.000.15.det_cont.csv,0.200,0.291,0.082,0.232,0.455,0.000,0.327,0.095,0.340,0.550,0.000,0.000,0.197,0.190,0.013,0.681,0.191,0.000,0.000,0.025
f_min.final_model.000.16.det_cont.csv,0.156,0.241,0.060,0.250,0.429,0.000,0.302,0.100,0.314,0.706,0.000,0.000,0.190,0.203,0.013,0.630,0.132,0.000,0.015,0.013
f_min.final_model.000.17.det_cont.csv,0.134,0.150,0.250,0.426,0.148,0.000,0.183,0.162,0.078,0.224,0.000,0.000,0.283,0.404,0.162,0.149,0.068,0.000,0.232,0.246
f_min.final_model.000.18.det_cont.csv,0.571,0.522,0.338,0.283,0.465,0.228,0.440,0.311,0.556,0.130,0.109,0.169,0.345,0.233,0.194,0.444,0.538,0.094,0.077,0.079
f_min.final_model.000.19.det_cont.csv,0.246,0.255,0.364,0.523,0.240,0.030,0.291,0.295,0.150,0.224,0.017,0.046,0.351,0.622,0.295,0.167,0.145,0.030,0.278,0.286
