 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
finalmodel.000.00.det_cont.csv,0.457,0.690,0.125,0.153,0.479,0.190,0.269,0.321,0.109,0.381,0.175,0.119,0.000,0.042,0.455,0.275,0.014,0.412,0.382,0.207
finalmodel.000.01.det_cont.csv,0.116,0.266,0.262,0.393,0.350,0.771,0.169,0.527,0.446,0.360,0.750,0.250,0.147,0.441,0.175,0.210,0.181,0.344,0.387,0.481
finalmodel.000.02.det_cont.csv,0.217,0.100,0.814,0.276,0.132,0.286,0.440,0.159,0.132,0.123,0.311,0.761,0.088,0.266,0.186,0.449,0.473,0.130,0.079,0.310
finalmodel.000.03.det_cont.csv,0.250,0.480,0.119,0.420,0.574,0.500,0.150,0.750,0.396,0.649,0.510,0.099,0.000,0.200,0.340,0.193,0.040,0.531,0.580,0.521
finalmodel.000.04.det_cont.csv,0.379,0.714,0.076,0.246,0.647,0.313,0.197,0.526,0.217,0.479,0.318,0.060,0.000,0.114,0.400,0.200,0.011,0.604,0.589,0.317
finalmodel.000.05.det_cont.csv,0.438,0.197,0.423,0.346,0.237,0.116,0.789,0.152,0.123,0.132,0.188,0.426,0.000,0.132,0.404,0.523,0.167,0.233,0.099,0.309
finalmodel.000.06.det_cont.csv,0.292,0.347,0.241,0.465,0.320,0.321,0.271,0.468,0.269,0.395,0.408,0.228,0.000,0.167,0.372,0.277,0.077,0.367,0.315,0.477
finalmodel.000.07.det_cont.csv,0.636,0.407,0.132,0.177,0.333,0.111,0.246,0.295,0.041,0.312,0.129,0.143,0.014,0.013,0.500,0.250,0.026,0.328,0.328,0.210
finalmodel.000.08.det_cont.csv,0.262,0.473,0.155,0.393,0.588,0.518,0.169,0.750,0.397,0.581,0.585,0.133,0.013,0.250,0.321,0.210,0.062,0.547,0.564,0.538
finalmodel.000.09.det_cont.csv,0.045,0.129,0.386,0.368,0.185,0.515,0.213,0.303,0.412,0.153,0.500,0.351,0.177,0.613,0.072,0.268,0.316,0.198,0.217,0.338
finalmodel.000.10.det_cont.csv,0.263,0.520,0.100,0.404,0.617,0.455,0.127,0.681,0.357,0.575,0.436,0.081,0.014,0.176,0.353,0.167,0.013,0.571,0.723,0.471
finalmodel.000.11.det_cont.csv,0.558,0.511,0.108,0.236,0.578,0.172,0.294,0.345,0.109,0.415,0.175,0.119,0.000,0.014,0.778,0.275,0.000,0.565,0.357,0.273
finalmodel.000.12.det_cont.csv,0.097,0.239,0.377,0.429,0.317,0.582,0.238,0.410,0.383,0.296,0.623,0.359,0.081,0.500,0.169,0.305,0.299,0.292,0.313,0.519
finalmodel.000.13.det_cont.csv,0.000,0.029,0.044,0.117,0.045,0.194,0.000,0.106,0.321,0.000,0.141,0.057,0.595,0.321,0.000,0.000,0.104,0.076,0.087,0.062
finalmodel.000.14.det_cont.csv,0.217,0.262,0.322,0.762,0.375,0.397,0.440,0.455,0.426,0.255,0.509,0.286,0.028,0.328,0.296,0.449,0.110,0.368,0.323,0.652
finalmodel.000.15.det_cont.csv,0.420,0.471,0.152,0.440,0.596,0.317,0.273,0.500,0.230,0.409,0.345,0.162,0.029,0.145,0.581,0.327,0.013,0.551,0.429,0.396
finalmodel.000.16.det_cont.csv,0.288,0.449,0.180,0.388,0.511,0.471,0.222,0.609,0.420,0.611,0.480,0.136,0.000,0.210,0.333,0.275,0.042,0.532,0.490,0.556
finalmodel.000.17.det_cont.csv,0.389,0.580,0.111,0.188,0.411,0.239,0.194,0.390,0.162,0.467,0.224,0.092,0.013,0.064,0.358,0.197,0.012,0.379,0.500,0.258
finalmodel.000.18.det_cont.csv,0.224,0.071,0.689,0.309,0.103,0.179,0.458,0.099,0.087,0.069,0.219,0.646,0.075,0.254,0.193,0.500,0.411,0.101,0.026,0.254
finalmodel.000.19.det_cont.csv,0.000,0.000,0.098,0.033,0.000,0.129,0.000,0.030,0.222,0.000,0.078,0.111,0.703,0.207,0.000,0.017,0.167,0.015,0.014,0.000
