 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.075,0.110,0.026,0.030
model.000.01.pdb,0.075,1.000,0.060,0.133,0.439
model.000.02.pdb,0.110,0.060,1.000,0.481,0.000
model.000.03.pdb,0.026,0.133,0.481,1.000,0.066
model.000.04.pdb,0.030,0.439,0.000,0.066,1.000
