 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.609,0.286,0.185,0.429,0.434
model.000.01.pdb,0.014,0.123,0.345,0.013,0.000
model.000.02.pdb,0.667,0.204,0.159,0.652,0.600
model.000.03.pdb,0.276,0.033,0.000,0.333,0.382
model.000.04.pdb,0.659,0.319,0.226,0.580,0.500
