 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.245,0.300,0.333,0.491,0.661,0.448,0.500,0.404,0.509,0.593,0.491,0.648,0.109,0.617,0.308,0.217,0.212,0.338,0.540,0.097,0.206,0.500,0.141,0.283,0.519,0.459
f_min.final_model.000.01.det_cont.csv,0.176,0.108,0.138,0.177,0.426,0.773,0.426,0.088,0.305,0.404,0.123,0.482,0.226,0.400,0.082,0.117,0.104,0.095,0.379,0.123,0.458,0.246,0.264,0.076,0.462,0.729
f_min.final_model.000.02.det_cont.csv,0.235,0.154,0.222,0.226,0.385,0.620,0.343,0.100,0.404,0.361,0.152,0.458,0.333,0.382,0.108,0.167,0.149,0.167,0.362,0.169,0.587,0.254,0.373,0.088,0.491,0.509
f_min.final_model.000.03.det_cont.csv,0.378,0.286,0.383,0.231,0.114,0.150,0.054,0.102,0.214,0.076,0.185,0.104,0.750,0.038,0.207,0.450,0.413,0.333,0.065,0.455,0.525,0.029,0.812,0.069,0.175,0.121
f_min.final_model.000.04.det_cont.csv,0.415,0.522,0.674,0.449,0.250,0.118,0.149,0.286,0.364,0.164,0.479,0.157,0.432,0.171,0.453,0.548,0.600,0.549,0.127,0.365,0.308,0.113,0.477,0.211,0.213,0.125
f_min.final_model.000.05.det_cont.csv,0.233,0.161,0.264,0.222,0.231,0.315,0.143,0.047,0.400,0.177,0.138,0.246,0.450,0.167,0.108,0.200,0.218,0.213,0.200,0.245,0.703,0.156,0.463,0.067,0.327,0.267
f_min.final_model.000.06.det_cont.csv,0.153,0.194,0.206,0.373,0.827,0.410,0.610,0.367,0.441,0.630,0.373,0.717,0.043,0.678,0.243,0.154,0.123,0.254,0.707,0.052,0.200,0.534,0.071,0.339,0.527,0.444
f_min.final_model.000.07.det_cont.csv,0.452,0.698,0.630,0.423,0.189,0.097,0.100,0.250,0.258,0.157,0.423,0.135,0.294,0.136,0.569,0.545,0.744,0.640,0.108,0.609,0.246,0.093,0.308,0.200,0.132,0.105
f_min.final_model.000.08.det_cont.csv,0.184,0.273,0.309,0.479,0.518,0.188,0.371,0.440,0.471,0.393,0.578,0.421,0.033,0.459,0.375,0.204,0.180,0.362,0.459,0.044,0.115,0.411,0.048,0.438,0.298,0.191
f_min.final_model.000.09.det_cont.csv,0.410,0.558,0.533,0.744,0.367,0.123,0.224,0.438,0.385,0.293,0.789,0.258,0.154,0.265,0.574,0.442,0.380,0.520,0.229,0.214,0.140,0.188,0.170,0.320,0.224,0.147
