 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.692,0.159,0.490,0.076,0.288,0.500,0.110,0.086,0.056,0.460,0.000,0.561,0.296,0.043,0.423,0.213,0.262,0.465,0.000,0.561,0.053,0.056,0.339,0.375,0.304,0.386,0.423,0.167
f_min.final_model.000.01.det_cont.csv,0.296,0.100,0.571,0.230,0.143,0.689,0.234,0.211,0.162,0.222,0.045,0.447,0.510,0.000,0.773,0.418,0.265,0.218,0.039,0.259,0.012,0.039,0.463,0.673,0.524,0.121,0.560,0.266
f_min.final_model.000.02.det_cont.csv,0.246,0.773,0.147,0.152,0.653,0.132,0.412,0.348,0.176,0.444,0.092,0.150,0.136,0.472,0.113,0.129,0.318,0.333,0.095,0.255,0.556,0.026,0.143,0.081,0.140,0.404,0.068,0.390
f_min.final_model.000.03.det_cont.csv,0.264,0.233,0.396,0.440,0.328,0.177,0.438,0.391,0.382,0.345,0.117,0.250,0.420,0.072,0.271,0.471,0.596,0.362,0.000,0.300,0.127,0.056,0.434,0.290,0.356,0.319,0.316,0.444
f_min.final_model.000.04.det_cont.csv,0.346,0.116,0.638,0.293,0.194,0.520,0.301,0.278,0.234,0.283,0.061,0.545,0.542,0.000,0.625,0.529,0.387,0.264,0.000,0.308,0.025,0.026,0.717,0.586,0.488,0.161,0.625,0.306
f_min.final_model.000.05.det_cont.csv,0.121,0.266,0.266,0.549,0.217,0.194,0.597,0.600,0.407,0.174,0.254,0.180,0.500,0.125,0.281,0.547,0.364,0.164,0.000,0.143,0.176,0.037,0.456,0.297,0.360,0.078,0.281,0.491
f_min.final_model.000.06.det_cont.csv,0.512,0.358,0.286,0.148,0.630,0.291,0.216,0.208,0.213,0.895,0.000,0.340,0.169,0.143,0.237,0.159,0.500,0.632,0.014,0.465,0.200,0.000,0.233,0.192,0.180,0.622,0.197,0.288
f_min.final_model.000.07.det_cont.csv,0.217,0.143,0.481,0.500,0.169,0.339,0.420,0.357,0.344,0.194,0.106,0.340,0.750,0.026,0.500,0.841,0.435,0.186,0.000,0.203,0.062,0.093,0.608,0.508,0.558,0.115,0.473,0.377
f_min.final_model.000.08.det_cont.csv,0.061,0.116,0.242,0.531,0.159,0.118,0.357,0.438,0.717,0.167,0.296,0.153,0.370,0.027,0.219,0.500,0.410,0.155,0.039,0.079,0.064,0.082,0.362,0.278,0.280,0.083,0.200,0.306
f_min.final_model.000.09.det_cont.csv,0.239,0.123,0.488,0.319,0.136,0.400,0.281,0.254,0.222,0.164,0.018,0.375,0.694,0.016,0.512,0.548,0.217,0.174,0.000,0.222,0.045,0.048,0.404,0.436,0.645,0.106,0.413,0.360
f_min.final_model.000.10.det_cont.csv,0.141,0.311,0.290,0.625,0.297,0.179,0.607,0.583,0.390,0.231,0.177,0.203,0.540,0.127,0.286,0.620,0.483,0.167,0.000,0.145,0.178,0.051,0.464,0.284,0.367,0.153,0.286,0.527
f_min.final_model.000.11.det_cont.csv,0.254,0.761,0.157,0.129,0.615,0.127,0.375,0.352,0.137,0.397,0.121,0.161,0.114,0.500,0.108,0.108,0.304,0.291,0.105,0.241,0.554,0.025,0.122,0.067,0.133,0.408,0.065,0.393
f_min.final_model.000.12.det_cont.csv,0.000,0.104,0.000,0.125,0.041,0.000,0.122,0.171,0.267,0.000,0.595,0.000,0.000,0.175,0.000,0.027,0.037,0.000,0.203,0.000,0.159,0.310,0.000,0.011,0.000,0.000,0.027,0.068
f_min.final_model.000.13.det_cont.csv,0.042,0.266,0.095,0.491,0.273,0.053,0.456,0.500,0.596,0.174,0.321,0.014,0.219,0.209,0.093,0.281,0.364,0.092,0.024,0.059,0.261,0.078,0.186,0.143,0.115,0.131,0.108,0.371
