 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.769,0.375,0.153,0.280,0.177,0.179,0.100,0.320,0.072,0.500,0.490,0.381,0.600,0.304,0.043,0.605,0.080,0.259,0.103,0.333
f_min.final_model.000.01.det_cont.csv,0.475,0.638,0.682,0.338,0.500,0.350,0.345,0.121,0.542,0.155,0.543,0.680,0.375,0.636,0.528,0.141,0.500,0.203,0.267,0.220,0.308
f_min.final_model.000.02.det_cont.csv,0.341,0.453,0.396,0.182,0.263,0.157,0.213,0.121,0.298,0.065,0.479,0.377,0.535,0.412,0.286,0.038,0.533,0.060,0.310,0.091,0.511
f_min.final_model.000.03.det_cont.csv,0.196,0.141,0.148,0.403,0.172,0.167,0.321,0.750,0.129,0.444,0.218,0.111,0.192,0.097,0.116,0.222,0.140,0.371,0.440,0.062,0.280
f_min.final_model.000.04.det_cont.csv,0.417,0.302,0.535,0.407,0.488,0.352,0.535,0.245,0.467,0.233,0.500,0.407,0.415,0.362,0.352,0.197,0.245,0.246,0.417,0.255,0.395
f_min.final_model.000.05.det_cont.csv,0.188,0.119,0.309,0.369,0.373,0.519,0.500,0.161,0.412,0.290,0.211,0.344,0.103,0.186,0.463,0.491,0.047,0.403,0.175,0.667,0.100
f_min.final_model.000.06.det_cont.csv,0.375,0.281,0.556,0.500,0.889,0.453,0.429,0.228,0.667,0.322,0.340,0.429,0.240,0.388,0.638,0.262,0.161,0.393,0.286,0.283,0.185
f_min.final_model.000.07.det_cont.csv,0.353,0.488,0.419,0.147,0.311,0.193,0.109,0.034,0.326,0.030,0.526,0.420,0.514,0.553,0.283,0.015,0.514,0.056,0.212,0.113,0.410
f_min.final_model.000.08.det_cont.csv,0.405,0.375,0.721,0.400,0.500,0.446,0.451,0.121,0.644,0.206,0.543,0.680,0.435,0.500,0.620,0.209,0.327,0.271,0.288,0.333,0.333
f_min.final_model.000.09.det_cont.csv,0.190,0.145,0.355,0.683,0.439,0.444,0.556,0.424,0.448,0.533,0.227,0.362,0.152,0.224,0.492,0.444,0.068,0.597,0.365,0.302,0.182
f_min.final_model.000.10.det_cont.csv,0.267,0.210,0.333,0.391,0.373,0.339,0.674,0.263,0.412,0.356,0.327,0.390,0.280,0.207,0.386,0.386,0.196,0.359,0.451,0.373,0.320
f_min.final_model.000.11.det_cont.csv,0.364,0.258,0.471,0.614,0.622,0.577,0.389,0.316,0.596,0.456,0.333,0.393,0.241,0.327,0.519,0.390,0.148,0.500,0.328,0.327,0.190
f_min.final_model.000.12.det_cont.csv,0.381,0.434,0.698,0.324,0.511,0.404,0.352,0.090,0.659,0.125,0.522,0.729,0.383,0.651,0.538,0.143,0.360,0.222,0.210,0.291,0.288
f_min.final_model.000.13.det_cont.csv,0.222,0.259,0.186,0.261,0.193,0.100,0.373,0.373,0.148,0.258,0.367,0.212,0.378,0.214,0.116,0.185,0.300,0.197,0.600,0.062,0.524
f_min.final_model.000.14.det_cont.csv,0.190,0.148,0.250,0.672,0.354,0.386,0.452,0.552,0.343,0.633,0.225,0.235,0.139,0.158,0.311,0.406,0.076,0.694,0.394,0.205,0.183
f_min.final_model.000.15.det_cont.csv,0.314,0.306,0.245,0.164,0.180,0.115,0.298,0.220,0.173,0.131,0.450,0.246,0.514,0.255,0.115,0.115,0.366,0.101,0.537,0.073,0.571
f_min.final_model.000.16.det_cont.csv,0.405,0.373,0.634,0.217,0.413,0.276,0.241,0.081,0.457,0.056,0.524,0.481,0.553,0.585,0.370,0.042,0.476,0.123,0.302,0.161,0.452
f_min.final_model.000.17.det_cont.csv,0.333,0.529,0.630,0.278,0.460,0.367,0.271,0.071,0.531,0.107,0.412,0.635,0.314,0.553,0.547,0.123,0.373,0.200,0.185,0.259,0.232
f_min.final_model.000.18.det_cont.csv,0.069,0.053,0.055,0.343,0.087,0.091,0.185,0.571,0.055,0.441,0.104,0.036,0.131,0.027,0.050,0.235,0.091,0.333,0.386,0.014,0.224
f_min.final_model.000.19.det_cont.csv,0.125,0.080,0.200,0.583,0.333,0.491,0.418,0.418,0.322,0.623,0.136,0.222,0.045,0.101,0.349,0.604,0.014,0.722,0.311,0.407,0.075
f_min.final_model.000.20.det_cont.csv,0.359,0.614,0.308,0.133,0.245,0.154,0.133,0.079,0.308,0.041,0.327,0.345,0.277,0.435,0.271,0.014,0.500,0.051,0.148,0.065,0.240
f_min.final_model.000.21.det_cont.csv,0.308,0.211,0.467,0.407,0.455,0.521,0.610,0.200,0.610,0.276,0.370,0.434,0.184,0.306,0.521,0.327,0.109,0.397,0.259,0.455,0.176
f_min.final_model.000.22.det_cont.csv,0.048,0.025,0.026,0.329,0.099,0.101,0.159,0.538,0.053,0.443,0.041,0.011,0.014,0.000,0.061,0.243,0.000,0.338,0.262,0.000,0.088
f_min.final_model.000.23.det_cont.csv,0.260,0.209,0.238,0.508,0.288,0.328,0.418,0.472,0.279,0.564,0.293,0.222,0.228,0.152,0.232,0.466,0.177,0.476,0.633,0.206,0.263
f_min.final_model.000.24.det_cont.csv,0.068,0.038,0.114,0.610,0.226,0.328,0.345,0.444,0.182,0.755,0.071,0.143,0.045,0.041,0.232,0.518,0.000,0.576,0.311,0.206,0.108
f_min.final_model.000.25.det_cont.csv,0.395,0.821,0.333,0.118,0.222,0.136,0.153,0.097,0.259,0.041,0.477,0.472,0.463,0.535,0.250,0.014,0.703,0.051,0.250,0.065,0.409
