 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.232,0.162,0.500,0.123,0.611,0.411,0.232,0.322,0.220,0.614,0.365,0.293,0.217,0.000,0.469,0.037,0.203,0.143,0.073,0.114,0.137,0.500,0.390,0.271,0.197
f_min.final_model.000.01.det_cont.csv,0.167,0.141,0.733,0.196,0.500,0.304,0.125,0.125,0.158,0.536,0.111,0.078,0.031,0.000,0.333,0.113,0.092,0.245,0.093,0.125,0.100,0.219,0.267,0.045,0.081
f_min.final_model.000.02.det_cont.csv,0.222,0.206,0.653,0.296,0.474,0.407,0.138,0.172,0.232,0.435,0.169,0.043,0.045,0.000,0.358,0.079,0.138,0.380,0.133,0.056,0.111,0.209,0.234,0.059,0.129
f_min.final_model.000.03.det_cont.csv,0.385,0.455,0.150,0.758,0.075,0.231,0.350,0.312,0.500,0.100,0.315,0.000,0.036,0.000,0.053,0.000,0.409,0.727,0.352,0.000,0.236,0.030,0.098,0.000,0.450
f_min.final_model.000.04.det_cont.csv,0.419,0.420,0.152,0.444,0.145,0.365,0.488,0.628,0.524,0.200,0.592,0.117,0.161,0.000,0.103,0.000,0.568,0.455,0.311,0.000,0.271,0.134,0.175,0.117,0.512
f_min.final_model.000.05.det_cont.csv,0.217,0.269,0.315,0.463,0.213,0.435,0.143,0.161,0.311,0.254,0.197,0.000,0.034,0.000,0.191,0.014,0.208,0.513,0.190,0.000,0.129,0.145,0.190,0.033,0.224
f_min.final_model.000.06.det_cont.csv,0.145,0.095,0.458,0.056,0.589,0.373,0.127,0.231,0.121,0.567,0.275,0.375,0.293,0.000,0.655,0.036,0.113,0.088,0.034,0.159,0.076,0.536,0.474,0.400,0.103
f_min.final_model.000.07.det_cont.csv,0.455,0.721,0.129,0.388,0.123,0.254,0.455,0.553,0.595,0.176,0.588,0.094,0.133,0.033,0.085,0.013,0.674,0.314,0.456,0.000,0.500,0.113,0.132,0.111,0.619
f_min.final_model.000.08.det_cont.csv,0.173,0.109,0.206,0.048,0.362,0.420,0.173,0.346,0.164,0.355,0.393,0.396,0.354,0.000,0.410,0.000,0.169,0.049,0.053,0.077,0.103,0.520,0.423,0.523,0.140
f_min.final_model.000.09.det_cont.csv,0.415,0.308,0.159,0.170,0.246,0.360,0.450,0.595,0.326,0.306,0.562,0.208,0.240,0.000,0.186,0.000,0.375,0.173,0.185,0.000,0.309,0.259,0.246,0.280,0.348
f_min.final_model.000.10.det_cont.csv,0.556,0.886,0.145,0.500,0.072,0.200,0.366,0.383,0.639,0.097,0.431,0.016,0.053,0.019,0.038,0.014,0.600,0.405,0.442,0.000,0.489,0.044,0.113,0.033,0.500
f_min.final_model.000.11.det_cont.csv,0.071,0.061,0.136,0.016,0.258,0.186,0.091,0.232,0.105,0.258,0.262,0.692,0.561,0.000,0.441,0.000,0.097,0.000,0.026,0.353,0.042,0.562,0.521,0.650,0.123
f_min.final_model.000.12.det_cont.csv,0.143,0.088,0.145,0.046,0.262,0.345,0.103,0.259,0.117,0.261,0.306,0.429,0.619,0.033,0.369,0.026,0.108,0.063,0.012,0.304,0.054,0.491,0.481,0.522,0.079
f_min.final_model.000.13.det_cont.csv,0.068,0.035,0.476,0.025,0.600,0.313,0.040,0.160,0.052,0.530,0.188,0.400,0.262,0.000,0.746,0.080,0.049,0.052,0.000,0.192,0.011,0.603,0.444,0.424,0.051
f_min.final_model.000.14.det_cont.csv,0.356,0.246,0.169,0.161,0.254,0.392,0.386,0.556,0.306,0.312,0.592,0.264,0.300,0.000,0.265,0.000,0.353,0.164,0.159,0.029,0.250,0.333,0.298,0.367,0.300
f_min.final_model.000.15.det_cont.csv,0.351,0.364,0.250,0.500,0.133,0.429,0.220,0.255,0.432,0.197,0.264,0.018,0.059,0.000,0.119,0.000,0.261,0.559,0.211,0.000,0.164,0.102,0.189,0.037,0.286
f_min.final_model.000.16.det_cont.csv,0.444,0.590,0.098,0.600,0.029,0.170,0.444,0.419,0.719,0.087,0.408,0.036,0.057,0.000,0.013,0.000,0.579,0.528,0.392,0.000,0.294,0.015,0.066,0.018,0.697
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.015,0.000,0.014,0.000,0.000,0.000,0.000,0.041,0.000,0.034,0.094,0.472,0.026,0.373,0.000,0.000,0.177,0.340,0.046,0.030,0.015,0.034,0.000
f_min.final_model.000.18.det_cont.csv,0.377,0.627,0.100,0.328,0.096,0.203,0.377,0.519,0.490,0.143,0.607,0.113,0.132,0.075,0.077,0.060,0.620,0.267,0.484,0.000,0.526,0.100,0.103,0.129,0.510
f_min.final_model.000.19.det_cont.csv,0.016,0.000,0.436,0.046,0.344,0.121,0.016,0.000,0.000,0.403,0.000,0.045,0.000,0.068,0.271,0.270,0.000,0.081,0.000,0.159,0.013,0.145,0.116,0.014,0.000
f_min.final_model.000.20.det_cont.csv,0.255,0.254,0.500,0.304,0.450,0.436,0.169,0.219,0.286,0.438,0.229,0.190,0.141,0.000,0.382,0.024,0.185,0.385,0.158,0.130,0.122,0.355,0.414,0.190,0.177
