 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.372,0.533,0.121,0.703,0.055,0.190,0.439,0.308,0.476,0.093,0.333,0.016,0.033,0.000,0.037,0.000,0.457,0.590,0.472,0.000,0.377,0.028,0.075,0.016,0.537
f_min.final_model.000.01.det_cont.csv,0.432,0.659,0.114,0.340,0.110,0.217,0.465,0.565,0.535,0.162,0.600,0.113,0.155,0.033,0.086,0.026,0.690,0.269,0.414,0.000,0.510,0.099,0.134,0.131,0.558
f_min.final_model.000.02.det_cont.csv,0.164,0.138,0.756,0.193,0.519,0.370,0.123,0.123,0.155,0.526,0.125,0.061,0.030,0.000,0.348,0.111,0.091,0.241,0.092,0.106,0.099,0.234,0.262,0.061,0.079
f_min.final_model.000.03.det_cont.csv,0.224,0.186,0.250,0.231,0.258,0.591,0.224,0.408,0.260,0.339,0.400,0.245,0.306,0.000,0.308,0.000,0.214,0.286,0.113,0.030,0.121,0.339,0.281,0.269,0.208
f_min.final_model.000.04.det_cont.csv,0.500,0.553,0.130,0.367,0.174,0.327,0.432,0.714,0.610,0.229,0.739,0.150,0.196,0.000,0.128,0.000,0.578,0.320,0.302,0.000,0.328,0.182,0.188,0.211,0.595
f_min.final_model.000.05.det_cont.csv,0.264,0.185,0.323,0.127,0.441,0.328,0.241,0.382,0.228,0.452,0.400,0.431,0.340,0.000,0.460,0.012,0.210,0.129,0.089,0.169,0.157,0.519,0.509,0.431,0.203
f_min.final_model.000.06.det_cont.csv,0.234,0.308,0.377,0.476,0.267,0.447,0.137,0.196,0.356,0.266,0.230,0.016,0.051,0.000,0.221,0.014,0.222,0.488,0.203,0.000,0.125,0.177,0.203,0.049,0.240
f_min.final_model.000.07.det_cont.csv,0.435,0.333,0.174,0.207,0.235,0.407,0.500,0.562,0.353,0.290,0.627,0.241,0.273,0.000,0.247,0.000,0.396,0.211,0.232,0.027,0.356,0.306,0.295,0.333,0.373
f_min.final_model.000.08.det_cont.csv,0.167,0.123,0.182,0.063,0.286,0.431,0.145,0.286,0.179,0.303,0.333,0.380,0.558,0.000,0.375,0.000,0.145,0.082,0.025,0.241,0.069,0.500,0.520,0.468,0.117
f_min.final_model.000.09.det_cont.csv,0.562,0.395,0.161,0.227,0.172,0.250,0.613,0.475,0.432,0.237,0.457,0.120,0.174,0.000,0.119,0.000,0.450,0.233,0.211,0.000,0.362,0.140,0.189,0.143,0.385
