 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.371,0.188,0.444,0.400,0.217,0.229,0.175,0.163,0.250,0.155,0.000,0.419,0.484,0.364,0.018,0.344,0.235,0.340,0.069,0.415,0.295,0.394,0.395,0.000,0.000,0.170,0.375,0.372,0.261,0.229
f_min.final_model.000.01.det_cont.csv,0.404,0.136,0.750,0.451,0.156,0.203,0.136,0.103,0.281,0.104,0.000,0.756,0.524,0.300,0.000,0.298,0.246,0.667,0.039,0.407,0.250,0.362,0.322,0.053,0.027,0.127,0.240,0.426,0.206,0.220
f_min.final_model.000.02.det_cont.csv,0.286,0.143,0.396,0.690,0.340,0.194,0.271,0.241,0.207,0.242,0.067,0.551,0.488,0.596,0.000,0.234,0.393,0.519,0.041,0.738,0.220,0.298,0.562,0.000,0.043,0.132,0.439,0.682,0.460,0.184
f_min.final_model.000.03.det_cont.csv,0.127,0.435,0.167,0.294,0.467,0.400,0.710,0.391,0.261,0.707,0.191,0.257,0.182,0.438,0.236,0.172,0.397,0.237,0.324,0.406,0.369,0.147,0.484,0.022,0.011,0.403,0.333,0.282,0.525,0.210
f_min.final_model.000.04.det_cont.csv,0.196,0.167,0.300,0.408,0.533,0.200,0.381,0.373,0.214,0.404,0.088,0.396,0.311,0.698,0.061,0.191,0.333,0.379,0.119,0.543,0.228,0.180,0.659,0.000,0.061,0.136,0.500,0.440,0.479,0.120
f_min.final_model.000.05.det_cont.csv,0.094,0.162,0.194,0.300,0.592,0.157,0.455,0.411,0.100,0.483,0.340,0.297,0.193,0.519,0.053,0.102,0.349,0.290,0.091,0.429,0.197,0.115,0.491,0.000,0.053,0.135,0.347,0.373,0.356,0.066
f_min.final_model.000.06.det_cont.csv,0.189,0.286,0.175,0.340,0.420,0.370,0.435,0.500,0.373,0.464,0.123,0.267,0.220,0.471,0.091,0.318,0.625,0.224,0.167,0.460,0.358,0.245,0.442,0.000,0.014,0.262,0.439,0.321,0.738,0.289
f_min.final_model.000.07.det_cont.csv,0.145,0.756,0.098,0.109,0.183,0.644,0.483,0.241,0.373,0.464,0.085,0.101,0.070,0.136,0.440,0.234,0.219,0.079,0.540,0.123,0.440,0.173,0.210,0.085,0.000,0.674,0.229,0.088,0.259,0.318
f_min.final_model.000.08.det_cont.csv,0.212,0.143,0.340,0.511,0.511,0.156,0.348,0.333,0.167,0.367,0.143,0.462,0.356,0.705,0.000,0.184,0.418,0.414,0.069,0.622,0.200,0.196,0.667,0.000,0.075,0.116,0.439,0.574,0.460,0.115
f_min.final_model.000.09.det_cont.csv,0.076,0.481,0.071,0.113,0.386,0.439,0.644,0.379,0.258,0.667,0.241,0.105,0.045,0.258,0.311,0.138,0.303,0.084,0.417,0.174,0.356,0.095,0.297,0.037,0.000,0.491,0.175,0.093,0.306,0.200
f_min.final_model.000.10.det_cont.csv,0.500,0.169,0.488,0.659,0.236,0.315,0.211,0.190,0.396,0.162,0.000,0.553,0.758,0.358,0.000,0.447,0.389,0.463,0.042,0.556,0.353,0.487,0.358,0.000,0.000,0.175,0.333,0.543,0.373,0.310
f_min.final_model.000.11.det_cont.csv,0.304,0.108,0.481,0.588,0.328,0.167,0.269,0.242,0.231,0.278,0.104,0.593,0.479,0.545,0.000,0.236,0.467,0.614,0.024,0.766,0.206,0.268,0.491,0.000,0.038,0.101,0.302,0.680,0.431,0.153
f_min.final_model.000.12.det_cont.csv,0.667,0.164,0.372,0.615,0.125,0.269,0.125,0.085,0.409,0.121,0.018,0.388,0.656,0.241,0.016,0.471,0.296,0.345,0.030,0.444,0.362,0.559,0.264,0.000,0.016,0.169,0.308,0.467,0.275,0.351
f_min.final_model.000.13.det_cont.csv,0.386,0.094,0.585,0.605,0.211,0.143,0.176,0.129,0.236,0.143,0.033,0.682,0.639,0.404,0.000,0.244,0.288,0.667,0.014,0.543,0.186,0.311,0.431,0.027,0.045,0.087,0.357,0.674,0.268,0.167
f_min.final_model.000.14.det_cont.csv,0.167,0.113,0.321,0.444,0.529,0.141,0.391,0.362,0.132,0.435,0.145,0.431,0.308,0.783,0.026,0.121,0.417,0.459,0.077,0.600,0.179,0.153,0.640,0.000,0.068,0.091,0.347,0.500,0.429,0.066
f_min.final_model.000.15.det_cont.csv,0.045,0.234,0.042,0.099,0.444,0.246,0.477,0.580,0.185,0.508,0.392,0.092,0.030,0.281,0.162,0.121,0.371,0.072,0.235,0.176,0.295,0.097,0.302,0.024,0.053,0.235,0.138,0.110,0.333,0.102
f_min.final_model.000.16.det_cont.csv,0.568,0.117,0.632,0.467,0.048,0.211,0.050,0.031,0.327,0.055,0.000,0.543,0.556,0.207,0.000,0.359,0.217,0.453,0.014,0.308,0.264,0.474,0.207,0.014,0.031,0.125,0.174,0.408,0.153,0.293
f_min.final_model.000.17.det_cont.csv,0.026,0.403,0.093,0.147,0.483,0.391,0.733,0.403,0.197,0.702,0.254,0.138,0.070,0.364,0.261,0.106,0.368,0.141,0.373,0.257,0.299,0.070,0.385,0.045,0.024,0.394,0.233,0.187,0.354,0.106
f_min.final_model.000.18.det_cont.csv,0.383,0.451,0.232,0.327,0.217,0.652,0.338,0.254,0.636,0.333,0.048,0.238,0.312,0.203,0.156,0.500,0.429,0.200,0.274,0.293,0.805,0.465,0.283,0.013,0.000,0.463,0.298,0.226,0.415,0.463
f_min.final_model.000.19.det_cont.csv,0.052,0.061,0.121,0.211,0.438,0.075,0.261,0.556,0.062,0.333,0.378,0.175,0.113,0.377,0.000,0.077,0.357,0.176,0.014,0.315,0.077,0.054,0.304,0.042,0.148,0.042,0.239,0.263,0.291,0.057
