 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.323,0.118,0.162,0.288,0.542,0.169,0.217,0.750,0.298,0.578,0.568,0.197,0.222,0.138,0.480,0.235,0.444,0.000,0.623,0.000,0.224,0.295,0.351,0.000,0.014,0.013,0.642,0.111,0.442,0.000
f_min.final_model.000.01.det_cont.csv,0.318,0.110,0.151,0.286,0.519,0.194,0.203,0.783,0.274,0.551,0.574,0.164,0.206,0.116,0.463,0.259,0.400,0.000,0.717,0.012,0.176,0.254,0.323,0.000,0.013,0.025,0.643,0.104,0.455,0.026
f_min.final_model.000.02.det_cont.csv,0.164,0.162,0.224,0.489,0.510,0.263,0.061,0.481,0.116,0.298,0.440,0.041,0.039,0.022,0.242,0.347,0.478,0.077,0.459,0.039,0.250,0.206,0.231,0.000,0.042,0.038,0.385,0.153,0.393,0.013
f_min.final_model.000.03.det_cont.csv,0.413,0.844,0.720,0.233,0.174,0.407,0.379,0.120,0.157,0.114,0.152,0.096,0.105,0.400,0.125,0.321,0.125,0.028,0.094,0.474,0.534,0.284,0.377,0.136,0.083,0.545,0.068,0.812,0.065,0.095
f_min.final_model.000.04.det_cont.csv,0.565,0.379,0.446,0.171,0.309,0.312,0.650,0.211,0.561,0.387,0.135,0.375,0.373,0.559,0.483,0.258,0.143,0.000,0.202,0.227,0.448,0.567,0.643,0.037,0.103,0.257,0.244,0.377,0.233,0.023
f_min.final_model.000.05.det_cont.csv,0.623,0.290,0.317,0.109,0.279,0.217,0.600,0.227,0.560,0.442,0.141,0.400,0.421,0.484,0.560,0.218,0.150,0.000,0.216,0.157,0.387,0.537,0.558,0.043,0.119,0.188,0.282,0.273,0.254,0.013
f_min.final_model.000.06.det_cont.csv,0.404,0.136,0.186,0.234,0.512,0.176,0.271,0.447,0.383,0.676,0.304,0.208,0.283,0.171,0.667,0.256,0.302,0.000,0.400,0.030,0.217,0.296,0.417,0.000,0.016,0.062,0.393,0.127,0.404,0.000
f_min.final_model.000.07.det_cont.csv,0.426,0.291,0.396,0.319,0.533,0.422,0.295,0.358,0.327,0.404,0.255,0.193,0.263,0.211,0.408,0.487,0.277,0.000,0.286,0.091,0.400,0.574,0.636,0.000,0.015,0.123,0.281,0.293,0.228,0.000
f_min.final_model.000.08.det_cont.csv,0.564,0.231,0.221,0.183,0.368,0.159,0.571,0.350,0.560,0.596,0.237,0.426,0.373,0.377,0.625,0.196,0.232,0.000,0.304,0.080,0.387,0.361,0.373,0.108,0.119,0.155,0.338,0.200,0.295,0.000
f_min.final_model.000.09.det_cont.csv,0.491,0.727,0.612,0.136,0.138,0.302,0.448,0.116,0.213,0.145,0.131,0.141,0.149,0.468,0.156,0.212,0.083,0.015,0.089,0.426,0.464,0.234,0.305,0.115,0.076,0.529,0.074,0.633,0.056,0.088
