 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.405,0.400,0.644,0.422,0.674,0.446,0.423,0.138,0.682,0.188,0.392,0.556,0.269,0.469,0.723,0.209,0.302,0.290,0.206,0.309,0.214
f_min.final_model.000.01.det_cont.csv,0.289,0.490,0.352,0.139,0.224,0.143,0.159,0.090,0.259,0.038,0.458,0.383,0.512,0.420,0.270,0.013,0.619,0.023,0.271,0.060,0.457
f_min.final_model.000.02.det_cont.csv,0.576,0.556,0.634,0.333,0.585,0.370,0.396,0.136,0.595,0.190,0.561,0.604,0.405,0.512,0.542,0.156,0.409,0.224,0.302,0.250,0.356
f_min.final_model.000.03.det_cont.csv,0.314,0.250,0.464,0.650,0.600,0.618,0.464,0.323,0.608,0.452,0.362,0.415,0.233,0.356,0.589,0.435,0.167,0.540,0.355,0.311,0.188
f_min.final_model.000.04.det_cont.csv,0.161,0.122,0.127,0.386,0.147,0.130,0.270,0.600,0.127,0.443,0.167,0.098,0.161,0.083,0.101,0.208,0.119,0.319,0.390,0.054,0.254
f_min.final_model.000.05.det_cont.csv,0.244,0.194,0.449,0.419,0.468,0.368,0.578,0.246,0.479,0.274,0.333,0.397,0.260,0.255,0.368,0.322,0.158,0.344,0.377,0.327,0.250
f_min.final_model.000.06.det_cont.csv,0.167,0.104,0.109,0.443,0.211,0.200,0.291,0.821,0.127,0.549,0.153,0.080,0.086,0.062,0.147,0.300,0.048,0.458,0.404,0.078,0.161
f_min.final_model.000.07.det_cont.csv,0.227,0.263,0.190,0.265,0.196,0.101,0.380,0.380,0.150,0.262,0.375,0.215,0.386,0.218,0.118,0.169,0.306,0.183,0.578,0.063,0.537
f_min.final_model.000.08.det_cont.csv,0.167,0.114,0.288,0.672,0.383,0.460,0.545,0.441,0.393,0.603,0.206,0.301,0.149,0.169,0.415,0.508,0.081,0.613,0.403,0.317,0.179
f_min.final_model.000.09.det_cont.csv,0.216,0.159,0.400,0.541,0.531,0.500,0.571,0.305,0.481,0.393,0.254,0.381,0.169,0.250,0.556,0.424,0.075,0.559,0.317,0.364,0.164
