 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.371,0.404,0.286,0.127,0.196,0.094,0.189,0.145,0.212,0.076,0.500,0.304,0.667,0.386,0.167,0.045,0.568,0.026,0.383,0.052,0.727
f_min.final_model.000.01.det_cont.csv,0.188,0.136,0.143,0.435,0.167,0.162,0.286,0.756,0.143,0.481,0.169,0.108,0.164,0.094,0.113,0.234,0.117,0.403,0.451,0.061,0.269
f_min.final_model.000.02.det_cont.csv,0.444,0.750,0.396,0.167,0.300,0.194,0.175,0.098,0.340,0.071,0.488,0.481,0.372,0.585,0.321,0.042,0.632,0.093,0.232,0.121,0.326
f_min.final_model.000.03.det_cont.csv,0.400,0.451,0.690,0.294,0.408,0.300,0.340,0.109,0.511,0.113,0.659,0.588,0.615,0.605,0.444,0.099,0.467,0.147,0.327,0.211,0.477
f_min.final_model.000.04.det_cont.csv,0.217,0.156,0.340,0.467,0.533,0.592,0.420,0.183,0.511,0.386,0.236,0.328,0.125,0.211,0.529,0.444,0.048,0.483,0.217,0.438,0.083
f_min.final_model.000.05.det_cont.csv,0.229,0.203,0.194,0.400,0.200,0.157,0.370,0.644,0.156,0.439,0.315,0.167,0.269,0.143,0.141,0.246,0.211,0.391,0.652,0.075,0.388
f_min.final_model.000.06.det_cont.csv,0.175,0.136,0.271,0.710,0.381,0.455,0.435,0.483,0.348,0.644,0.211,0.269,0.125,0.176,0.391,0.477,0.050,0.733,0.338,0.261,0.137
f_min.final_model.000.07.det_cont.csv,0.163,0.103,0.241,0.391,0.373,0.411,0.500,0.241,0.333,0.379,0.190,0.242,0.085,0.129,0.362,0.580,0.031,0.403,0.254,0.556,0.082
f_min.final_model.000.08.det_cont.csv,0.250,0.281,0.207,0.261,0.214,0.100,0.373,0.373,0.167,0.258,0.396,0.231,0.409,0.236,0.132,0.185,0.327,0.197,0.636,0.062,0.561
f_min.final_model.000.09.det_cont.csv,0.155,0.104,0.242,0.707,0.404,0.483,0.464,0.464,0.367,0.667,0.162,0.278,0.121,0.143,0.435,0.508,0.055,0.702,0.333,0.333,0.118
f_min.final_model.000.10.det_cont.csv,0.000,0.000,0.067,0.191,0.088,0.340,0.123,0.085,0.143,0.241,0.000,0.104,0.018,0.033,0.145,0.392,0.000,0.254,0.048,0.378,0.000
f_min.final_model.000.11.det_cont.csv,0.419,0.756,0.551,0.257,0.396,0.297,0.267,0.101,0.462,0.105,0.553,0.593,0.388,0.682,0.431,0.092,0.543,0.138,0.238,0.175,0.296
f_min.final_model.000.12.det_cont.csv,0.484,0.524,0.488,0.182,0.311,0.193,0.220,0.070,0.356,0.045,0.758,0.479,0.656,0.639,0.308,0.030,0.556,0.070,0.312,0.113,0.571
f_min.final_model.000.13.det_cont.csv,0.364,0.300,0.596,0.438,0.698,0.519,0.471,0.136,0.705,0.258,0.358,0.545,0.241,0.404,0.783,0.281,0.207,0.364,0.203,0.377,0.190
f_min.final_model.000.14.det_cont.csv,0.018,0.000,0.000,0.236,0.061,0.053,0.091,0.440,0.000,0.311,0.000,0.000,0.016,0.000,0.026,0.162,0.000,0.261,0.156,0.000,0.082
f_min.final_model.000.15.det_cont.csv,0.344,0.298,0.234,0.172,0.191,0.102,0.318,0.234,0.184,0.138,0.447,0.236,0.471,0.244,0.121,0.121,0.359,0.106,0.500,0.077,0.529
f_min.final_model.000.16.det_cont.csv,0.235,0.246,0.393,0.397,0.333,0.349,0.625,0.219,0.418,0.303,0.389,0.467,0.296,0.288,0.417,0.371,0.217,0.368,0.429,0.357,0.333
f_min.final_model.000.17.det_cont.csv,0.340,0.667,0.519,0.237,0.379,0.290,0.224,0.079,0.414,0.084,0.463,0.614,0.345,0.667,0.459,0.072,0.453,0.141,0.200,0.176,0.267
