 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.405,0.289,0.576,0.314,0.161,0.244,0.167,0.227,0.167,0.216,0.120,0.239,0.000,0.319,0.500,0.378,0.447,0.132,0.175,0.069,0.469,0.000,0.176,0.269,0.600,0.245,0.333,0.357,0.093,0.032
f_min.final_model.000.01.det_cont.csv,0.400,0.490,0.556,0.250,0.122,0.194,0.104,0.263,0.114,0.159,0.072,0.172,0.000,0.509,0.380,0.255,0.404,0.114,0.133,0.039,0.548,0.000,0.114,0.424,0.650,0.217,0.707,0.442,0.069,0.012
f_min.final_model.000.02.det_cont.csv,0.644,0.352,0.634,0.464,0.127,0.449,0.109,0.190,0.288,0.400,0.203,0.333,0.000,0.571,0.650,0.500,0.750,0.103,0.139,0.132,0.442,0.000,0.190,0.350,0.500,0.227,0.288,0.600,0.233,0.013
f_min.final_model.000.03.det_cont.csv,0.422,0.139,0.333,0.650,0.386,0.419,0.443,0.265,0.672,0.541,0.313,0.712,0.099,0.324,0.383,0.456,0.403,0.333,0.435,0.469,0.162,0.070,0.438,0.167,0.212,0.400,0.091,0.203,0.468,0.311
f_min.final_model.000.04.det_cont.csv,0.674,0.224,0.585,0.600,0.147,0.468,0.211,0.196,0.383,0.531,0.327,0.522,0.000,0.471,0.561,0.488,0.581,0.106,0.159,0.250,0.304,0.000,0.281,0.339,0.356,0.234,0.182,0.400,0.309,0.083
f_min.final_model.000.05.det_cont.csv,0.446,0.143,0.370,0.618,0.130,0.368,0.200,0.101,0.460,0.500,0.444,0.580,0.197,0.400,0.352,0.431,0.453,0.093,0.156,0.424,0.190,0.038,0.519,0.222,0.228,0.313,0.104,0.274,0.588,0.074
f_min.final_model.000.06.det_cont.csv,0.423,0.159,0.396,0.464,0.270,0.578,0.291,0.380,0.545,0.571,0.392,0.469,0.014,0.351,0.404,0.610,0.429,0.230,0.281,0.351,0.192,0.000,0.364,0.141,0.235,0.350,0.098,0.220,0.276,0.127
f_min.final_model.000.07.det_cont.csv,0.138,0.090,0.136,0.323,0.600,0.246,0.821,0.380,0.441,0.305,0.145,0.333,0.125,0.100,0.200,0.245,0.111,0.596,0.640,0.328,0.088,0.136,0.250,0.066,0.125,0.373,0.063,0.075,0.213,0.481
f_min.final_model.000.08.det_cont.csv,0.682,0.259,0.595,0.608,0.127,0.479,0.127,0.150,0.393,0.481,0.315,0.469,0.029,0.571,0.571,0.535,0.667,0.071,0.139,0.242,0.348,0.000,0.316,0.328,0.370,0.246,0.218,0.469,0.370,0.039
f_min.final_model.000.09.det_cont.csv,0.188,0.038,0.190,0.452,0.443,0.274,0.549,0.262,0.603,0.393,0.317,0.538,0.176,0.149,0.175,0.233,0.182,0.383,0.500,0.518,0.045,0.107,0.456,0.060,0.092,0.435,0.027,0.053,0.464,0.419
f_min.final_model.000.10.det_cont.csv,0.392,0.458,0.561,0.362,0.167,0.333,0.153,0.375,0.206,0.254,0.115,0.232,0.000,0.423,0.465,0.465,0.489,0.180,0.179,0.072,0.686,0.000,0.143,0.258,0.667,0.300,0.391,0.533,0.109,0.013
f_min.final_model.000.11.det_cont.csv,0.556,0.383,0.604,0.415,0.098,0.397,0.080,0.215,0.301,0.381,0.246,0.344,0.012,0.642,0.490,0.407,0.739,0.090,0.108,0.160,0.469,0.000,0.232,0.338,0.553,0.213,0.400,0.577,0.273,0.011
f_min.final_model.000.12.det_cont.csv,0.269,0.512,0.405,0.233,0.161,0.260,0.086,0.386,0.149,0.169,0.033,0.143,0.000,0.302,0.381,0.318,0.409,0.218,0.175,0.030,0.688,0.000,0.063,0.217,0.486,0.281,0.405,0.600,0.065,0.014
f_min.final_model.000.13.det_cont.csv,0.469,0.420,0.512,0.356,0.083,0.255,0.062,0.218,0.169,0.250,0.095,0.207,0.000,0.531,0.455,0.362,0.511,0.090,0.096,0.042,0.622,0.000,0.090,0.386,0.605,0.162,0.512,0.667,0.143,0.000
f_min.final_model.000.14.det_cont.csv,0.723,0.270,0.542,0.589,0.101,0.368,0.147,0.118,0.415,0.556,0.393,0.491,0.039,0.585,0.553,0.431,0.604,0.065,0.113,0.273,0.278,0.012,0.367,0.375,0.296,0.205,0.213,0.411,0.421,0.048
f_min.final_model.000.15.det_cont.csv,0.209,0.013,0.156,0.435,0.208,0.322,0.300,0.169,0.508,0.424,0.529,0.463,0.254,0.167,0.159,0.259,0.167,0.206,0.271,0.680,0.015,0.065,0.577,0.035,0.061,0.419,0.000,0.039,0.500,0.208
f_min.final_model.000.16.det_cont.csv,0.302,0.619,0.409,0.167,0.119,0.158,0.048,0.306,0.081,0.075,0.000,0.063,0.000,0.333,0.298,0.173,0.275,0.167,0.132,0.000,0.583,0.000,0.029,0.288,0.526,0.206,0.676,0.489,0.015,0.000
f_min.final_model.000.17.det_cont.csv,0.290,0.023,0.224,0.540,0.319,0.344,0.458,0.183,0.613,0.559,0.387,0.582,0.160,0.243,0.209,0.286,0.269,0.304,0.426,0.533,0.069,0.111,0.475,0.103,0.114,0.352,0.025,0.130,0.508,0.301
f_min.final_model.000.18.det_cont.csv,0.206,0.271,0.302,0.355,0.390,0.377,0.404,0.578,0.403,0.317,0.159,0.321,0.042,0.215,0.283,0.333,0.263,0.453,0.474,0.274,0.333,0.027,0.242,0.122,0.327,0.627,0.211,0.276,0.169,0.224
f_min.final_model.000.19.det_cont.csv,0.309,0.060,0.250,0.311,0.054,0.327,0.078,0.063,0.317,0.364,0.643,0.321,0.273,0.271,0.208,0.255,0.333,0.028,0.053,0.415,0.111,0.028,0.431,0.145,0.109,0.215,0.066,0.186,0.440,0.000
f_min.final_model.000.20.det_cont.csv,0.214,0.457,0.356,0.188,0.254,0.250,0.161,0.537,0.179,0.164,0.032,0.100,0.000,0.224,0.304,0.250,0.306,0.327,0.267,0.060,0.600,0.000,0.078,0.154,0.462,0.339,0.356,0.467,0.015,0.088
