 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.447,0.622,0.667,0.318,0.511,0.375,0.296,0.111,0.556,0.147,0.489,0.633,0.378,0.581,0.540,0.116,0.477,0.197,0.241,0.236,0.280
f_min.final_model.000.01.det_cont.csv,0.429,0.625,0.562,0.296,0.460,0.302,0.293,0.119,0.471,0.137,0.469,0.574,0.314,0.587,0.491,0.123,0.458,0.169,0.203,0.197,0.255
f_min.final_model.000.02.det_cont.csv,0.318,0.462,0.352,0.154,0.246,0.143,0.177,0.106,0.259,0.052,0.400,0.339,0.477,0.392,0.270,0.026,0.581,0.035,0.293,0.060,0.457
f_min.final_model.000.03.det_cont.csv,0.170,0.127,0.132,0.446,0.172,0.167,0.328,0.750,0.149,0.491,0.194,0.101,0.169,0.087,0.120,0.292,0.125,0.415,0.519,0.056,0.268
f_min.final_model.000.04.det_cont.csv,0.186,0.143,0.328,0.672,0.431,0.460,0.574,0.441,0.441,0.550,0.242,0.338,0.167,0.203,0.460,0.460,0.081,0.587,0.403,0.297,0.197
f_min.final_model.000.05.det_cont.csv,0.204,0.149,0.370,0.569,0.532,0.558,0.542,0.345,0.480,0.439,0.224,0.355,0.138,0.220,0.528,0.421,0.062,0.589,0.333,0.385,0.133
f_min.final_model.000.06.det_cont.csv,0.484,0.333,0.605,0.368,0.686,0.388,0.356,0.173,0.649,0.190,0.381,0.420,0.293,0.439,0.545,0.153,0.217,0.246,0.235,0.229,0.222
f_min.final_model.000.07.det_cont.csv,0.351,0.259,0.444,0.439,0.500,0.309,0.585,0.300,0.413,0.281,0.442,0.339,0.357,0.286,0.333,0.241,0.200,0.270,0.457,0.235,0.372
f_min.final_model.000.08.det_cont.csv,0.341,0.262,0.451,0.542,0.674,0.588,0.396,0.233,0.609,0.464,0.315,0.400,0.222,0.333,0.620,0.373,0.150,0.459,0.310,0.333,0.172
f_min.final_model.000.09.det_cont.csv,0.196,0.123,0.129,0.500,0.214,0.203,0.321,0.892,0.167,0.592,0.175,0.096,0.107,0.079,0.149,0.328,0.066,0.491,0.469,0.079,0.185
f_min.final_model.000.10.det_cont.csv,0.362,0.491,0.580,0.333,0.453,0.410,0.362,0.113,0.580,0.145,0.434,0.618,0.315,0.571,0.564,0.162,0.345,0.237,0.227,0.262,0.237
f_min.final_model.000.11.det_cont.csv,0.157,0.100,0.254,0.338,0.358,0.473,0.423,0.156,0.370,0.281,0.145,0.292,0.065,0.143,0.446,0.473,0.015,0.391,0.169,0.600,0.062
f_min.final_model.000.12.det_cont.csv,0.271,0.215,0.382,0.409,0.396,0.361,0.689,0.246,0.434,0.333,0.377,0.433,0.283,0.254,0.456,0.407,0.203,0.358,0.444,0.396,0.321
f_min.final_model.000.13.det_cont.csv,0.394,0.524,0.452,0.147,0.311,0.193,0.130,0.034,0.356,0.030,0.568,0.479,0.559,0.595,0.308,0.015,0.556,0.056,0.235,0.113,0.447
f_min.final_model.000.14.det_cont.csv,0.341,0.400,0.574,0.230,0.385,0.286,0.276,0.072,0.451,0.051,0.578,0.585,0.610,0.636,0.446,0.080,0.438,0.141,0.288,0.220,0.478
f_min.final_model.000.15.det_cont.csv,0.436,0.396,0.775,0.419,0.568,0.444,0.449,0.109,0.651,0.179,0.511,0.761,0.400,0.533,0.625,0.182,0.269,0.265,0.259,0.327,0.300
f_min.final_model.000.16.det_cont.csv,0.378,0.311,0.571,0.492,0.667,0.527,0.510,0.167,0.791,0.308,0.345,0.554,0.255,0.389,0.714,0.312,0.220,0.415,0.254,0.389,0.203
f_min.final_model.000.17.det_cont.csv,0.227,0.263,0.190,0.246,0.196,0.101,0.380,0.353,0.150,0.242,0.375,0.215,0.386,0.218,0.118,0.188,0.306,0.183,0.578,0.063,0.537
f_min.final_model.000.18.det_cont.csv,0.378,0.769,0.294,0.107,0.208,0.106,0.138,0.100,0.222,0.042,0.432,0.434,0.450,0.524,0.217,0.014,0.743,0.038,0.259,0.067,0.429
f_min.final_model.000.19.det_cont.csv,0.421,0.385,0.643,0.229,0.426,0.288,0.255,0.095,0.468,0.069,0.535,0.491,0.564,0.595,0.382,0.056,0.455,0.135,0.315,0.175,0.465
f_min.final_model.000.20.det_cont.csv,0.088,0.053,0.149,0.469,0.271,0.448,0.375,0.351,0.242,0.518,0.088,0.176,0.030,0.056,0.292,0.680,0.000,0.533,0.274,0.442,0.060
f_min.final_model.000.21.det_cont.csv,0.255,0.206,0.234,0.548,0.283,0.323,0.436,0.519,0.274,0.611,0.288,0.219,0.224,0.149,0.229,0.433,0.175,0.469,0.620,0.203,0.304
f_min.final_model.000.22.det_cont.csv,0.295,0.364,0.500,0.271,0.458,0.362,0.263,0.075,0.469,0.127,0.353,0.414,0.231,0.400,0.491,0.129,0.264,0.176,0.138,0.228,0.158
f_min.final_model.000.23.det_cont.csv,0.208,0.155,0.162,0.433,0.167,0.178,0.274,0.646,0.145,0.475,0.226,0.127,0.224,0.116,0.117,0.246,0.175,0.362,0.500,0.055,0.327
f_min.final_model.000.24.det_cont.csv,0.432,0.315,0.659,0.491,0.737,0.442,0.511,0.214,0.700,0.267,0.444,0.500,0.277,0.435,0.630,0.250,0.212,0.317,0.273,0.269,0.216
f_min.final_model.000.25.det_cont.csv,0.000,0.000,0.066,0.093,0.086,0.263,0.121,0.000,0.140,0.090,0.000,0.119,0.018,0.050,0.161,0.286,0.000,0.159,0.000,0.537,0.000
f_min.final_model.000.26.det_cont.csv,0.113,0.100,0.298,0.569,0.412,0.588,0.345,0.233,0.423,0.439,0.164,0.333,0.082,0.180,0.473,0.473,0.030,0.534,0.206,0.358,0.030
f_min.final_model.000.27.det_cont.csv,0.288,0.232,0.464,0.737,0.600,0.508,0.491,0.344,0.547,0.475,0.295,0.415,0.213,0.333,0.534,0.435,0.132,0.540,0.377,0.270,0.188
f_min.final_model.000.28.det_cont.csv,0.421,0.674,0.500,0.211,0.340,0.267,0.190,0.078,0.438,0.055,0.500,0.549,0.452,0.763,0.357,0.027,0.524,0.105,0.224,0.136,0.340
f_min.final_model.000.29.det_cont.csv,0.176,0.147,0.136,0.394,0.159,0.139,0.316,0.630,0.119,0.456,0.241,0.118,0.218,0.090,0.108,0.281,0.167,0.406,0.571,0.043,0.327
