 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
model.000.00.det_cont.csv,0.232,0.167,0.222,0.385,0.419,0.217,0.145,0.455,0.173,0.415,0.556,0.071,0.143,0.068,0.356,0.351,0.444,0.000,0.377,0.016,0.255,0.222,0.231,0.000,0.000,0.032,0.321,0.155,0.378,0.000
model.000.01.det_cont.csv,0.162,0.141,0.206,0.455,0.420,0.269,0.095,0.721,0.109,0.308,0.886,0.061,0.088,0.035,0.246,0.364,0.590,0.000,0.627,0.000,0.254,0.206,0.194,0.000,0.000,0.000,0.527,0.132,0.412,0.000
model.000.02.det_cont.csv,0.500,0.733,0.653,0.150,0.152,0.315,0.458,0.129,0.206,0.159,0.145,0.136,0.145,0.476,0.169,0.250,0.098,0.015,0.100,0.436,0.500,0.246,0.339,0.111,0.074,0.509,0.085,0.673,0.069,0.086
model.000.03.det_cont.csv,0.123,0.196,0.296,0.758,0.444,0.463,0.056,0.388,0.048,0.170,0.500,0.016,0.046,0.025,0.161,0.500,0.600,0.000,0.328,0.046,0.304,0.250,0.193,0.000,0.000,0.045,0.258,0.183,0.347,0.000
model.000.04.det_cont.csv,0.611,0.500,0.474,0.075,0.145,0.213,0.589,0.123,0.362,0.246,0.072,0.258,0.262,0.600,0.254,0.133,0.029,0.014,0.096,0.344,0.450,0.292,0.344,0.141,0.086,0.431,0.136,0.441,0.053,0.053
model.000.05.det_cont.csv,0.411,0.304,0.407,0.231,0.365,0.435,0.373,0.254,0.420,0.360,0.200,0.186,0.345,0.313,0.392,0.429,0.170,0.000,0.203,0.121,0.436,0.617,0.762,0.000,0.000,0.136,0.217,0.328,0.143,0.000
model.000.06.det_cont.csv,0.232,0.125,0.138,0.350,0.488,0.143,0.127,0.455,0.173,0.450,0.366,0.091,0.103,0.040,0.386,0.220,0.444,0.000,0.377,0.016,0.169,0.158,0.255,0.000,0.018,0.016,0.321,0.117,0.442,0.000
model.000.07.det_cont.csv,0.322,0.125,0.172,0.312,0.628,0.161,0.231,0.553,0.346,0.595,0.383,0.232,0.259,0.160,0.556,0.255,0.419,0.000,0.519,0.000,0.219,0.389,0.404,0.000,0.031,0.000,0.456,0.118,0.511,0.000
model.000.08.det_cont.csv,0.220,0.158,0.232,0.500,0.524,0.311,0.121,0.595,0.164,0.326,0.639,0.105,0.117,0.052,0.306,0.432,0.719,0.000,0.490,0.000,0.286,0.255,0.264,0.000,0.000,0.000,0.400,0.148,0.477,0.000
model.000.09.det_cont.csv,0.614,0.536,0.435,0.100,0.200,0.254,0.567,0.176,0.355,0.306,0.097,0.258,0.261,0.530,0.312,0.197,0.087,0.041,0.143,0.403,0.438,0.328,0.426,0.130,0.110,0.443,0.183,0.525,0.104,0.077
model.000.10.det_cont.csv,0.365,0.111,0.169,0.315,0.592,0.197,0.275,0.588,0.393,0.562,0.431,0.262,0.306,0.188,0.592,0.264,0.408,0.000,0.607,0.000,0.229,0.407,0.421,0.000,0.056,0.012,0.596,0.105,0.580,0.000
model.000.11.det_cont.csv,0.293,0.078,0.043,0.000,0.117,0.000,0.375,0.094,0.396,0.208,0.016,0.692,0.429,0.400,0.264,0.018,0.036,0.034,0.113,0.045,0.190,0.263,0.167,0.220,0.391,0.076,0.159,0.058,0.193,0.015
model.000.12.det_cont.csv,0.217,0.031,0.045,0.036,0.161,0.034,0.293,0.133,0.354,0.240,0.053,0.561,0.619,0.262,0.300,0.059,0.057,0.094,0.132,0.000,0.141,0.296,0.214,0.204,0.319,0.000,0.200,0.029,0.200,0.066
model.000.13.det_cont.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.019,0.000,0.033,0.000,0.000,0.000,0.000,0.472,0.075,0.068,0.000,0.000,0.000,0.125,0.118,0.067,0.123,0.000,0.000,0.463
model.000.14.det_cont.csv,0.469,0.333,0.358,0.053,0.103,0.191,0.655,0.085,0.410,0.186,0.038,0.441,0.369,0.746,0.265,0.119,0.013,0.026,0.077,0.271,0.382,0.338,0.328,0.159,0.203,0.304,0.125,0.353,0.101,0.036
model.000.15.det_cont.csv,0.037,0.113,0.079,0.000,0.000,0.014,0.036,0.013,0.000,0.000,0.014,0.000,0.026,0.080,0.000,0.000,0.000,0.373,0.060,0.270,0.024,0.000,0.000,0.183,0.088,0.266,0.084,0.137,0.000,0.750
model.000.16.det_cont.csv,0.203,0.092,0.138,0.409,0.568,0.208,0.113,0.674,0.169,0.375,0.600,0.097,0.108,0.049,0.353,0.261,0.579,0.000,0.620,0.000,0.185,0.194,0.241,0.000,0.015,0.000,0.491,0.087,0.628,0.000
model.000.17.det_cont.csv,0.143,0.245,0.380,0.727,0.455,0.513,0.088,0.314,0.049,0.173,0.405,0.000,0.063,0.052,0.164,0.559,0.528,0.000,0.267,0.081,0.385,0.302,0.264,0.000,0.000,0.062,0.203,0.250,0.300,0.000
model.000.18.det_cont.csv,0.073,0.093,0.133,0.352,0.311,0.190,0.034,0.456,0.053,0.185,0.442,0.026,0.012,0.000,0.159,0.211,0.392,0.177,0.484,0.000,0.158,0.118,0.122,0.000,0.041,0.000,0.453,0.089,0.328,0.143
