 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.164,0.344,0.178,0.390,0.393,0.333,0.547,0.177,0.365,0.574,0.355,0.642,0.349,0.224,0.645,0.159,0.234,0.318,0.290,0.552,0.143,0.418,0.314,0.500,0.475,0.127
f_min.final_model.000.01.det_cont.csv,0.125,0.143,0.176,0.810,0.286,0.114,0.206,0.063,0.127,0.364,0.279,0.286,0.097,0.382,0.524,0.288,0.141,0.080,0.729,0.333,0.104,0.161,0.564,0.500,0.355,0.138
f_min.final_model.000.02.det_cont.csv,0.172,0.186,0.258,0.681,0.364,0.141,0.234,0.129,0.203,0.388,0.397,0.292,0.155,0.580,0.500,0.458,0.206,0.120,0.564,0.318,0.116,0.210,0.391,0.582,0.359,0.185
f_min.final_model.000.03.det_cont.csv,0.400,0.340,0.543,0.218,0.370,0.078,0.196,0.450,0.315,0.141,0.302,0.180,0.321,0.489,0.130,0.657,0.488,0.241,0.194,0.042,0.275,0.145,0.055,0.230,0.071,0.444
f_min.final_model.000.04.det_cont.csv,0.346,0.592,0.592,0.175,0.591,0.246,0.423,0.477,0.625,0.294,0.382,0.362,0.604,0.276,0.237,0.354,0.732,0.519,0.125,0.139,0.286,0.373,0.024,0.262,0.108,0.358
f_min.final_model.000.05.det_cont.csv,0.250,0.217,0.304,0.353,0.383,0.145,0.190,0.224,0.197,0.277,0.420,0.175,0.200,0.816,0.254,0.667,0.222,0.121,0.333,0.185,0.155,0.182,0.179,0.400,0.203,0.264
f_min.final_model.000.06.det_cont.csv,0.111,0.222,0.086,0.333,0.290,0.410,0.424,0.087,0.313,0.690,0.410,0.561,0.243,0.200,0.625,0.119,0.141,0.219,0.319,0.736,0.065,0.356,0.306,0.508,0.614,0.065
f_min.final_model.000.07.det_cont.csv,0.659,0.800,0.500,0.132,0.404,0.197,0.375,0.545,0.528,0.230,0.254,0.344,0.600,0.242,0.198,0.283,0.480,0.640,0.050,0.133,0.562,0.304,0.024,0.197,0.076,0.667
f_min.final_model.000.08.det_cont.csv,0.111,0.322,0.130,0.138,0.321,0.617,0.542,0.121,0.444,0.571,0.434,0.491,0.351,0.138,0.343,0.102,0.203,0.317,0.095,0.519,0.091,0.628,0.120,0.281,0.344,0.075
f_min.final_model.000.09.det_cont.csv,0.288,0.596,0.316,0.109,0.426,0.404,0.732,0.348,0.596,0.417,0.327,0.520,0.574,0.127,0.282,0.148,0.447,0.551,0.040,0.254,0.302,0.489,0.052,0.215,0.179,0.255
