 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.950,0.500,0.500,0.224,0.405,0.245,0.286,0.174,0.421,0.127,0.545,0.391,0.438,0.405,0.356,0.089,0.361,0.131,0.333,0.130,0.412
f_min.final_model.000.01.det_cont.csv,0.500,0.605,0.610,0.297,0.488,0.352,0.269,0.119,0.535,0.121,0.500,0.551,0.381,0.600,0.521,0.090,0.452,0.174,0.236,0.208,0.277
f_min.final_model.000.02.det_cont.csv,0.472,0.479,0.744,0.328,0.500,0.339,0.360,0.133,0.545,0.134,0.667,0.660,0.538,0.650,0.471,0.119,0.400,0.186,0.321,0.222,0.409
f_min.final_model.000.03.det_cont.csv,0.444,0.321,0.595,0.448,0.970,0.423,0.489,0.218,0.675,0.271,0.391,0.453,0.283,0.413,0.609,0.233,0.192,0.323,0.278,0.300,0.220
f_min.final_model.000.04.det_cont.csv,0.179,0.120,0.286,0.782,0.411,0.517,0.473,0.473,0.397,0.679,0.182,0.300,0.141,0.179,0.443,0.492,0.070,0.684,0.361,0.339,0.136
f_min.final_model.000.05.det_cont.csv,0.163,0.103,0.108,0.483,0.186,0.179,0.309,0.895,0.143,0.569,0.150,0.079,0.103,0.061,0.129,0.295,0.063,0.450,0.451,0.061,0.200
f_min.final_model.000.06.det_cont.csv,0.065,0.037,0.157,0.633,0.215,0.354,0.350,0.446,0.227,0.712,0.083,0.197,0.028,0.082,0.294,0.492,0.000,0.627,0.239,0.234,0.087
f_min.final_model.000.07.det_cont.csv,0.233,0.183,0.417,0.371,0.435,0.667,0.283,0.097,0.511,0.226,0.226,0.393,0.176,0.294,0.471,0.339,0.086,0.339,0.129,0.535,0.107
f_min.final_model.000.08.det_cont.csv,0.273,0.175,0.340,0.544,0.438,0.345,0.919,0.340,0.420,0.386,0.333,0.373,0.212,0.211,0.418,0.418,0.119,0.433,0.460,0.302,0.250
f_min.final_model.000.09.det_cont.csv,0.204,0.132,0.213,0.569,0.358,0.446,0.370,0.423,0.298,0.673,0.145,0.200,0.100,0.125,0.328,0.473,0.045,0.618,0.333,0.286,0.097
