 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.447,0.429,0.318,0.170,0.186,0.204,0.484,0.351,0.341,0.196,0.362,0.157,0.271,0.394,0.341,0.436,0.378,0.227,0.378,0.421,0.088,0.255,0.295,0.208,0.432,0.000,0.113,0.288,0.421,0.176
f_min.final_model.000.01.det_cont.csv,0.622,0.625,0.462,0.127,0.143,0.149,0.333,0.259,0.262,0.123,0.491,0.100,0.215,0.524,0.400,0.396,0.311,0.263,0.769,0.385,0.053,0.206,0.364,0.155,0.315,0.000,0.100,0.232,0.674,0.147
f_min.final_model.000.02.det_cont.csv,0.667,0.562,0.352,0.132,0.328,0.370,0.605,0.444,0.451,0.129,0.580,0.254,0.382,0.452,0.574,0.775,0.571,0.190,0.294,0.643,0.149,0.234,0.500,0.162,0.659,0.066,0.298,0.464,0.500,0.136
f_min.final_model.000.03.det_cont.csv,0.318,0.296,0.154,0.446,0.672,0.569,0.368,0.439,0.542,0.500,0.333,0.338,0.409,0.147,0.230,0.419,0.492,0.246,0.107,0.229,0.469,0.548,0.271,0.433,0.491,0.093,0.569,0.737,0.211,0.394
f_min.final_model.000.04.det_cont.csv,0.511,0.460,0.246,0.172,0.431,0.532,0.686,0.500,0.674,0.214,0.453,0.358,0.396,0.311,0.385,0.568,0.667,0.196,0.208,0.426,0.271,0.283,0.458,0.167,0.737,0.086,0.412,0.600,0.340,0.159
f_min.final_model.000.05.det_cont.csv,0.375,0.302,0.143,0.167,0.460,0.558,0.388,0.309,0.588,0.203,0.410,0.473,0.361,0.193,0.286,0.444,0.527,0.101,0.106,0.288,0.448,0.323,0.362,0.178,0.442,0.263,0.588,0.508,0.267,0.139
f_min.final_model.000.06.det_cont.csv,0.296,0.293,0.177,0.328,0.574,0.542,0.356,0.585,0.396,0.321,0.362,0.423,0.689,0.130,0.276,0.449,0.510,0.380,0.138,0.255,0.375,0.436,0.263,0.274,0.511,0.121,0.345,0.491,0.190,0.316
f_min.final_model.000.07.det_cont.csv,0.111,0.119,0.106,0.750,0.441,0.345,0.173,0.300,0.233,0.892,0.113,0.156,0.246,0.034,0.072,0.109,0.167,0.353,0.100,0.095,0.351,0.519,0.075,0.646,0.214,0.000,0.233,0.344,0.078,0.630
f_min.final_model.000.08.det_cont.csv,0.556,0.471,0.259,0.149,0.441,0.480,0.649,0.413,0.609,0.167,0.580,0.370,0.434,0.356,0.451,0.651,0.791,0.150,0.222,0.468,0.242,0.274,0.469,0.145,0.700,0.140,0.423,0.547,0.438,0.119
f_min.final_model.000.09.det_cont.csv,0.147,0.137,0.052,0.491,0.550,0.439,0.190,0.281,0.464,0.592,0.145,0.281,0.333,0.030,0.051,0.179,0.308,0.242,0.042,0.069,0.518,0.611,0.127,0.475,0.267,0.090,0.439,0.475,0.055,0.456
f_min.final_model.000.10.det_cont.csv,0.489,0.469,0.400,0.194,0.242,0.224,0.381,0.442,0.315,0.175,0.434,0.145,0.377,0.568,0.578,0.511,0.345,0.375,0.432,0.535,0.088,0.288,0.353,0.226,0.444,0.000,0.164,0.295,0.500,0.241
f_min.final_model.000.11.det_cont.csv,0.633,0.574,0.339,0.101,0.338,0.355,0.420,0.339,0.400,0.096,0.618,0.292,0.433,0.479,0.585,0.761,0.554,0.215,0.434,0.491,0.176,0.219,0.414,0.127,0.500,0.119,0.333,0.415,0.549,0.118
f_min.final_model.000.12.det_cont.csv,0.378,0.314,0.477,0.169,0.167,0.138,0.293,0.357,0.222,0.107,0.315,0.065,0.283,0.559,0.610,0.400,0.255,0.386,0.450,0.564,0.030,0.224,0.231,0.224,0.277,0.018,0.082,0.213,0.452,0.218
f_min.final_model.000.13.det_cont.csv,0.581,0.587,0.392,0.087,0.203,0.220,0.439,0.286,0.333,0.079,0.571,0.143,0.254,0.595,0.636,0.533,0.389,0.218,0.524,0.595,0.056,0.149,0.400,0.116,0.435,0.050,0.180,0.333,0.763,0.090
f_min.final_model.000.14.det_cont.csv,0.540,0.491,0.270,0.120,0.460,0.528,0.545,0.333,0.620,0.149,0.564,0.446,0.456,0.308,0.446,0.625,0.714,0.118,0.217,0.382,0.292,0.229,0.491,0.117,0.630,0.161,0.473,0.534,0.357,0.108
f_min.final_model.000.15.det_cont.csv,0.116,0.123,0.026,0.292,0.460,0.421,0.153,0.241,0.373,0.328,0.162,0.473,0.407,0.015,0.080,0.182,0.312,0.188,0.014,0.056,0.680,0.433,0.129,0.246,0.250,0.286,0.473,0.435,0.027,0.281
f_min.final_model.000.16.det_cont.csv,0.477,0.458,0.581,0.125,0.081,0.062,0.217,0.200,0.150,0.066,0.345,0.015,0.203,0.556,0.438,0.269,0.220,0.306,0.743,0.455,0.000,0.175,0.264,0.175,0.212,0.000,0.030,0.132,0.524,0.167
f_min.final_model.000.17.det_cont.csv,0.197,0.169,0.035,0.415,0.587,0.589,0.246,0.270,0.459,0.491,0.237,0.391,0.358,0.056,0.141,0.265,0.415,0.183,0.038,0.135,0.533,0.469,0.176,0.362,0.317,0.159,0.534,0.540,0.105,0.406
f_min.final_model.000.18.det_cont.csv,0.241,0.203,0.293,0.519,0.403,0.333,0.235,0.457,0.310,0.469,0.227,0.169,0.444,0.235,0.288,0.259,0.254,0.578,0.259,0.315,0.274,0.620,0.138,0.500,0.273,0.000,0.206,0.377,0.224,0.571
f_min.final_model.000.19.det_cont.csv,0.236,0.197,0.060,0.056,0.297,0.385,0.229,0.235,0.333,0.079,0.262,0.600,0.396,0.113,0.220,0.327,0.389,0.063,0.067,0.175,0.442,0.203,0.228,0.055,0.269,0.537,0.358,0.270,0.136,0.043
f_min.final_model.000.20.det_cont.csv,0.280,0.255,0.457,0.268,0.197,0.133,0.222,0.372,0.172,0.185,0.237,0.062,0.321,0.447,0.478,0.300,0.203,0.537,0.429,0.465,0.060,0.304,0.158,0.327,0.216,0.000,0.030,0.188,0.340,0.327
