 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.188,0.250,0.222,0.351,0.421,0.175,0.256,0.153,0.378,0.385,0.372,0.415,0.154,0.020,0.395,0.314,0.254,0.240,0.170,0.295,0.017,0.018,0.134,0.000,0.036,0.000,0.471,0.271,0.213,0.000
f_min.final_model.000.01.det_cont.csv,0.136,0.200,0.159,0.388,0.440,0.136,0.263,0.103,0.769,0.309,0.305,0.520,0.099,0.015,0.543,0.306,0.559,0.231,0.127,0.250,0.000,0.000,0.106,0.014,0.027,0.000,0.417,0.215,0.271,0.000
f_min.final_model.000.02.det_cont.csv,0.143,0.190,0.346,0.275,0.683,0.271,0.190,0.203,0.320,0.605,0.609,0.698,0.271,0.082,0.511,0.245,0.459,0.400,0.132,0.220,0.000,0.000,0.282,0.000,0.143,0.029,0.585,0.490,0.180,0.000
f_min.final_model.000.03.det_cont.csv,0.435,0.415,0.450,0.139,0.284,0.710,0.246,0.639,0.107,0.433,0.444,0.364,0.333,0.221,0.197,0.182,0.247,0.403,0.403,0.369,0.257,0.254,0.662,0.035,0.236,0.113,0.302,0.525,0.187,0.086
f_min.final_model.000.04.det_cont.csv,0.186,0.217,0.545,0.189,0.426,0.381,0.218,0.306,0.208,0.811,0.714,0.511,0.327,0.103,0.294,0.180,0.338,0.339,0.136,0.228,0.072,0.029,0.369,0.000,0.167,0.045,0.500,0.480,0.148,0.000
f_min.final_model.000.05.det_cont.csv,0.162,0.155,0.571,0.108,0.310,0.455,0.101,0.364,0.123,0.462,0.500,0.356,0.464,0.352,0.210,0.133,0.333,0.355,0.135,0.197,0.051,0.068,0.463,0.013,0.436,0.234,0.309,0.383,0.082,0.147
f_min.final_model.000.06.det_cont.csv,0.286,0.364,0.400,0.204,0.327,0.435,0.380,0.407,0.138,0.438,0.480,0.377,0.415,0.138,0.172,0.326,0.236,0.638,0.262,0.358,0.118,0.075,0.444,0.000,0.180,0.029,0.275,0.767,0.263,0.014
f_min.final_model.000.07.det_cont.csv,0.756,0.667,0.167,0.161,0.113,0.483,0.380,0.509,0.082,0.150,0.138,0.106,0.136,0.119,0.062,0.245,0.072,0.222,0.674,0.440,0.462,0.440,0.468,0.092,0.075,0.091,0.140,0.288,0.309,0.109
f_min.final_model.000.08.det_cont.csv,0.161,0.172,0.522,0.204,0.533,0.348,0.169,0.277,0.245,0.683,0.682,0.553,0.364,0.158,0.360,0.173,0.413,0.426,0.116,0.200,0.013,0.000,0.358,0.000,0.220,0.075,0.512,0.490,0.125,0.029
f_min.final_model.000.09.det_cont.csv,0.481,0.456,0.368,0.090,0.116,0.644,0.242,0.717,0.042,0.242,0.242,0.174,0.277,0.276,0.041,0.150,0.102,0.308,0.491,0.356,0.333,0.333,0.597,0.053,0.231,0.127,0.106,0.312,0.194,0.145
