 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
model.000.00.det_cont.csv,0.224,0.118,0.179,0.367,0.480,0.232,0.135,0.791,0.194,0.392,0.725,0.123,0.149,0.083,0.321,0.312,0.548,0.000,0.720,0.000,0.224,0.254,0.262,0.000,0.000,0.000,0.611,0.111,0.471,0.000
model.000.01.det_cont.csv,0.288,0.196,0.231,0.368,0.475,0.227,0.169,0.442,0.229,0.436,0.459,0.094,0.192,0.086,0.405,0.371,0.389,0.000,0.340,0.016,0.264,0.280,0.319,0.000,0.000,0.033,0.286,0.182,0.277,0.000
model.000.02.det_cont.csv,0.500,0.733,0.653,0.150,0.152,0.315,0.458,0.129,0.206,0.159,0.145,0.136,0.145,0.476,0.169,0.250,0.098,0.015,0.100,0.436,0.500,0.246,0.339,0.111,0.074,0.509,0.085,0.673,0.069,0.086
model.000.03.det_cont.csv,0.123,0.196,0.296,0.758,0.444,0.463,0.056,0.388,0.048,0.170,0.500,0.016,0.046,0.025,0.161,0.500,0.600,0.000,0.328,0.046,0.304,0.250,0.193,0.000,0.000,0.045,0.258,0.183,0.347,0.000
model.000.04.det_cont.csv,0.610,0.561,0.438,0.096,0.192,0.224,0.617,0.169,0.381,0.292,0.093,0.284,0.286,0.576,0.338,0.169,0.083,0.026,0.138,0.385,0.439,0.353,0.406,0.141,0.105,0.468,0.176,0.525,0.100,0.074
model.000.05.det_cont.csv,0.615,0.500,0.473,0.078,0.134,0.224,0.623,0.113,0.357,0.237,0.076,0.271,0.254,0.603,0.246,0.140,0.031,0.015,0.086,0.339,0.474,0.286,0.339,0.129,0.090,0.429,0.127,0.439,0.055,0.041
model.000.06.det_cont.csv,0.370,0.133,0.224,0.283,0.571,0.196,0.206,0.568,0.347,0.575,0.386,0.204,0.232,0.153,0.535,0.310,0.390,0.000,0.472,0.000,0.213,0.365,0.438,0.000,0.016,0.014,0.386,0.125,0.457,0.000
model.000.07.det_cont.csv,0.400,0.291,0.396,0.216,0.327,0.422,0.386,0.220,0.408,0.347,0.164,0.193,0.358,0.323,0.380,0.381,0.132,0.000,0.174,0.125,0.426,0.609,0.714,0.000,0.000,0.141,0.188,0.316,0.129,0.000
model.000.08.det_cont.csv,0.161,0.100,0.150,0.462,0.524,0.229,0.072,0.595,0.103,0.326,0.595,0.068,0.063,0.025,0.280,0.293,0.774,0.000,0.520,0.000,0.200,0.169,0.196,0.000,0.000,0.000,0.400,0.094,0.625,0.000
model.000.09.det_cont.csv,0.207,0.085,0.098,0.279,0.476,0.096,0.108,0.444,0.170,0.475,0.390,0.089,0.102,0.039,0.378,0.159,0.432,0.000,0.451,0.000,0.129,0.136,0.226,0.000,0.017,0.000,0.389,0.079,0.500,0.000
model.000.10.det_cont.csv,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.097,0.148,0.000,0.000,0.000,0.109,0.067,0.127,0.127,0.014,0.015,0.489
model.000.11.det_cont.csv,0.156,0.030,0.076,0.311,0.467,0.130,0.070,0.605,0.138,0.340,0.525,0.102,0.062,0.051,0.294,0.170,0.541,0.000,0.560,0.000,0.121,0.127,0.169,0.000,0.016,0.000,0.491,0.029,0.558,0.000
model.000.12.det_cont.csv,0.648,0.361,0.387,0.028,0.141,0.188,0.685,0.135,0.421,0.238,0.056,0.356,0.312,0.690,0.286,0.111,0.043,0.014,0.107,0.292,0.435,0.323,0.355,0.154,0.130,0.328,0.175,0.381,0.108,0.038
model.000.13.det_cont.csv,0.561,0.153,0.147,0.104,0.306,0.086,0.468,0.292,0.588,0.472,0.169,0.633,0.527,0.441,0.528,0.129,0.161,0.014,0.274,0.037,0.271,0.410,0.377,0.172,0.279,0.090,0.343,0.130,0.302,0.013
model.000.14.det_cont.csv,0.475,0.235,0.225,0.027,0.155,0.149,0.586,0.133,0.577,0.295,0.055,0.558,0.545,0.678,0.390,0.092,0.043,0.027,0.133,0.149,0.324,0.475,0.393,0.152,0.234,0.211,0.188,0.205,0.169,0.012
model.000.15.det_cont.csv,0.072,0.097,0.029,0.000,0.000,0.000,0.118,0.000,0.082,0.000,0.000,0.327,0.327,0.153,0.031,0.000,0.000,0.341,0.000,0.131,0.088,0.060,0.000,0.622,0.615,0.148,0.013,0.091,0.031,0.200
model.000.16.det_cont.csv,0.293,0.045,0.091,0.017,0.175,0.069,0.328,0.167,0.558,0.333,0.069,0.535,0.628,0.424,0.426,0.077,0.055,0.034,0.145,0.000,0.172,0.469,0.373,0.109,0.185,0.029,0.231,0.043,0.193,0.015
model.000.17.det_cont.csv,0.460,0.155,0.186,0.115,0.327,0.176,0.415,0.308,0.585,0.632,0.176,0.306,0.417,0.281,0.667,0.227,0.143,0.018,0.283,0.046,0.217,0.458,0.511,0.000,0.069,0.078,0.300,0.145,0.269,0.000
model.000.18.det_cont.csv,0.200,0.091,0.136,0.400,0.556,0.204,0.111,0.659,0.167,0.396,0.585,0.113,0.106,0.061,0.373,0.255,0.564,0.000,0.608,0.000,0.182,0.210,0.259,0.000,0.015,0.000,0.482,0.086,0.651,0.000
model.000.19.det_cont.csv,0.037,0.113,0.079,0.000,0.000,0.014,0.036,0.013,0.000,0.000,0.014,0.000,0.026,0.080,0.000,0.000,0.000,0.373,0.060,0.270,0.024,0.000,0.000,0.183,0.088,0.266,0.084,0.137,0.000,0.750
model.000.20.det_cont.csv,0.125,0.120,0.160,0.389,0.414,0.222,0.082,0.604,0.108,0.295,0.571,0.066,0.076,0.042,0.242,0.246,0.460,0.087,0.593,0.000,0.184,0.208,0.214,0.000,0.026,0.000,0.532,0.114,0.431,0.065
model.000.21.det_cont.csv,0.642,0.528,0.527,0.108,0.179,0.254,0.618,0.155,0.339,0.267,0.088,0.258,0.262,0.600,0.274,0.172,0.061,0.014,0.123,0.344,0.450,0.333,0.414,0.090,0.070,0.431,0.165,0.491,0.096,0.039
