 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.351,0.417,0.275,0.123,0.189,0.108,0.182,0.140,0.204,0.074,0.476,0.316,0.629,0.400,0.161,0.043,0.579,0.026,0.367,0.050,0.686
f_min.final_model.000.01.det_cont.csv,0.191,0.138,0.145,0.419,0.169,0.164,0.291,0.732,0.145,0.463,0.193,0.110,0.189,0.095,0.114,0.238,0.138,0.387,0.460,0.062,0.275
f_min.final_model.000.02.det_cont.csv,0.000,0.000,0.050,0.176,0.070,0.321,0.105,0.086,0.125,0.224,0.000,0.090,0.019,0.034,0.129,0.373,0.000,0.238,0.048,0.356,0.000
f_min.final_model.000.03.det_cont.csv,0.227,0.263,0.190,0.265,0.196,0.101,0.380,0.380,0.150,0.262,0.375,0.215,0.386,0.218,0.118,0.169,0.306,0.183,0.578,0.063,0.537
f_min.final_model.000.04.det_cont.csv,0.410,0.431,0.707,0.299,0.417,0.305,0.346,0.111,0.522,0.114,0.634,0.569,0.590,0.581,0.453,0.100,0.444,0.149,0.333,0.214,0.455
f_min.final_model.000.05.det_cont.csv,0.077,0.042,0.044,0.375,0.113,0.099,0.224,0.690,0.060,0.463,0.079,0.025,0.086,0.030,0.068,0.238,0.065,0.433,0.352,0.015,0.182
f_min.final_model.000.06.det_cont.csv,0.224,0.219,0.190,0.373,0.197,0.139,0.339,0.562,0.154,0.407,0.309,0.181,0.340,0.159,0.139,0.242,0.228,0.324,0.638,0.074,0.468
f_min.final_model.000.07.det_cont.csv,0.459,0.358,0.643,0.433,0.718,0.434,0.438,0.150,0.683,0.222,0.404,0.519,0.298,0.426,0.652,0.188,0.255,0.273,0.224,0.288,0.235
f_min.final_model.000.08.det_cont.csv,0.217,0.138,0.340,0.492,0.500,0.560,0.479,0.183,0.479,0.411,0.236,0.350,0.125,0.211,0.560,0.472,0.048,0.483,0.217,0.438,0.083
f_min.final_model.000.09.det_cont.csv,0.082,0.060,0.193,0.232,0.245,0.415,0.308,0.062,0.308,0.226,0.102,0.258,0.034,0.100,0.339,0.415,0.000,0.297,0.077,0.737,0.016
f_min.final_model.000.10.det_cont.csv,0.000,0.015,0.015,0.012,0.032,0.028,0.000,0.000,0.015,0.000,0.000,0.013,0.018,0.016,0.028,0.058,0.000,0.000,0.000,0.123,0.000
f_min.final_model.000.11.det_cont.csv,0.361,0.763,0.306,0.095,0.192,0.109,0.103,0.067,0.231,0.029,0.419,0.451,0.436,0.550,0.224,0.000,0.735,0.026,0.222,0.069,0.381
f_min.final_model.000.12.det_cont.csv,0.000,0.040,0.000,0.011,0.000,0.012,0.000,0.071,0.000,0.025,0.000,0.000,0.000,0.014,0.000,0.038,0.000,0.047,0.013,0.058,0.000
f_min.final_model.000.13.det_cont.csv,0.000,0.000,0.000,0.222,0.015,0.054,0.060,0.392,0.000,0.295,0.000,0.000,0.016,0.000,0.013,0.130,0.000,0.229,0.141,0.000,0.083
f_min.final_model.000.14.det_cont.csv,0.017,0.000,0.000,0.260,0.074,0.051,0.119,0.471,0.014,0.339,0.000,0.000,0.015,0.000,0.038,0.188,0.000,0.286,0.203,0.000,0.095
f_min.final_model.000.15.det_cont.csv,0.326,0.580,0.617,0.292,0.480,0.317,0.267,0.086,0.490,0.135,0.460,0.654,0.333,0.644,0.537,0.107,0.479,0.182,0.200,0.213,0.250
f_min.final_model.000.16.det_cont.csv,0.353,0.362,0.271,0.200,0.204,0.097,0.356,0.271,0.173,0.169,0.487,0.291,0.472,0.311,0.133,0.133,0.436,0.118,0.575,0.073,0.571
f_min.final_model.000.17.det_cont.csv,0.455,0.535,0.432,0.159,0.298,0.186,0.189,0.068,0.340,0.044,0.667,0.460,0.667,0.605,0.273,0.014,0.568,0.068,0.327,0.109,0.583
