 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.361,0.396,0.280,0.141,0.192,0.092,0.208,0.164,0.208,0.091,0.488,0.298,0.647,0.378,0.164,0.060,0.553,0.039,0.404,0.051,0.758
f_min.final_model.000.01.det_cont.csv,0.191,0.138,0.145,0.443,0.169,0.164,0.268,0.732,0.145,0.491,0.172,0.110,0.167,0.095,0.114,0.238,0.119,0.387,0.431,0.062,0.250
f_min.final_model.000.02.det_cont.csv,0.400,0.451,0.690,0.294,0.408,0.300,0.340,0.109,0.511,0.113,0.659,0.588,0.615,0.605,0.444,0.099,0.467,0.147,0.327,0.211,0.477
f_min.final_model.000.03.det_cont.csv,0.200,0.143,0.327,0.458,0.523,0.551,0.438,0.169,0.500,0.375,0.200,0.339,0.109,0.196,0.551,0.462,0.032,0.500,0.203,0.457,0.068
f_min.final_model.000.04.det_cont.csv,0.229,0.203,0.194,0.400,0.200,0.157,0.370,0.644,0.156,0.439,0.315,0.167,0.294,0.143,0.141,0.246,0.211,0.369,0.689,0.075,0.417
f_min.final_model.000.05.det_cont.csv,0.486,0.872,0.373,0.160,0.283,0.167,0.186,0.111,0.296,0.083,0.489,0.509,0.409,0.545,0.283,0.055,0.625,0.090,0.286,0.097,0.391
f_min.final_model.000.06.det_cont.csv,0.194,0.150,0.348,0.710,0.450,0.500,0.435,0.435,0.435,0.540,0.211,0.338,0.141,0.225,0.455,0.477,0.063,0.677,0.319,0.279,0.137
f_min.final_model.000.07.det_cont.csv,0.164,0.127,0.265,0.689,0.377,0.476,0.387,0.410,0.365,0.621,0.186,0.263,0.114,0.167,0.388,0.453,0.052,0.683,0.313,0.292,0.111
f_min.final_model.000.08.det_cont.csv,0.160,0.101,0.237,0.364,0.365,0.404,0.490,0.217,0.327,0.350,0.186,0.239,0.083,0.127,0.356,0.538,0.030,0.375,0.230,0.614,0.081
f_min.final_model.000.09.det_cont.csv,0.273,0.298,0.224,0.275,0.232,0.114,0.392,0.365,0.183,0.254,0.417,0.246,0.432,0.255,0.147,0.182,0.320,0.211,0.622,0.062,0.585
f_min.final_model.000.10.det_cont.csv,0.000,0.000,0.049,0.174,0.069,0.315,0.103,0.085,0.123,0.220,0.000,0.088,0.018,0.033,0.127,0.392,0.000,0.234,0.048,0.378,0.000
f_min.final_model.000.11.det_cont.csv,0.469,0.512,0.476,0.179,0.304,0.190,0.240,0.088,0.348,0.045,0.788,0.469,0.688,0.622,0.302,0.030,0.583,0.069,0.333,0.111,0.600
f_min.final_model.000.12.det_cont.csv,0.472,0.365,0.659,0.417,0.737,0.442,0.447,0.153,0.700,0.226,0.413,0.529,0.304,0.435,0.630,0.190,0.260,0.277,0.228,0.320,0.240
f_min.final_model.000.13.det_cont.csv,0.018,0.000,0.000,0.239,0.062,0.054,0.092,0.449,0.000,0.317,0.000,0.000,0.016,0.000,0.026,0.164,0.000,0.265,0.159,0.000,0.083
