 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.13.pdb,0.000,0.000,0.083,0.256,0.000,0.176,0.000,0.400,0.000,0.153,0.192,0.000,0.264,0.015,0.000,0.362,0.051,0.155,0.143,0.161,0.019,0.105,0.000,0.000,0.000,0.000,0.058,0.000
model.000.14.pdb,0.410,0.043,0.232,0.000,0.265,0.000,0.350,0.159,0.554,0.349,0.000,0.403,0.292,0.000,0.324,0.000,0.000,0.000,0.000,0.323,0.000,0.000,0.125,0.183,0.404,0.104,0.000,0.075
model.000.15.pdb,0.000,0.000,0.000,0.463,0.000,0.571,0.000,0.078,0.000,0.000,0.259,0.000,0.014,0.143,0.039,0.522,0.545,0.304,0.400,0.000,0.405,0.643,0.000,0.000,0.000,0.000,0.488,0.000
model.000.16.pdb,0.000,0.033,0.000,0.052,0.000,0.098,0.000,0.000,0.000,0.000,0.000,0.069,0.000,0.043,0.111,0.029,0.078,0.028,0.044,0.000,0.154,0.129,0.029,0.000,0.045,0.032,0.170,0.016
model.000.17.pdb,0.000,0.000,0.032,0.610,0.000,0.532,0.000,0.293,0.000,0.096,0.213,0.000,0.162,0.068,0.037,0.767,0.298,0.295,0.246,0.055,0.275,0.389,0.000,0.000,0.000,0.000,0.314,0.000
model.000.18.pdb,0.000,0.000,0.000,0.088,0.000,0.236,0.000,0.000,0.000,0.000,0.094,0.054,0.000,0.104,0.080,0.091,0.228,0.136,0.180,0.000,0.356,0.291,0.000,0.000,0.000,0.000,0.340,0.000
model.000.19.pdb,0.027,0.000,0.000,0.333,0.000,0.269,0.000,0.190,0.056,0.175,0.015,0.267,0.197,0.000,0.295,0.186,0.046,0.028,0.014,0.109,0.229,0.078,0.000,0.000,0.045,0.000,0.271,0.000
model.000.20.pdb,0.056,0.000,0.000,0.196,0.013,0.196,0.014,0.129,0.069,0.154,0.000,0.400,0.194,0.000,0.429,0.109,0.015,0.014,0.000,0.091,0.154,0.029,0.000,0.000,0.186,0.000,0.192,0.000
model.000.21.pdb,0.187,0.000,0.358,0.042,0.141,0.013,0.200,0.456,0.268,0.692,0.065,0.216,0.740,0.000,0.107,0.105,0.000,0.036,0.037,0.700,0.000,0.012,0.037,0.074,0.078,0.013,0.014,0.014
model.000.22.pdb,0.091,0.000,0.457,0.062,0.091,0.014,0.145,0.368,0.164,0.509,0.116,0.062,0.491,0.038,0.011,0.129,0.000,0.065,0.068,0.569,0.000,0.013,0.000,0.079,0.026,0.000,0.000,0.000
model.000.23.pdb,0.147,0.000,0.271,0.068,0.099,0.045,0.159,0.440,0.234,0.638,0.014,0.215,0.767,0.000,0.123,0.074,0.000,0.000,0.000,0.609,0.000,0.000,0.014,0.041,0.059,0.015,0.032,0.016
model.000.24.pdb,0.356,0.264,0.286,0.000,0.538,0.000,0.500,0.028,0.328,0.145,0.000,0.038,0.083,0.100,0.024,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.415,0.592,0.138,0.236,0.000,0.269
model.000.25.pdb,0.608,0.255,0.226,0.000,0.491,0.000,0.571,0.056,0.660,0.209,0.000,0.186,0.143,0.013,0.211,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.375,0.404,0.490,0.321,0.000,0.259
model.000.26.pdb,0.333,0.092,0.068,0.000,0.185,0.012,0.197,0.084,0.347,0.159,0.000,0.644,0.160,0.000,0.538,0.000,0.000,0.000,0.000,0.150,0.039,0.000,0.138,0.133,0.429,0.151,0.025,0.108
model.000.27.pdb,0.600,0.442,0.246,0.000,0.630,0.000,0.627,0.051,0.534,0.160,0.000,0.127,0.103,0.012,0.150,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.509,0.593,0.344,0.490,0.000,0.480
model.000.28.pdb,0.011,0.013,0.000,0.233,0.000,0.311,0.000,0.051,0.011,0.048,0.000,0.286,0.061,0.000,0.368,0.135,0.093,0.024,0.037,0.012,0.377,0.137,0.012,0.000,0.107,0.000,0.415,0.000
model.000.29.pdb,0.091,0.000,0.447,0.018,0.108,0.000,0.155,0.222,0.141,0.392,0.121,0.014,0.373,0.015,0.000,0.098,0.000,0.077,0.081,0.388,0.000,0.015,0.031,0.094,0.000,0.000,0.000,0.000
