 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,0.044,0.000,0.110,0.153,0.114,0.000,0.013,0.101,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.155,0.000,0.162,0.000,0.136,0.024,0.000,0.100
model.000.01.pdb,0.000,0.000,0.000,0.345,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.085,0.014,0.000,0.148,0.045,0.000,0.000,0.000,0.276,0.014,0.000,0.224,0.000,0.000
model.000.02.pdb,0.115,0.395,0.114,0.000,0.087,0.396,0.210,0.159,0.000,0.444,0.404,0.119,0.298,0.375,0.091,0.224,0.297,0.113,0.500,0.000,0.321,0.091,0.050,0.277,0.088
model.000.03.pdb,0.086,0.000,0.197,0.071,0.167,0.000,0.061,0.153,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.233,0.000,0.109,0.000,0.218,0.000,0.000,0.150
model.000.04.pdb,0.190,0.220,0.234,0.000,0.118,0.308,0.382,0.175,0.000,0.222,0.345,0.000,0.119,0.264,0.000,0.059,0.527,0.231,0.491,0.000,0.154,0.123,0.000,0.173,0.136
model.000.05.pdb,0.012,0.000,0.078,0.000,0.000,0.117,0.080,0.000,0.000,0.000,0.150,0.000,0.057,0.104,0.000,0.000,0.291,0.089,0.115,0.000,0.057,0.022,0.000,0.000,0.011
model.000.06.pdb,0.049,0.000,0.138,0.027,0.076,0.000,0.060,0.078,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.190,0.000,0.043,0.000,0.153,0.000,0.000,0.094
model.000.07.pdb,0.385,0.394,0.208,0.048,0.326,0.019,0.220,0.439,0.200,0.275,0.017,0.061,0.000,0.020,0.036,0.056,0.015,0.140,0.049,0.051,0.017,0.381,0.111,0.533,0.333
model.000.08.pdb,0.240,0.019,0.309,0.104,0.408,0.000,0.113,0.340,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.000,0.167,0.000,0.404,0.026,0.059,0.388
model.000.09.pdb,0.442,0.125,0.565,0.000,0.353,0.017,0.438,0.367,0.046,0.035,0.015,0.000,0.000,0.000,0.000,0.000,0.149,0.659,0.091,0.000,0.000,0.435,0.000,0.174,0.388
model.000.10.pdb,0.245,0.039,0.183,0.177,0.417,0.000,0.046,0.269,0.523,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.161,0.000,0.255,0.000,0.327,0.100,0.104,0.264
model.000.11.pdb,0.130,0.000,0.240,0.000,0.135,0.000,0.113,0.163,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.312,0.000,0.000,0.000,0.273,0.000,0.000,0.184
model.000.12.pdb,0.000,0.000,0.000,0.412,0.031,0.000,0.000,0.000,0.138,0.000,0.000,0.018,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.134,0.000,0.000
model.000.13.pdb,0.136,0.000,0.203,0.234,0.254,0.000,0.057,0.220,0.431,0.000,0.000,0.016,0.000,0.000,0.014,0.000,0.000,0.219,0.000,0.293,0.000,0.246,0.092,0.017,0.217
model.000.14.pdb,0.234,0.203,0.328,0.000,0.162,0.368,0.458,0.200,0.000,0.169,0.400,0.000,0.133,0.305,0.012,0.065,0.516,0.324,0.483,0.000,0.214,0.153,0.000,0.183,0.181
model.000.15.pdb,0.000,0.096,0.000,0.000,0.000,0.600,0.029,0.000,0.000,0.216,0.522,0.125,0.614,0.575,0.150,0.308,0.250,0.000,0.442,0.000,0.690,0.000,0.038,0.036,0.000
model.000.16.pdb,0.511,0.176,0.529,0.026,0.596,0.000,0.364,0.521,0.104,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.580,0.040,0.027,0.000,0.565,0.024,0.224,0.721
model.000.17.pdb,0.000,0.077,0.014,0.000,0.000,0.703,0.092,0.015,0.000,0.130,0.769,0.000,0.296,0.550,0.000,0.081,0.491,0.014,0.542,0.000,0.373,0.000,0.000,0.037,0.000
model.000.18.pdb,0.283,0.169,0.359,0.000,0.183,0.188,0.527,0.206,0.000,0.138,0.206,0.000,0.051,0.172,0.000,0.013,0.508,0.375,0.279,0.000,0.092,0.174,0.000,0.169,0.186
