 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.00.pdb,1.000,0.227,0.565,0.014,0.643,0.000,0.438,0.523,0.115,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.460,0.075,0.014,0.000,0.571,0.040,0.350,0.619
model.000.01.pdb,0.227,1.000,0.185,0.000,0.196,0.082,0.326,0.311,0.000,0.594,0.073,0.156,0.071,0.083,0.094,0.163,0.078,0.140,0.143,0.000,0.111,0.208,0.061,0.586,0.200
model.000.02.pdb,0.565,0.185,1.000,0.012,0.463,0.014,0.549,0.510,0.083,0.095,0.013,0.000,0.000,0.014,0.000,0.000,0.145,0.729,0.093,0.026,0.000,0.551,0.011,0.231,0.592
model.000.03.pdb,0.014,0.000,0.012,1.000,0.038,0.000,0.000,0.013,0.333,0.000,0.000,0.180,0.000,0.000,0.182,0.069,0.000,0.000,0.000,0.783,0.000,0.026,0.452,0.000,0.013
model.000.04.pdb,0.643,0.196,0.463,0.038,1.000,0.000,0.310,0.574,0.230,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.404,0.039,0.069,0.000,0.587,0.049,0.298,0.667
model.000.05.pdb,0.000,0.082,0.014,0.000,0.000,1.000,0.097,0.015,0.000,0.160,0.692,0.017,0.340,0.735,0.032,0.143,0.407,0.014,0.578,0.000,0.457,0.000,0.000,0.039,0.000
model.000.06.pdb,0.438,0.326,0.549,0.000,0.310,0.097,1.000,0.370,0.014,0.222,0.088,0.000,0.014,0.081,0.000,0.014,0.273,0.538,0.215,0.000,0.042,0.304,0.000,0.356,0.339
model.000.07.pdb,0.523,0.311,0.510,0.013,0.574,0.015,0.370,1.000,0.159,0.208,0.014,0.048,0.000,0.016,0.029,0.045,0.038,0.393,0.069,0.027,0.014,0.614,0.051,0.439,0.622
model.000.08.pdb,0.115,0.000,0.083,0.333,0.230,0.000,0.014,0.159,1.000,0.016,0.000,0.065,0.000,0.000,0.043,0.014,0.000,0.053,0.000,0.407,0.000,0.161,0.217,0.071,0.138
model.000.09.pdb,0.113,0.594,0.095,0.000,0.100,0.160,0.222,0.208,0.016,1.000,0.143,0.239,0.182,0.188,0.167,0.319,0.104,0.077,0.211,0.000,0.226,0.105,0.119,0.417,0.102
model.000.10.pdb,0.000,0.073,0.013,0.000,0.000,0.692,0.088,0.014,0.000,0.143,1.000,0.016,0.377,0.711,0.044,0.111,0.390,0.013,0.571,0.000,0.490,0.000,0.012,0.035,0.000
model.000.11.pdb,0.000,0.156,0.000,0.180,0.000,0.017,0.000,0.048,0.065,0.239,0.016,1.000,0.138,0.036,0.641,0.500,0.000,0.000,0.045,0.172,0.138,0.000,0.434,0.061,0.000
