 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.014,0.024,0.082,0.000,0.000,0.829,0.549,0.172,0.000,0.000,0.000,0.029,0.000,0.000,0.057,0.578,0.125,0.377,0.129,0.025,0.014,0.340,0.101,0.000,0.152,0.533,0.000,0.000,0.000,0.109
model.000.01.pdb,0.345,0.492,0.103,0.283,0.145,0.000,0.000,0.000,0.411,0.393,0.660,0.149,0.500,0.745,0.141,0.000,0.086,0.000,0.062,0.544,0.436,0.000,0.078,0.569,0.000,0.000,0.143,0.456,0.704,0.000
model.000.02.pdb,0.000,0.000,0.164,0.000,0.057,0.288,0.164,0.364,0.000,0.000,0.000,0.051,0.000,0.000,0.158,0.312,0.217,0.711,0.224,0.000,0.000,0.204,0.153,0.000,0.214,0.220,0.000,0.000,0.000,0.050
model.000.03.pdb,0.000,0.000,0.025,0.000,0.000,0.129,0.078,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.103,0.062,0.426,0.092,0.000,0.000,0.246,0.013,0.000,0.667,0.090,0.041,0.000,0.000,0.415
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000,0.236,0.263,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.294,0.000,0.000,0.000,0.714,0.000,0.000,0.468,0.127,0.000,0.000,0.000,0.422
model.000.05.pdb,0.000,0.000,0.085,0.000,0.016,0.259,0.149,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.232,0.129,0.732,0.149,0.000,0.000,0.327,0.072,0.000,0.423,0.155,0.000,0.000,0.000,0.211
model.000.06.pdb,0.275,0.157,0.159,0.524,0.234,0.000,0.000,0.000,0.245,0.161,0.207,0.185,0.216,0.288,0.172,0.000,0.071,0.000,0.058,0.230,0.269,0.000,0.129,0.241,0.000,0.000,0.314,0.148,0.362,0.000
model.000.07.pdb,0.000,0.000,0.028,0.000,0.000,0.346,0.276,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.269,0.056,0.700,0.057,0.000,0.000,0.442,0.000,0.000,0.392,0.255,0.000,0.000,0.000,0.222
model.000.08.pdb,0.288,0.051,0.630,0.082,0.538,0.029,0.000,0.362,0.015,0.000,0.075,0.467,0.016,0.114,0.667,0.081,0.453,0.095,0.442,0.116,0.172,0.000,0.532,0.030,0.000,0.016,0.062,0.000,0.141,0.000
model.000.09.pdb,0.364,0.569,0.122,0.088,0.062,0.068,0.107,0.059,0.152,0.172,0.356,0.175,0.241,0.387,0.130,0.136,0.214,0.000,0.153,0.604,0.462,0.000,0.127,0.283,0.000,0.141,0.027,0.231,0.348,0.000
