 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.16.pdb,0.000,0.037,0.000,0.027,0.000,0.432,0.029,0.000,0.000,0.151,0.408,0.127,0.591,0.476,0.236,0.340,0.179,0.000,0.396,0.029,0.628,0.000,0.081,0.018,0.000
model.000.17.pdb,0.000,0.000,0.000,0.088,0.000,0.017,0.000,0.000,0.000,0.000,0.031,0.000,0.046,0.017,0.031,0.000,0.013,0.000,0.014,0.029,0.030,0.000,0.026,0.000,0.000
model.000.18.pdb,0.032,0.000,0.088,0.027,0.029,0.000,0.044,0.030,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.136,0.000,0.029,0.000,0.097,0.000,0.000,0.045
model.000.19.pdb,0.167,0.240,0.194,0.000,0.116,0.533,0.351,0.154,0.000,0.241,0.500,0.000,0.226,0.447,0.000,0.074,0.466,0.191,0.667,0.000,0.310,0.104,0.000,0.192,0.118
model.000.20.pdb,0.000,0.040,0.000,0.059,0.000,0.135,0.000,0.000,0.000,0.096,0.140,0.261,0.435,0.184,0.391,0.432,0.042,0.000,0.167,0.046,0.404,0.000,0.169,0.000,0.000
model.000.21.pdb,0.155,0.000,0.132,0.362,0.298,0.000,0.014,0.180,0.659,0.000,0.000,0.032,0.000,0.000,0.014,0.000,0.000,0.114,0.000,0.415,0.000,0.224,0.203,0.035,0.177
model.000.22.pdb,0.213,0.021,0.288,0.078,0.333,0.000,0.085,0.319,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.283,0.000,0.121,0.000,0.356,0.014,0.043,0.312
model.000.23.pdb,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.119,0.000,0.000,0.208,0.000,0.000,0.208,0.086,0.000,0.000,0.000,0.478,0.000,0.000,0.357,0.000,0.000
model.000.24.pdb,0.375,0.382,0.250,0.031,0.348,0.019,0.216,0.538,0.196,0.268,0.017,0.082,0.000,0.019,0.054,0.074,0.014,0.138,0.048,0.050,0.017,0.372,0.109,0.516,0.356
model.000.25.pdb,0.057,0.000,0.158,0.015,0.068,0.000,0.068,0.089,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.218,0.000,0.016,0.000,0.176,0.000,0.000,0.107
model.000.26.pdb,0.043,0.226,0.051,0.000,0.026,0.636,0.143,0.068,0.000,0.321,0.625,0.127,0.436,0.614,0.100,0.226,0.333,0.050,0.596,0.000,0.491,0.027,0.035,0.140,0.026
model.000.27.pdb,0.000,0.000,0.000,0.246,0.048,0.000,0.000,0.016,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.218,0.000,0.016,0.042,0.000,0.000
model.000.28.pdb,0.000,0.273,0.014,0.000,0.000,0.500,0.109,0.062,0.000,0.386,0.468,0.170,0.400,0.550,0.172,0.314,0.254,0.014,0.451,0.000,0.522,0.000,0.053,0.143,0.000
model.000.29.pdb,0.015,0.000,0.027,0.660,0.074,0.000,0.000,0.029,0.385,0.000,0.000,0.164,0.000,0.000,0.167,0.062,0.000,0.000,0.000,0.805,0.000,0.045,0.414,0.000,0.029
